doc,wikiID
0,Q323013
0,Q231010
0,Q319608
0,Q2294199
0,Q635515
0,Q11500
0,Q186619
0,Q416893
0,Q7066
0,Q29142
0,Q482980
0,Q18545
0,Q575724
0,Q34394
0,Q1420
0,Q295121
0,Q229806
0,Q342988
0,Q605315
0,Q151885
0,Q363948
0,Q83267
0,Q6430706
0,Q110827
0,Q363366
0,Q4402708
0,Q82604
0,Q1233862
0,Q2
0,Q410090
0,Q194105
0,Q1297532
0,Q5410500
0,Q216774
0,Q1196501
0,Q152
0,Q15807
0,Q402735
0,Q491
0,Q33767
0,Q131841
0,Q1660475
0,Q11712088
0,Q539268
0,Q293618
0,Q3
0,Q49845
0,Q18957
0,Q8441
0,Q132821
0,Q638
0,Q82799
0,Q347474
0,Q8261
0,Q11563
0,Q3962655
0,Q254508
0,Q224749
0,Q215627
0,Q48834954
0,Q634
0,Q11474
0,Q2095727
0,Q160151
0,Q30762
0,Q186361
0,Q872
0,Q178354
0,Q99975991
0,Q9174
0,Q43115
0,Q3480072
0,Q1214119
0,Q523
0,Q1456029
0,Q224350
0,Q447342
0,Q58778
0,Q18545646
0,Q620805
0,Q11471
0,Q296103
0,Q258460
0,Q16280097
0,Q467
0,Q8171
0,Q188561
0,Q16502
1,Q2294199
1,Q635515
1,Q7066
1,Q29142
1,Q34394
1,Q229806
1,Q605315
1,Q151885
1,Q4402708
1,Q1233862
1,Q1297532
1,Q5410500
1,Q1196501
1,Q491
1,Q33767
1,Q131841
1,Q3
1,Q49845
1,Q132821
1,Q82799
1,Q11563
1,Q215627
1,Q48834954
1,Q30762
1,Q178354
1,Q9174
1,Q1456029
1,Q620805
1,Q11471
1,Q16280097
1,Q8171
1,Q188561
1,Q16502
1,Q4672359
1,Q226469
1,Q343542
1,Q288928
1,Q2827815
1,Q234006
1,Q570443
1,Q4781711
1,Q7066
1,Q9332
1,Q9332
1,Q444986
1,Q730492
1,Q7873
1,Q202772
1,Q407264
1,Q679087
1,Q969439
1,Q225819
1,Q7569
1,Q257898
1,Q42138
1,Q1094717
1,Q41207
1,Q1367353
1,Q10953930
1,Q1412160
1,Q5158445
1,Q5159367
1,Q221284
1,Q417861
1,Q232469
1,Q247144
1,Q41487
1,Q3013486
1,Q42848
1,Q408711
1,Q349724
1,Q100268981
1,Q181591
1,Q2383053
1,Q265264
1,Q49848
1,Q34302
1,Q200539
1,Q8386
1,Q252022
1,Q3049084
1,Q17069120
1,Q16220058
1,Q407205
1,Q7958
1,Q37017
1,Q188572
1,Q1314
1,Q395112
1,Q257765
1,Q5464688
1,Q2095
1,Q411820
1,Q16783603
1,Q11410
1,Q7187
1,Q1172467
1,Q4503831
1,Q654302
1,Q15098235
1,Q20033
1,Q3589556
1,Q242361
1,Q400416
1,Q62955
1,Q3149459
1,Q268592
1,Q210439
1,Q27796747
1,Q411495
1,Q1799745
1,Q7748
1,Q251898
1,Q4925193
1,Q162032
1,Q8078
1,Q1970348
1,Q983927
1,Q401277
1,Q237946
1,Q37507
1,Q35758
1,Q2796622
1,Q813854
1,Q21484544
1,Q1603129
1,Q11426
1,Q450
1,Q12827256
1,Q2002118
1,Q2011843
1,Q2029226
1,Q2029863
1,Q326942
1,Q7566
1,Q343111
1,Q11229
1,Q292908
1,Q1794067
1,Q2097977
1,Q99751643
1,Q7233180
1,Q40953
1,Q42603
1,Q730920
1,Q121594
1,Q30762
1,Q189756
1,Q7272637
1,Q340780
1,Q7307090
1,Q900406
1,Q28510
1,Q7315940
1,Q2995644
1,Q104493
1,Q230037
1,Q2215639
1,Q3914
1,Q901
1,Q1267283
1,Q360083
1,Q16877203
1,Q290
1,Q416849
1,Q399476
1,Q76768
1,Q3695082
1,Q17080915
1,Q855949
1,Q347599
1,Q11461
1,Q341623
1,Q654182
1,Q257117
1,Q15622206
1,Q924703
1,Q2202182
1,Q15808312
1,Q340406
1,Q202069
1,Q3984436
1,Q224615
1,Q620805
1,Q12452291
1,Q7842
1,Q292088
1,Q7949
1,Q410291
1,Q17000190
1,Q7946771
1,Q25288
1,Q241625
1,Q2514663
1,Q577
2,Q231010
2,Q186619
2,Q482980
2,Q575724
2,Q410090
2,Q1297532
2,Q33767
2,Q224350
2,Q11471
2,Q16280097
2,Q34302
2,Q1172467
2,Q2029226
2,Q99751643
2,Q730920
2,Q360083
2,Q202069
2,Q1128596
2,Q5397478
2,Q170924
2,Q3300020
2,Q443767
2,Q414241
2,Q10870555
2,Q1689278
2,Q7834062
2,Q243026
3,Q605315
3,Q33767
3,Q9174
3,Q969439
3,Q1970348
3,Q35758
3,Q1603129
3,Q2029226
3,Q189756
3,Q15622206
3,Q340406
3,Q410291
3,Q1110523
3,Q123705
3,Q343369
3,Q7315582
3,Q2785824
3,Q9165
4,Q4781711
4,Q340406
4,Q188075
4,Q160232
4,Q208826
4,Q42240
4,Q563770
5,Q186619
5,Q229806
5,Q363948
5,Q1297532
5,Q131841
5,Q3962655
5,Q178354
5,Q9174
5,Q1456029
5,Q58778
5,Q11471
5,Q8171
5,Q7066
5,Q9332
5,Q188572
5,Q1314
5,Q5464688
5,Q11410
5,Q8078
5,Q2002118
5,Q2011843
5,Q1794067
5,Q2097977
5,Q99751643
5,Q855949
5,Q3984436
5,Q170924
5,Q309314
5,Q1551608
5,Q705914
5,Q15292
5,Q436305
5,Q15290
5,Q6007175
5,Q708
5,Q316
5,Q429220
5,Q1090839
5,Q60227
5,Q1564686
5,Q7783805
6,Q198
7,Q186619
7,Q29142
7,Q6430706
7,Q1603129
7,Q343634
7,Q792838
7,Q13197167
7,Q483247
7,Q98539357
8,Q575724
8,Q132821
8,Q215627
8,Q186361
8,Q178354
8,Q58778
8,Q1094717
8,Q408711
8,Q16220058
8,Q4503831
8,Q2011843
8,Q7307090
8,Q230037
8,Q15622206
8,Q82760
8,Q329777
8,Q1219840
8,Q1121708
8,Q198999
8,Q1235072
8,Q706622
8,Q15878761
8,Q1620068
8,Q4817
8,Q5320
8,Q230479
8,Q9420
9,Q11471
9,Q570443
9,Q189756
9,Q29034095
10,Q577
10,Q7063046
11,Q855949
11,Q1075
12,Q215627
12,Q326942
12,Q12452291
12,Q3363481
12,Q187931
12,Q429785
12,Q8461
12,Q614806
13,Q2294199
13,Q186619
13,Q29142
13,Q575724
13,Q1420
13,Q3
