doc,relation,idf
0,P279,9.733442197406736
0,P461,8.624311456962626
0,P31,7.129271229373937
0,P1889,8.874094649266139
0,P1535,3.304588722922894
0,P527,12.604028354325957
0,P618,8.75729975565641
0,P366,3.0636435790442267
0,P1542,2.6991109439864425
0,P460,6.0887888155044765
0,P1552,4.649256295106338
0,P398,10.703899576345876
0,P397,3.948325712425713
0,P138,2.7856915649926726
0,P2579,4.944669110774768
0,P361,2.7818888767737056
0,P2789,2.9093055209598493
0,P3095,2.3176278005647637
0,P140,5.411911747847251
0,P155,2.1524425260137963
1,P461,10.540825114065434
1,P31,11.585065747732648
1,P1889,12.423732508972595
1,P279,11.945588151362813
1,P460,8.524304341706268
1,P1552,8.368661331191408
1,P2579,3.296446073849846
1,P527,11.634487711685498
1,P2789,2.9093055209598493
1,P361,9.272962922579017
1,P156,5.065694121731554
1,P155,4.3048850520275925
1,P1269,10.527640372873375
1,P2670,3.1285580167810925
1,P3712,6.153849092576627
1,P2922,4.207938943521315
1,P366,3.0636435790442267
1,P688,5.715594161645472
1,P1382,3.059403346086604
1,P3095,2.3176278005647637
1,P186,3.476654477537904
1,P828,3.253802069157045
1,P4934,4.353790820533877
2,P527,1.9390812852809165
2,P2789,2.9093055209598493
2,P1889,1.7748189298532278
2,P31,0.8911589036717421
2,P1552,0.9298512590212675
2,P279,0.4424291907912153
3,P527,3.878162570561833
3,P2789,2.9093055209598493
3,P279,1.327287572373646
3,P2579,1.648223036924923
3,P1552,0.9298512590212675
3,P460,1.2177577631008953
3,P361,0.9272962922579018
4,P186,1.738327238768952
4,P461,0.958256828551403
4,P279,0.4424291907912153
5,P461,5.749540971308418
5,P31,2.673476711015226
5,P1889,1.7748189298532278
5,P361,2.7818888767737056
5,P279,4.424291907912153
5,P460,2.4355155262017907
5,P2579,3.296446073849846
5,P1552,2.7895537770638024
5,P155,2.1524425260137963
5,P156,2.532847060865777
5,P2922,4.207938943521315
5,P527,0.9695406426404583
7,P279,0.4424291907912153
7,P31,0.8911589036717421
7,P460,2.4355155262017907
8,P279,1.7697167631648612
8,P1889,1.7748189298532278
8,P1552,2.7895537770638024
8,P461,0.958256828551403
8,P2579,3.296446073849846
8,P1382,6.118806692173208
8,P31,0.8911589036717421
8,P527,0.9695406426404583
10,P527,0.9695406426404583
12,P1552,1.859702518042535
