word,wikiID
abort,Q323013
account,Q231010
address,Q319608
anoth,Q2294199
archiv,Q635515
area,Q11500
argument,Q186619
assist,Q416893
atheism,Q7066
atroc,-1
attempt,Q29142
author,Q482980
ball,Q18545
base,Q575724
belief,Q34394
berkelei,-1
bibl,-1
car,Q1420
card,Q295121
case,Q229806
charact,-1
chill,Q342988
church,Q605315
conceiv,-1
concept,Q151885
contradict,Q363948
crime,Q83267
critic,Q6430706
deci,Q110827
delight,Q363366
demand,Q4402708
design,Q82604
doctor,Q1233862
earth,Q2
edit,Q410090
editor,Q194105
event,Q1297532
faith,Q5410500
fate,Q216774
fictiti,-1
file,Q1196501
fish,Q152
foot,Q15807
forbid,Q402735
friend,Q491
galact,-1
hand,Q33767
ibka,-1
idea,Q131841
immor,-1
imput,Q1660475
incoher,-1
index,Q11712088
inform,Q539268
letter,Q293618
life,Q3
mail,Q49845
mainstream,Q18957
man,Q8441
murder,Q132821
music,Q638
name,Q82799
norm,Q347474
novel,Q8261
number,Q11563
obscur,-1
opinion,Q3962655
outlaw,Q254508
page,Q224749
peopl,-1
person,Q215627
philosoph,Q48834954
philosophi,-1
planet,Q634
plastic,Q11474
postfach,-1
pot,Q2095727
price,Q160151
produc,-1
proof,Q30762
punish,Q186361
radio,Q872
rambl,-1
reason,Q178354
reli,Q99975991
religion,Q9174
saint,Q43115
server,Q3480072
sheet,Q1214119
star,Q523
statement,Q1456029
style,Q224350
substanc,-1
swinburn,Q447342
system,Q58778
tale,Q18545646
theism,Q620805
time,Q11471
trace,Q296103
translat,-1
twist,Q258460
uncov,-1
version,Q16280097
volum,-1
woman,Q467
word,Q8171
work,Q188561
world,Q16502
accept,Q4672359
act,Q226469
action,Q343542
agnost,Q288928
aid,Q2827815
analog,Q234006
answer,Q570443
approach,Q4781711
assum,-1
assumpt,-1
atheist,Q7066
behavior,Q9332
behaviour,Q9332
believ,-1
benefit,Q444986
bewar,Q730492
blood,Q7873
busi,Q202772
call,Q407264
campaign,Q679087
care,Q969439
character,Q225819
chariti,-1
child,Q7569
choo,Q257898
citizen,Q42138
claim,Q1094717
cohe,-1
coin,Q41207
comfort,Q1367353
comment,Q10953930
compassion,Q1412160
complet,-1
concern,Q5158445
conduct,Q5159367
conform,Q221284
consid,-1
control,Q417861
conver,-1
core,Q232469
counter,Q247144
countri,-1
court,Q41487
danger,Q3013486
datum,Q42848
deal,Q408711
default,Q349724
definit,-1
denial,Q100268981
depth,Q181591
deserv,-1
deterior,-1
digress,Q2383053
disbelief,Q265264
disea,-1
document,Q49848
doubt,Q34302
dress,Q200539
drug,Q8386
effect,Q252022
effort,Q3049084
encompass,Q17069120
end,Q16220058
engag,-1
exampl,-1
exhaust,Q407205
experi,-1
expertis,-1
explain,Q7958
face,Q37017
fact,Q188572
fall,Q1314
famili,-1
famou,-1
feel,Q395112
field,Q257765
figur,-1
follow,Q5464688
food,Q2095
foundat,-1
fundament,Q411820
futur,Q16783603
game,Q11410
gene,Q7187
gener,Q1172467
goal,Q4503831
group,Q654302
harm,Q15098235
help,Q20033
histor,Q3589556
honestli,-1
host,Q242361
impact,Q400416
import,Q62955
imposs,Q3149459
impract,-1
increa,-1
independ,-1
industri,Q268592
interpret,Q210439
intox,Q27796747
kill,Q411495
lack,Q1799745
law,Q7748
level,Q251898
lie,Q4925193
list,Q162032
logic,Q8078
luck,Q1970348
major,Q983927
make,Q401277
manti,Q237946
match,Q37507
matter,Q35758
mean,Q2796622
meaning,Q813854
memet,Q21484544
mention,Q1603129
metal,Q11426
mind,Q450
motiv,-1
myth,Q12827256
nonsen,-1
note,Q2002118
object,Q2011843
order,Q2029226
organ,Q2029863
origin,Q326942
parent,Q7566
pastim,-1
peer,Q343111
perceiv,-1
percent,Q11229
perver,-1
pgp,Q292908
place,Q1794067
plai,Q2097977
point,Q99751643
posit,Q7233180
pragmat,-1
prayer,Q40953
pressur,-1
priest,Q42603
problem,Q730920
professor,Q121594
prove,Q30762
question,Q189756
quit,Q7272637
rebel,Q340780
redefinit,-1
refer,Q7307090
reform,Q900406
reluct,-1
repre,-1
respect,Q28510
respon,-1
respond,Q7315940
result,Q2995644
risk,Q104493
rule,Q230037
salvat,Q2215639
school,Q3914
scienc,-1
scientist,Q901
search,Q1267283
sen,Q360083
separ,Q16877203
sex,Q290
shade,Q416849
share,Q399476
shirt,Q76768
sign,Q3695082
simpli,Q17080915
sinc,Q855949
sometim,-1
sort,Q347599
sound,Q11461
speak,Q341623
spectrum,Q654182
start,Q257117
state,Q15622206
stop,Q924703
subject,Q2202182
success,Q15808312
support,Q340406
talk,Q202069
tendenc,-1
term,Q3984436
test,Q224615
theist,Q620805
theori,-1
thing,Q12452291
todai,Q7842
trap,Q292088
trustworthi,-1
truth,Q7949
unabl,-1
unbeliev,-1
uncomfort,-1
univer,Q410291
viewpoint,Q17000190
vulner,-1
wast,Q7946771
weight,Q25288
wish,Q241625
worship,Q2514663
year,Q577
compar,-1
content,Q1128596
estim,Q5397478
explan,-1
incomplet,-1
interest,Q170924
materi,Q3300020
mess,Q443767
part,Q414241
report,Q10870555
sourc,-1
text,Q1689278
transform,Q7834062
ver,Q243026
wingat,-1
colon,Q1110523
neighbourhood,Q123705
parodi,Q343369
pretti,-1
resist,Q7315582
solicit,Q2785824
soul,Q9165
vagu,-1
box,Q188075
hate,Q160232
height,Q208826
polit,-1
research,Q42240
wor,Q563770
amount,Q309314
creat,Q1551608
deed,Q705914
easili,-1
evil,Q15292
fix,Q436305
good,Q15290
implement,Q6007175
knowledg,-1
lead,Q708
love,Q316
omnipot,-1
pink,Q429220
possibl,-1
scenario,Q1090839
sin,Q60227
sweep,Q1564686
thi,Q7783805
war,Q198
attack,Q343634
benedikt,Q792838
doubl,-1
parti,Q13197167
phenomenon,Q483247
psycholog,-1
victim,Q98539357
admit,Q82760
appeal,Q329777
assert,Q1219840
capit,-1
confu,-1
fail,Q1121708
finish,Q198999
form,Q1235072
intent,Q706622
line,Q15878761
manner,Q1620068
pillar,Q4817
purpos,-1
requir,-1
switch,Q5320
target,Q230479
thought,Q9420
pose,Q29034095
notion,Q7063046
color,Q1075
parallel,Q3363481
phrase,Q187931
poster,Q429785
racism,Q8461
suit,Q614806
bit,Q8805
condescend,-1
crash,Q224992
drive,Q4167568
fuck,Q31928
option,Q397164
plane,Q966960
prevent,Q5611828
probabilist,Q7246843
realiz,-1
shoot,Q220869
suffici,-1
tire,Q169545
chair,Q15026
cost,Q240673
death,Q4
favor,Q347719
forgiv,-1
judg,-1
length,Q36253
liberti,Q841571
merit,Q673579
penalti,-1
portion,Q7231827
prison,Q40357
relea,-1
sacr,-1
segment,Q258480
topic,Q2443272
view,Q419329
ballot,Q905151
blame,Q621695
commit,Q3684810
inabl,-1
introduc,-1
member,Q7602551
similarli,-1
traffic,Q4323994
voter,Q189760
class,Q3679160
error,Q29485
lock,Q366453
occasion,Q1297532
predisposit,-1
rate,Q346589
link,Q224246
mathemat,-1
prime,Q49008
promiscu,-1
propo,-1
request,Q1906515
trend,Q341344
detriment,Q5265816
overwhelm,-1
practic,Q3905626
stretch,Q287593
thread,Q346509
transport,Q7590
comput,-1
creator,Q14326950
delet,-1
evolut,-1
light,Q9128
oxygen,Q629
plant,Q756
scientif,-1
stuff,Q402577
think,Q9420
type,Q2463013
edu,Q246491
troubl,-1
administ,-1
background,Q1619726
consequ,-1
convict,Q13219330
defin,Q101072
determin,-1
devis,Q1247869
differ,Q75101527
dozen,Q605704
execut,-1
fairli,-1
flaw,Q16782409
hundr,-1
ideal,Q224884
magic,Q224102
pack,Q243538
period,Q672154
present,Q193168
pretend,Q7242122
probabl,-1
ramif,-1
read,Q418416
recogn,-1
road,Q34442
row,Q241124
sanction,Q407075
show,Q2934264
slide,Q365096
total,Q352850
vote,Q189760
wand,Q148493
wave,Q37172
door,Q36794
paper,Q11472
ad,Q37038
cartoon,Q627603
section,Q189171
baptist,Q93191
mozumd,-1
crap,Q413405
depress,Q211022
marriag,-1
ponder,Q1211335
alon,Q1261025
forum,Q207829
implic,-1
scout,Q360810
burden,Q354825
cage,Q129211
guilt,Q80411
rape,Q47092
implant,Q344151
addit,-1
adult,Q80994
branch,Q2923673
charter,Q727002
contact,Q394963
draft,Q361482
educ,-1
environment,Q1572519
format,Q227863
foster,Q226141
founder,Q5474587
function,Q788331
grade,Q1541208
improv,Q6007787
investor,Q557880
item,Q425159
leader,Q484275
leadership,Q484275
membership,Q7602551
mission,Q224783
movement,Q3326911
nation,Q6266
packet,Q2045670
profit,Q2112047
program,Q768396
pursuit,Q3925982
rocket,Q41291
team,Q327245
train,Q870
user,Q258567
youth,Q190007
evolv,-1
post,Q367026
stanc,-1
stick,Q12299433
theistic,Q620805
advantag,-1
agre,-1
debat,Q3020791
disagre,-1
faq,Q189293
firm,Q783794
misunderstood,Q12810894
observ,-1
predispos,-1
regard,Q16869132
rest,Q1270500
email,Q9158
side,Q395237
blink,Q1044679
exist,Q5420343
master,Q226669
tomorrow,Q397392
accident,Q171558
approxim,-1
articl,-1
brain,Q1073
coma,Q159557
gap,Q224083
gold,Q897
infant,Q998
inviol,-1
jump,Q611862
killer,Q299564
process,Q229289
purcha,-1
recur,Q7303272
semant,-1
turn,Q411785
fly,Q25312
folk,Q340412
noth,Q47544353
sock,Q43663
wear,Q617224
creation,Q63244734
profession,Q28640
sexism,Q93200
bitnet,Q796027
fal,Q448874
return,Q264890
