entity1,relations,entity2
Q319608,P279,Q82799
Q7066,P461,Q620805
Q7066,P31,Q49447
Q7066,P1889,Q288928
Q29142,P279,Q83267
Q18545,P1535,Q7569
Q34394,P1889,Q34302
Q1420,P527,Q44167
Q1420,P527,Q165435
Q1420,P527,Q2207370
Q1420,P527,Q1417134
Q1420,P527,Q1208529
Q1420,P527,Q13693
Q1420,P527,Q194302
Q1420,P618,Q39558
Q1420,P618,Q556
Q1420,P618,Q153
Q1420,P366,Q82650
Q1420,P366,Q7590
Q1420,P1542,Q61509
Q151885,P460,Q131841
Q151885,P1552,Q1128596
Q151885,P1889,Q131841
Q6430706,P31,Q28640
Q2,P527,Q3230
Q2,P527,Q5107
Q2,P398,Q405
Q2,P398,Q25271
Q2,P397,Q525
Q2,P1889,Q11081619
Q2,P1889,Q36133
Q2,P460,Q16502
Q2,P461,Q527
Q2,P138,Q36133
Q194105,P460,Q3972943
Q5410500,P461,Q34302
Q5410500,P279,Q34394
Q5410500,P2579,Q34178
Q216774,P31,Q151885
Q15807,P361,Q133105
Q15807,P1889,Q133105
Q15807,P1889,Q154425
Q33767,P527,Q620207
Q33767,P527,Q83360
Q33767,P2789,Q228537
Q131841,P361,Q9420
Q131841,P279,Q151885
Q131841,P460,Q151885
Q3,P461,Q4
Q3,P279,Q483247
Q3,P527,Q4
Q49845,P31,Q268592
Q49845,P279,Q7590
Q8441,P279,Q80994
Q8441,P461,Q467
Q8441,P361,Q8436
Q132821,P279,Q83267
Q132821,P1889,Q3882219
Q638,P279,Q735
Q638,P279,Q173799
Q638,P279,Q11461
Q638,P527,Q11461
Q638,P3095,Q639669
Q82799,P279,Q8171
Q82799,P279,Q3695082
Q8261,P279,Q571
Q11563,P279,Q309314
Q3962655,P461,Q188572
Q215627,P1552,Q61002
Q215627,P1552,Q48277
Q215627,P1889,Q5
Q48834954,P31,Q7366
Q634,P398,Q26540
Q634,P1552,Q11423
Q186361,P461,Q618779
Q186361,P279,Q2995644
Q872,P31,Q268592
Q872,P279,Q15078788
Q9174,P279,Q49447
