entity1,relations,entity2
Q315,P2579,Q8162
Q89,P462,Q3142
Q89,P462,Q943
Q89,P462,Q3133
Q89,P462,Q23444
Q5852,P186,Q28823
Q5852,P186,Q42329
Q5410500,P2579,Q34178
Q3,P2579,Q420
Q38526,P5236,Q200
Q41975,P140,Q748
Q41975,P140,Q432
Q41975,P140,Q42042
Q41975,P140,Q23540
Q9174,P2579,Q34178
Q46744,P828,Q133500
Q46744,P1382,Q9081
Q46744,P1382,Q164359
Q11042,P2579,Q23404
Q47740,P140,Q432
Q186619,P3712,Q1231428
Q783794,P2579,Q8134
Q1149305,P2579,Q9418
Q34302,P1382,Q13649246
Q1324448,P437,Q7982
Q641118,P2579,Q9418
Q9121,P2579,Q2329
Q420,P2578,Q3
Q420,P2578,Q7239
Q7085,P106,Q169470
Q7085,P106,Q593644
Q7085,P19,Q1748
Q7085,P20,Q1748
Q7085,P27,Q35
Q7085,P551,Q35
Q7085,P551,Q34
Q7085,P551,Q30
Q7085,P551,Q1748
Q7085,P641,Q2736
Q7085,P39,Q121594
Q578,P111,Q11471
Q2225,P138,Q25381
Q11028,P828,Q174984
Q11028,P1542,Q9081
Q336,P1056,Q9081
Q10884,P2670,Q2923673
Q10884,P2670,Q33971
Q10884,P1672,Q287
Q68,P2579,Q21198
Q9158,P138,Q49845
Q11402,P4934,Q41273
Q429220,P138,Q34687
Q571,P186,Q11472
Q571,P186,Q389782
Q5043,P112,Q302
Q5043,P138,Q302
Q5043,P807,Q9268
Q5043,P457,Q1845
Q14660,P1419,Q209
Q996839,P138,Q10861465
Q11990,P2670,Q3427336
Q37260,P2579,Q181260
Q6726616,P17,Q843
Q662860,P1542,Q12192
Q662860,P1542,Q12204
Q9420,P2579,Q147638
Q308859,P1382,Q2476929
Q308859,P1382,Q188728
Q308859,P3712,Q188728
Q308859,P3712,Q10566551
Q16363,P2789,Q9633
Q1072,P2789,Q9655
Q1072,P2789,Q9609
Q1072,P703,Q729
Q1072,P2579,Q10379
Q9081,P828,Q133500
Q9081,P2579,Q9471
Q9081,P1382,Q46744
Q9081,P1382,Q164359
Q1395219,P1382,Q245781
Q7949,P1382,Q1530061
Q10943,P186,Q8495
Q1513117,P828,Q60227
Q23392,P186,Q283
Q11247037,P111,Q11423
Q557945,P1995,Q7867
Q8425,P2579,Q21201
Q8425,P2670,Q5
Q10990,P1582,Q7377
Q2695156,P106,Q842782
