entity1,relations,entity2
Q319608,P279,Q82799
Q29142,P279,Q83267
Q18545,P1535,Q7569
Q1420,P618,Q39558
Q1420,P618,Q556
Q1420,P618,Q153
Q1420,P366,Q82650
Q1420,P366,Q7590
Q1420,P1542,Q61509
Q151885,P1552,Q1128596
Q2,P398,Q405
Q2,P398,Q25271
Q2,P397,Q525
Q2,P138,Q36133
Q5410500,P279,Q34394
Q5410500,P2579,Q34178
Q15807,P361,Q133105
Q33767,P2789,Q228537
Q131841,P361,Q9420
Q131841,P279,Q151885
Q3,P279,Q483247
Q49845,P279,Q7590
Q8441,P279,Q80994
Q8441,P361,Q8436
Q132821,P279,Q83267
Q638,P279,Q735
Q638,P279,Q173799
Q638,P279,Q11461
Q638,P3095,Q639669
Q82799,P279,Q8171
Q82799,P279,Q3695082
Q8261,P279,Q571
Q11563,P279,Q309314
Q215627,P1552,Q61002
Q215627,P1552,Q48277
Q634,P398,Q26540
Q634,P1552,Q11423
Q186361,P279,Q2995644
Q872,P279,Q15078788
Q9174,P279,Q49447
Q9174,P2579,Q34178
Q43115,P140,Q9089
Q58778,P1552,Q183635
Q58778,P2579,Q269699
Q620805,P279,Q34394
Q620805,P279,Q9174
Q467,P279,Q80994
Q467,P155,Q3031
Q8171,P279,Q187931
Q9332,P1552,Q1299714
Q7873,P361,Q11068
Q7569,P279,Q5
Q7569,P1552,Q276258
Q7569,P156,Q131774
Q7569,P155,Q26513
Q42138,P361,Q7275
Q41207,P279,Q693464
Q1412160,P279,Q9415
Q41487,P361,Q7748
Q34302,P1552,Q621922
Q200539,P279,Q11460
Q7958,P3712,Q46744
Q37017,P361,Q23640
Q188572,P279,Q42848
Q188572,P361,Q7949
Q188572,P1552,Q7949
Q1314,P155,Q1313
Q1314,P156,Q1311
Q1314,P279,Q24384
Q1314,P2922,Q110
Q2095,P366,Q213449
Q2095,P1552,Q4173974
Q11410,P279,Q173799
Q11410,P361,Q11042
Q7187,P688,Q8054
Q7187,P361,Q7020
Q4503831,P279,Q706622
Q268592,P279,Q58778
Q210439,P279,Q192581
Q7748,P3095,Q40348
Q4925193,P279,Q170028
Q4925193,P366,Q170028
Q37507,P186,Q287
Q37507,P186,Q389782
Q37507,P279,Q39546
Q35758,P1552,Q11423
Q11229,P279,Q3481047
Q40953,P361,Q9174
Q25288,P828,Q11412
Q25288,P4934,Q11423
Q241625,P279,Q775842
Q2514663,P361,Q9174
Q10870555,P279,Q49848
Q2785824,P279,Q83267
Q9165,P279,Q450
Q9165,P361,Q215627
Q188075,P186,Q389782
Q208826,P279,Q36253
Q705914,P279,Q49848
Q316,P279,Q9415
Q429220,P279,Q3142
Q60227,P279,Q6765918
Q1121708,P279,Q2995644
Q9420,P2579,Q147638
Q8461,P279,Q179742
Q8461,P279,Q83267
Q614806,P279,Q11460
Q169545,P361,Q446
Q15026,P279,Q2207370
Q15026,P186,Q11426
Q15026,P186,Q677
Q15026,P1552,Q208826
Q15026,P1552,Q1075
Q15026,P1552,Q11423
Q4,P361,Q3
Q841571,P279,Q215627
Q40357,P279,Q178706
Q40357,P366,Q186361
Q40357,P366,Q900406
Q905151,P366,Q189760
Q905151,P186,Q11472
Q7590,P366,Q61509
Q7590,P279,Q79782
Q9128,P2579,Q14620
Q629,P138,Q11158
Q193168,P155,Q192630
Q193168,P361,Q11471
Q34442,P276,Q205895
Q37172,P1552,Q41364
Q37172,P1552,Q1165717
Q11472,P366,Q735
Q11472,P186,Q189720
Q93191,P279,Q23540
Q557880,P425,Q4290
Q557880,P279,Q43845
Q870,P366,Q3565868
Q9158,P138,Q49845
Q171558,P1542,Q4
Q1073,P361,Q23640
Q1073,P927,Q23640
Q897,P279,Q11426
Q998,P279,Q7569
Q28640,P279,Q192581
Q93200,P279,Q179742
Q172226,P279,Q39546
Q28823,P186,Q161
Q28823,P366,Q11460
Q174583,P279,Q185785
Q7560,P279,Q7566
Q14819852,P361,Q3
Q571,P186,Q11472
Q571,P186,Q389782
Q571,P279,Q49848
Q571,P1552,Q482980
Q571,P1552,Q33057
Q1072,P361,Q11068
Q1072,P2579,Q10379
Q483372,P1552,Q363948
Q107,P1552,Q4440864
Q1313,P156,Q1314
Q1313,P279,Q24384
Q5,P1552,Q48277
Q5,P279,Q215627
Q7925,P279,Q11663
Q7925,P1542,Q8068
Q527,P279,Q107
Q10884,P1672,Q287
Q96374070,P7501,Q34678
Q836925,P279,Q10870555
Q93288,P279,Q321839
Q93288,P279,Q49848
Q3351781,P17,Q33
Q2238195,P279,Q35874
Q35831,P279,Q9332
Q402152,P279,Q215627
Q742140,P106,Q36180
Q742140,P106,Q33999
Q742140,P101,Q11635
Q46744,P828,Q133500
Q7802,P186,Q283
Q7363,P366,Q9530
Q3031,P279,Q7569
Q6498684,P828,Q601401
Q6498684,P828,Q200303
Q6498684,P828,Q14208553
Q431289,P279,Q167270
Q1404101,P279,Q618779
Q81938,P279,Q169872
Q81938,P279,Q160402
Q81938,P2176,Q41576
Q81938,P2176,Q1215575
Q81938,P2176,Q18216
Q470873,P495,Q39
Q6186,P6364,Q3142
Q11081619,P279,Q205895
Q79007,P279,Q34442
Q79007,P361,Q319608
Q37425,P361,Q133105
Q37425,P927,Q133105
Q7434,P279,Q11460
Q80071,P279,Q3695082
Q8275,P674,Q37122
Q8275,P50,Q6691
Q205961,P279,Q9081
Q265868,P361,Q7881
Q7430,P361,Q7020
Q7430,P1419,Q201717
Q650711,P3095,Q4991371
Q40614,P2579,Q7205
Q256966,P279,Q5
Q169872,P1557,Q12136
Q808,P279,Q170065
Q735,P361,Q11042
Q735,P3095,Q483501
Q405,P397,Q2
Q405,P138,Q9128
Q8054,P279,Q181394
Q263668,P366,Q35874
Q82794,P1552,Q11500
Q6097,P186,Q11002
Q6097,P186,Q283
Q6097,P186,Q60235
Q6537379,P279,Q349
Q6537379,P2283,Q133105
Q131401,P279,Q1250464
Q125482,P361,Q177826
Q5090,P279,Q12117
Q5090,P279,Q235352
Q575,P155,Q166564
Q575,P1552,Q204170
Q799,P279,Q46744
Q799,P279,Q9081
Q207326,P361,Q54050
Q207326,P361,Q8502
Q215536,P279,Q43845
Q215536,P425,Q601401
Q42891,P710,Q46802
Q42891,P1049,Q9089
Q192628,P279,Q10990
Q192628,P1582,Q830
Q8161,P279,Q7748
Q1109649,P106,Q82955
Q14660,P279,Q806880
Q506,P361,Q220869
Q42470,P279,Q187931
Q83093,P361,Q764
Q1250464,P279,Q7275
Q8016240,P710,Q41487
Q8016240,P710,Q600751
Q6037050,P921,Q7283
Q40348,P425,Q7748
Q2248623,P279,Q901
Q2248623,P361,Q28640
Q9635,P366,Q213449
Q9635,P366,Q9530
Q9635,P366,Q1663054
Q9635,P361,Q23640
Q9635,P927,Q23640
Q5151,P361,Q577
Q1124733,P279,Q35140
Q153700,P106,Q82955
Q153700,P106,Q36180
Q153700,P106,Q1930187
Q153700,P101,Q1930187
Q153700,P140,Q7066
Q283,P1552,Q1075
Q283,P1552,Q180600
Q283,P361,Q2095
Q23387,P361,Q5151
Q1349983,P279,Q1121708
Q1349983,P828,Q20204151
Q1349983,P1478,Q11412
Q11435,P279,Q102205
Q80492,P937,Q11194
Q80492,P551,Q11194
Q80492,P1399,Q132821
Q42177,P276,Q193837
Q42177,P1478,Q35831
Q42177,P366,Q35831
Q42177,P366,Q1144593
Q16000462,P279,Q11563
Q9458,P106,Q215536
Q9458,P106,Q432386
Q9458,P106,Q82955
Q235113,P279,Q193291
Q81054,P361,Q11663
Q81054,P279,Q8094
Q287,P1535,Q326358
Q287,P1582,Q10884
Q15916459,P361,Q329381
Q5113,P1672,Q81025
Q5113,P1672,Q10990
Q2840,P780,Q38933
Q2840,P780,Q86
Q2840,P780,Q35805
Q2840,P1542,Q3241045
Q162244,P279,Q215627
Q162244,P1552,Q15290
Q12147,P2579,Q11190
Q28643,P279,Q2083958
Q37260,P1535,Q5
Q37260,P3095,Q36180
Q36180,P279,Q482980
Q36180,P425,Q37260
Q40080,P279,Q468756
Q12684,P279,Q11042
Q7565,P279,Q7566
Q170028,P2283,Q690194
Q170028,P1552,Q706622
Q45529,P279,Q193291
Q1664720,P279,Q178706
Q11190,P3095,Q39631
Q3972943,P279,Q268592
Q13422881,P279,Q32489
Q178794,P279,Q376
Q12029,P279,Q9332
Q12029,P279,Q1299714
Q34284,P279,Q83267
Q34284,P279,Q325980
Q34284,P2283,Q707125
Q623,P138,Q24489
Q8068,P828,Q7925
Q8068,P1542,Q4
Q20204151,P1552,Q4440864
Q11423,P1552,Q122508
Q169470,P279,Q901
Q160066,P366,Q211439
Q161358,P279,Q778612
Q182076,P279,Q189539
Q182076,P279,Q3196867
Q6147804,P186,Q28823
Q6147804,P366,Q12684
Q41500,P361,Q756
Q551997,P186,Q11427
Q551997,P186,Q753
Q551997,P186,Q663
Q1411242,P279,Q1299714
Q26018,P279,Q10850
Q3504319,P140,Q9089
Q3504319,P106,Q36180
Q14208553,P3095,Q205375
Q170219,P279,Q40050
Q1394,P106,Q82955
Q1394,P106,Q36180
Q1394,P106,Q188094
Q1394,P106,Q40348
Q1394,P106,Q1930187
Q1394,P140,Q7066
Q1394,P135,Q7264
Q1394,P91,Q1035954
Q235282,P279,Q379833
Q235544,P361,Q3196
Q1595418,P279,Q179661
Q18237,P279,Q9332
Q1107656,P366,Q208195
Q282,P186,Q10978
Q282,P186,Q45422
Q282,P366,Q40050
Q757833,P279,Q44148
Q11247037,P111,Q11423
Q7362,P366,Q160289
Q7362,P361,Q23640
Q728,P279,Q39546
Q189539,P1552,Q309314
Q8495,P279,Q2095
Q8495,P279,Q40050
Q34956,P279,Q181394
Q830,P1672,Q192628
Q957434,P279,Q10990
Q957434,P1582,Q2935
Q11573,P111,Q36253
Q11573,P4934,Q11574
Q126807,P279,Q3914
Q525,P398,Q2
Q525,P398,Q193
Q525,P398,Q339
Q3230,P361,Q2
Q3230,P376,Q2
Q3230,P186,Q627
Q3230,P186,Q629
Q3230,P186,Q654
Q3230,P186,Q560
Q35856,P279,Q49703
Q11038979,P2283,Q743263
Q601401,P279,Q268592
Q1029907,P361,Q11829360
Q537151,P828,Q336392
Q9081,P828,Q133500
Q11002,P279,Q2095
Q283102,P155,Q168182
Q160289,P279,Q160402
Q160289,P927,Q7362
Q13579947,P279,Q29485
Q61509,P279,Q79782
Q1434962,P279,Q52946
Q174647,P361,Q15807
Q614467,P366,Q11629
Q840407,P1552,Q487
Q10990,P279,Q2095
Q10990,P279,Q13119823
Q43471,P2789,Q228537
Q3196,P1056,Q152079
Q168182,P156,Q283102
Q958210,P279,Q11460
Q5852,P366,Q35831
Q5852,P186,Q28823
Q5852,P186,Q42329
Q12097,P279,Q116
Q12097,P279,Q8441
Q40763,P279,Q2095
Q44342,P279,Q8253
Q205365,P3373,Q107626
Q205365,P106,Q131512
Q206887,P279,Q215627
Q45382,P279,Q83267
Q1930187,P279,Q482980
Q1930187,P279,Q28640
Q767568,P366,Q186361
Q16363,P2789,Q9633
Q16743864,P361,Q33767
Q125191,P279,Q49848
Q483453,P366,Q208195
Q40050,P279,Q11435
Q40050,P279,Q2095
Q1276307,P921,Q170978
Q780687,P279,Q321839
Q21201,P2578,Q48277
Q1553259,P279,Q46744
Q623184,P279,Q9332
Q332378,P279,Q374
Q693690,P279,Q830
Q144,P366,Q39201
Q144,P366,Q36963
Q144,P279,Q39201
Q173387,P1557,Q4
Q192630,P279,Q11471
Q192630,P156,Q193168
Q192630,P361,Q11471
Q192623,P279,Q2727213
Q49757,P279,Q36180
Q49757,P425,Q482
Q247154,P1542,Q11563
Q53706,P279,Q2727213
Q53706,P3712,Q200535
Q166564,P156,Q575
Q7926427,P106,Q36180
Q41354,P186,Q153
Q41354,P2079,Q41760
Q8094,P279,Q483247
Q766677,P1049,Q9268
Q17319109,P19,Q1022
Q17319109,P20,Q1022
Q59083256,P17,Q39
Q30722989,P361,Q23387
Q166735,P279,Q4421
Q35874,P279,Q9332
Q35874,P3095,Q245068
Q131138,P279,Q35874
Q160117,P279,Q43845
Q276258,P156,Q131774
Q83188,P279,Q17737
Q1579,P22,Q11378
Q1579,P1049,Q9089
Q5180132,P452,Q75
Q37555,P156,Q172937
Q194189,P279,Q601401
Q194189,P361,Q601401
Q194189,P3095,Q1762621
Q35473,P186,Q11469
Q628051,P1056,Q184793
Q628051,P1830,Q83570
Q639669,P425,Q638
Q639669,P279,Q483501
Q943,P279,Q9128
Q291486,P144,Q2681
Q720106,P279,Q87167
Q205375,P425,Q14208553
Q170584,P1552,Q4503831
Q170584,P1552,Q327245
Q483501,P425,Q735
Q14387,P155,Q14382
Q28048853,P1454,Q783794
Q126793,P279,Q601401
Q11446,P366,Q7590
Q746628,P279,Q180516
Q746628,P279,Q656720
Q1096,P279,Q11426
Q670,P138,Q83087
Q3968,P361,Q395
Q219508,P740,Q60
Q213449,P279,Q1663054
Q213449,P366,Q208195
Q213449,P2283,Q2095
Q213449,P276,Q43164
Q213449,P155,Q36963
Q213449,P828,Q165947
Q127418,P366,Q37260
Q127418,P366,Q11629
Q127418,P1535,Q165447
Q17388797,P106,Q205375
Q1142287,P400,Q100047
Q12511,P366,Q7590
Q2192,P144,Q2681
Q308859,P279,Q1503443
Q9887,P156,Q14382
Q180884,P138,Q36864
Q42283,P366,Q7126717
Q42283,P366,Q7126699
Q79719,P279,Q93288
Q129793,P1072,Q2192
Q129793,P1072,Q215106
Q129793,P1073,Q2195
Q129793,P1073,Q215106
Q43193,P366,Q651658
Q734832,P279,Q29485
Q83360,P279,Q620207
Q83360,P927,Q33767
Q83360,P361,Q33767
Q12507,P1552,Q11500
Q2303322,P279,Q2102
Q691652,P178,Q628051
Q3882219,P279,Q132821
Q8366,P361,Q395
Q14382,P155,Q9887
Q14382,P156,Q14387
Q28923,P279,Q959962
Q5107,P279,Q205895
Q959962,P279,Q1027879
Q959962,P366,Q395
Q218593,P111,Q36253
Q218593,P138,Q83360
Q161524,P279,Q11460
Q519022,P2283,Q1075
Q174984,P279,Q42848
Q3750514,P279,Q121594
Q40089,P186,Q45190
Q160464,P361,Q11460
Q1348305,P279,Q29485
Q47528,P279,Q58778
Q651658,P279,Q7590
Q245005,P4330,Q6097
Q307306,P366,Q837721
Q18754970,P1454,Q783794
Q2225,P138,Q25381
Q657881,P361,Q75
Q657881,P279,Q193162
Q14890,P276,Q43164
Q4917,P279,Q14083
Q330946,P361,Q32489
Q330946,P361,Q13422881
Q330946,P361,Q12791
Q39782,P366,Q41207
Q58179319,P279,Q215627
Q2195,P921,Q26329975
Q638123,P279,Q254128
Q647003,P112,Q219203
Q204461,P279,Q39546
Q1406719,P17,Q224
Q7982,P279,Q34467
Q40843,P279,Q80071
Q253276,P111,Q36253
Q13241,P279,Q42527
Q967647,P279,Q2994387
Q967647,P3712,Q183635
Q12896105,P279,Q6460735
Q12896105,P155,Q80973
Q12896105,P156,Q657221
Q82821,P361,Q11042
Q32489,P366,Q132821
Q32489,P1535,Q329737
Q245068,P279,Q33999
Q245068,P279,Q483501
Q143873,P279,Q446
Q161157,P279,Q8171
Q6918773,P186,Q28823
Q6918773,P279,Q28823
Q122981,P366,Q61002
Q107626,P3373,Q205365
Q107626,P411,Q43115
Q107626,P106,Q42857
Q193897,P279,Q614467
Q2922301,P279,Q11461
Q83570,P178,Q628051
Q83570,P1073,Q691652
Q83570,P1072,Q691652
Q83570,P366,Q184793
Q83570,P123,Q628051
Q5283,P186,Q623
Q5283,P366,Q83437
Q5372066,P279,Q49848
Q140565,P276,Q190771
Q528313,P159,Q340
Q165447,P366,Q37260
Q165447,P2283,Q127418
Q165447,P186,Q127418
Q5257307,P279,Q618779
Q251590,P495,Q224
Q1579570,P178,Q1778572
Q830494,P279,Q650711
Q3736439,P279,Q5113
Q1064858,P366,Q37260
Q327954,P366,Q3196
Q110079,P1535,Q718
Q2736,P279,Q1081491
Q172937,P155,Q37555
Q1623348,P186,Q287
Q36507,P111,Q11471
Q768575,P2283,Q9128
Q17071241,P366,Q165194
Q4590598,P279,Q483247
Q1139389,P279,Q41415
Q1139389,P279,Q2095
Q1417134,P361,Q1420
Q43013,P279,Q571
Q1144586,P1542,Q220764
Q2594153,P17,Q55
Q7644488,P279,Q215536
Q24614,P1072,Q2192
Q24614,P1072,Q26329975
Q24614,P1072,Q215106
Q224952,P279,Q5
Q224952,P361,Q7748
Q205883,P156,Q835702
Q1311,P155,Q1314
Q1311,P279,Q24384
Q657,P463,Q8475
Q484260,P279,Q37226
Q960876,P452,Q4439
Q83087,P279,Q43010
Q1183447,P279,Q15078788
Q538104,P279,Q11765
Q543281,P279,Q29485
Q11378,P40,Q1579
Q1324448,P437,Q7982
Q4439,P156,Q487343
Q1207,P47,Q1948
Q162633,P279,Q3914
Q162633,P138,Q381885
Q1088,P279,Q9128
Q3169145,P106,Q245068
Q3169145,P106,Q36180
Q3569318,P366,Q132744
Q214314,P127,Q248
Q11442,P366,Q7590
Q17299843,P131,Q60
Q141090,P366,Q165950
Q141090,P366,Q1503443
Q212606,P2283,Q47607
Q878352,P279,Q34394
Q39495,P1535,Q131512
Q508719,P279,Q48282
Q508719,P279,Q5
Q4290,P3095,Q557880
Q49005,P186,Q28823
Q193788,P279,Q9128
Q457281,P131,Q577964
Q163446,P186,Q42329
Q5300,P361,Q68
Q128896,P1056,Q5297
Q128896,P1056,Q182656
Q1308239,P425,Q601401
Q1308239,P279,Q215627
Q1308239,P2868,Q1148747
Q7023752,P279,Q28813
Q182656,P279,Q80831
Q2301597,P641,Q80131
Q459477,P452,Q7590
Q4340209,P689,Q8441
Q4340209,P689,Q467
Q620207,P361,Q33767
Q620207,P927,Q33767
Q28813,P279,Q19
Q28813,P279,Q170028
Q28813,P279,Q83267
Q352390,P452,Q68
Q1145550,P279,Q1420
Q134574,P279,Q39546
Q2872553,P366,Q722218
Q9859,P17,Q55
Q305896,P366,Q1194708
Q20716,P1056,Q173799
Q290667,P279,Q207961
Q290667,P279,Q1165717
Q25294,P1552,Q11423
Q130768,P1536,Q4
Q7172809,P106,Q40348
Q1428393,P1142,Q484275
Q36402,P361,Q575
Q12078,P1995,Q162555
Q12078,P279,Q1216998
Q12078,P2579,Q162555
Q1758736,P279,Q183635
Q177413,P279,Q193291
Q180284,P361,Q9635
Q152910,P279,Q39546
Q14620,P2578,Q9128
Q193918,P1995,Q171171
Q1086863,P279,Q1930187
Q1086863,P279,Q36180
Q2078905,P279,Q730920
Q248,P1056,Q5297
Q248,P1056,Q487343
Q248,P1056,Q182656
Q248,P1056,Q5300
Q248,P1830,Q214314
Q81294,P1072,Q691652
Q81294,P1072,Q2192
Q81294,P1072,Q139191
Q81294,P1072,Q224174
Q81294,P1072,Q407509
Q81294,P1072,Q215106
Q81294,P1072,Q136218
Q81294,P1073,Q691652
Q81294,P1073,Q2192
Q81294,P1073,Q139191
Q81294,P1073,Q407509
Q81294,P1073,Q215106
Q81294,P1073,Q136218
Q146,P366,Q39201
Q146,P279,Q39201
Q197204,P279,Q1074
Q379813,P279,Q40763
Q379813,P279,Q2095
Q2006818,P279,Q574360
Q502261,P279,Q154242
Q11034548,P279,Q705914
Q234668,P366,Q7590
Q556,P138,Q283
Q898377,P186,Q744
Q1501161,P279,Q188075
Q749212,P279,Q8441
Q749212,P1552,Q15290
Q16530385,P279,Q42527
Q1053973,P279,Q775842
Q838948,P361,Q735
Q1250916,P425,Q198
Q1250916,P279,Q215627
Q163942,P279,Q3240539
Q163942,P279,Q83267
Q19,P279,Q9332
Q37122,P1441,Q8275
Q188613,P279,Q628455
Q1070408,P279,Q219320
Q1362411,P641,Q2736
Q1362411,P159,Q49255
Q1362411,P4794,Q110
Q742255,P1366,Q518900
Q5238526,P19,Q60
Q183197,P1056,Q28923
Q186209,P366,Q2326110
Q1938377,P641,Q5377
Q2499296,P1547,Q1579570
Q81881,P1056,Q20204151
Q81881,P366,Q213449
Q1383362,P1531,Q19939
Q1383362,P1531,Q140
Q167270,P279,Q3695082
Q167270,P279,Q80071
Q835016,P138,Q35473
Q37340,P1441,Q8275
