champion,Q852061
products,Q95124485
approves,-1
stock,Q1196314
split,Q233272
inc,Q341678
said,Q40434513
board,Q268146
directors,Q3708947
approved,Q20996488
two,Q200
one,Q199
common,Q1208568
shares,Q11692
shareholders,Q381136
record,Q399857
april,Q118
company,Q783794
also,Q4735816
voted,Q189760
recommend,Q3422023
annual,Q567353
meeting,Q2761147
increase,Q1660986
authorized,Q788590
capital,Q3916071
five,Q1918148
mln,Q2004493
reuter,Q29947926
computer,Q68
terminal,Q210481
systems,Q58778
completes,-1
sale,Q6495050
completed,Q178518
warrants,Q452800
acquire,Q342547
additional,-1
n,Q9937
v,Q9963
switzerland,Q39
dlrs,-1
exercisable,-1
years,Q577
purchase,Q1369832
price,Q160151
per,Q174173
share,Q399476
right,Q780687
buy,Q237054
total,Q352850
holdings,Q5879690
pct,Q350108
outstanding,Q3358679
certain,Q1520777
circumstances,Q5121762
involving,-1
change,Q226455
control,Q417861
conditions,Q417488
occur,-1
would,Q1624317
equal,Q5384104
market,Q1277907
time,Q11471
exceed,Q16885327
sold,Q4379916
rights,Q780687
dot,Q353294
impact,Q400416
technology,Q11016
including,Q341771
future,Q344
improvements,Q21255975
houston,Q16555
tex,Q351781
continue,Q5165384
exclusive,Q1207633
worldwide,Q8036765
licensee,Q6543058
moves,Q16796851
part,Q414241
reorganization,Q1728583
plan,Q1371819
help,Q20033
pay,Q564046
current,Q226663
operation,Q209577
costs,Q240673
ensure,Q5380065
product,Q95124485
delivery,Q3705086
makes,Q401277
generated,-1
forms,Q1235072
ticket,Q454839
printers,Q10953985
terminals,Q210481
year,Q577
net,Q16877945
shr,-1
cts,-1
vs,Q225703
assets,Q46737
deposits,Q10948641
loans,Q189539
note,Q2002118
th,Q224453
qtr,-1
available,Q384871
includes,-1
extraordinary,Q5422222
gain,Q424707
tax,Q8161
carry,Q1045331
forward,Q341613
international,Q2292662
nd,Q225011
jan,Q295525
oper,Q7096561
loss,Q1692143
profit,Q2112047
seven,Q2752634
revs,Q415967
avg,Q298264
shrs,-1
six,Q3905328
mths,-1
nil,Q342513
calculated,Q5018869
payment,Q1148747
preferred,Q7239835
dividends,Q181201
results,Q17129947
exclude,Q16903610
credits,Q255983
four,Q2551356
nine,Q1993003
prior,Q830337
periods,Q672154
operating,Q209577
carryforwards,-1
brown,Q47071
forman,Q1437457
dlr,Q258378
billion,Q41650356
dean,Q246910
foods,Q2095
sees,Q818913
strong,Q295458
earnings,Q5326940
co,Q210804
expects,-1
fourth,Q8352226
quarter,Q1437134
ending,Q16220058
