doc1,doc2,number_of_relations
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,14,1
0,18,1
0,20,2
0,25,1
0,27,1
0,28,1
0,30,1
0,31,1
0,32,1
0,34,3
0,36,1
0,37,4
0,38,2
0,41,2
0,46,1
0,48,4
0,49,1
0,51,1
0,54,1
0,55,3
0,56,1
0,57,1
0,58,1
0,60,1
0,61,3
0,65,1
0,67,1
0,68,1
0,82,1
0,84,1
0,86,3
0,87,2
0,88,1
0,89,2
0,90,1
0,91,1
0,92,1
0,93,4
0,94,1
0,96,2
0,99,2
0,100,1
0,102,1
0,103,2
0,106,3
0,107,2
0,108,4
0,109,1
0,110,2
0,116,1
0,117,1
0,119,3
0,123,3
0,129,3
0,134,1
0,139,1
0,140,1
0,141,1
0,142,1
0,143,1
0,145,1
0,147,1
0,150,1
0,151,1
0,152,2
0,157,2
0,158,1
0,162,1
0,163,1
0,164,1
0,165,2
0,168,1
0,169,1
0,170,1
0,171,1
0,175,1
0,177,4
0,179,1
0,181,2
0,182,1
0,183,1
0,184,1
0,185,1
0,186,1
0,187,1
0,188,1
0,189,3
0,190,1
0,191,1
0,192,1
0,193,2
0,195,1
0,196,1
0,197,1
0,202,1
0,207,4
0,208,1
0,210,1
0,211,1
0,212,1
0,214,1
0,215,1
0,216,1
0,224,1
0,228,1
0,229,1
0,230,1
0,231,1
0,232,1
0,236,1
0,237,1
0,238,1
0,242,1
0,244,1
0,245,3
0,248,1
0,250,1
0,253,1
0,254,1
0,259,1
0,260,1
0,262,6
0,266,1
0,272,1
0,277,1
0,280,1
0,281,1
0,285,1
0,286,4
0,288,1
0,289,2
0,294,3
0,296,3
0,297,1
1,5,3
1,6,2
1,8,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,3
1,16,2
1,17,3
1,19,1
1,20,2
1,26,3
1,27,1
1,34,3
1,37,6
1,38,4
1,39,1
1,41,3
1,46,3
1,48,3
1,55,3
1,56,1
1,58,2
1,61,2
1,62,1
1,76,1
1,77,1
1,84,2
1,86,2
1,87,2
1,89,6
1,90,6
1,91,5
1,92,2
1,93,5
1,94,3
1,95,4
1,96,1
1,97,1
1,98,2
1,99,2
1,100,4
1,103,2
1,106,3
1,107,2
1,108,8
1,109,2
1,110,1
1,111,8
1,112,1
1,113,1
1,114,1
1,116,6
1,117,4
1,119,3
1,122,1
1,123,8
1,125,1
1,127,2
1,134,1
1,137,1
1,139,1
1,145,1
1,147,1
1,148,1
1,149,1
1,152,5
1,154,1
1,155,1
1,157,2
1,162,2
1,163,1
1,167,1
1,169,4
1,170,4
1,172,1
1,174,3
1,175,1
1,177,6
1,180,3
1,181,2
1,182,4
1,186,1
1,189,2
1,191,4
1,193,2
1,196,1
1,198,1
1,199,1
1,207,7
1,211,4
1,212,1
1,214,2
1,217,2
1,218,2
1,219,1
1,222,1
1,225,1
1,233,2
1,239,1
1,240,1
1,241,1
1,244,1
1,245,2
1,247,8
1,250,2
1,254,3
1,256,1
1,257,1
1,258,2
1,259,1
1,260,1
1,262,7
1,266,1
1,268,1
1,269,1
1,277,1
1,278,1
1,279,1
1,280,1
1,281,1
1,282,1
1,285,4
1,286,2
1,288,1
1,289,2
1,292,1
1,294,3
1,296,11
1,297,1
2,6,1
2,13,1
2,15,1
2,19,1
2,20,1
2,23,1
2,24,1
2,41,1
2,46,1
2,55,1
2,56,1
2,58,1
2,72,1
2,87,1
2,89,1
2,90,1
2,91,1
2,92,1
2,93,1
2,95,1
2,98,1
2,108,2
2,111,1
2,112,1
2,120,1
2,123,1
2,126,1
2,130,1
2,139,1
2,145,1
2,172,1
2,177,1
2,179,1
2,181,1
2,196,1
2,198,1
2,214,1
2,219,1
2,222,1
2,233,1
2,240,1
2,245,1
2,260,1
2,261,1
2,269,1
2,280,1
2,281,1
2,296,2
3,20,1
3,87,1
3,107,1
3,108,1
3,110,1
3,116,1
3,130,1
3,177,1
3,196,1
3,198,1
3,245,1
3,277,1
3,285,1
3,286,1
4,20,1
4,43,1
4,77,1
4,130,1
5,6,2
5,7,1
5,8,1
5,10,1
5,12,1
5,13,1
5,14,2
5,15,11
5,16,3
5,17,7
5,19,3
5,20,3
5,23,2
5,25,1
5,26,8
5,27,7
5,28,1
5,29,1
5,31,2
5,34,1
5,36,1
5,37,2
5,38,9
5,39,1
5,41,3
5,43,1
5,46,2
5,48,1
5,49,2
5,51,1
5,54,1
5,55,5
5,56,1
5,57,1
5,58,3
5,60,1
5,62,5
5,63,1
5,65,1
5,67,1
5,69,2
5,70,1
5,73,2
5,76,4
5,77,5
5,78,2
5,87,7
5,89,14
5,90,18
5,91,5
5,92,8
5,93,14
5,94,7
5,95,6
5,96,5
5,97,7
5,98,6
5,99,6
5,100,10
5,102,3
5,103,8
5,106,9
5,107,5
5,108,8
5,109,2
5,110,7
5,111,20
5,112,1
5,113,10
5,115,1
5,116,9
5,117,14
5,119,1
5,122,3
5,123,3
5,124,1
5,126,1
5,127,1
5,129,3
5,130,1
5,131,3
5,132,2
5,134,2
5,139,1
5,140,1
5,142,1
5,144,1
5,145,2
5,147,4
5,148,1
5,149,1
5,150,1
5,151,1
5,152,9
5,153,4
5,159,2
5,160,1
5,162,1
5,163,4
5,164,1
5,165,1
5,169,13
5,170,10
5,171,1
5,172,1
5,174,1
5,175,1
5,177,12
5,179,3
5,180,1
5,181,6
5,182,8
5,186,4
5,190,1
5,191,2
5,192,1
5,193,5
5,196,1
5,197,1
5,202,1
5,207,5
5,210,1
5,211,8
5,212,5
5,213,1
5,214,2
5,215,1
5,216,1
5,218,4
5,219,2
5,221,9
5,222,1
5,233,2
5,240,4
5,241,3
5,244,3
5,245,6
5,247,13
5,250,2
5,253,1
5,254,2
5,257,4
5,259,2
5,260,2
5,261,2
5,262,5
5,266,5
5,267,3
5,269,2
5,271,1
5,272,1
5,273,1
5,277,2
5,278,3
5,279,7
5,280,1
5,281,1
5,283,2
5,284,1
5,285,11
5,286,1
5,288,1
5,292,5
5,293,2
5,294,1
5,296,13
5,297,7
6,7,2
6,8,2
6,9,1
6,10,3
6,11,1
6,12,2
6,13,1
6,14,5
6,15,6
6,18,1
6,19,3
6,20,5
6,22,1
6,24,1
6,25,2
6,26,2
6,27,4
6,28,2
6,29,1
6,30,1
6,31,2
6,32,2
6,33,1
6,34,3
6,35,1
6,36,2
6,37,6
6,38,3
6,39,2
6,40,2
6,41,4
6,42,1
6,43,2
6,46,5
6,47,1
6,48,4
6,49,1
6,50,1
6,51,2
6,52,1
6,53,1
6,54,2
6,55,7
6,56,4
6,57,3
6,58,5
6,59,1
6,60,2
6,61,4
6,62,2
6,65,2
6,66,1
6,67,2
6,68,2
6,69,1
6,70,1
6,71,1
6,74,1
6,75,1
6,77,2
6,78,1
6,79,1
6,82,2
6,83,1
6,84,3
6,85,1
6,86,4
6,87,7
6,88,2
6,89,10
6,90,7
6,91,7
6,92,2
6,93,8
6,94,3
6,95,3
6,96,4
6,97,4
6,98,2
6,99,4
6,100,3
6,102,2
6,103,5
6,105,1
6,106,5
6,107,6
6,108,8
6,109,3
6,110,4
6,111,6
6,112,2
6,113,1
6,115,1
6,116,5
6,117,6
6,118,1
6,119,5
6,120,1
6,121,1
6,122,3
6,123,5
6,124,2
6,125,2
6,126,1
6,127,2
6,129,3
6,131,1
6,132,2
6,134,4
6,137,1
6,139,3
6,140,2
6,141,1
6,142,1
6,143,1
6,144,2
6,145,4
6,147,1
6,148,3
6,149,1
6,150,2
6,151,2
6,152,5
6,153,1
6,154,1
6,155,1
6,157,4
6,158,2
6,159,1
6,160,1
6,162,3
6,163,1
6,164,2
6,165,2
6,166,1
6,168,2
6,169,3
6,170,4
6,171,1
6,172,1
6,173,1
6,174,2
6,175,2
6,177,6
6,178,1
6,179,1
6,180,2
6,181,3
6,182,2
6,183,1
6,184,1
6,185,1
6,186,1
6,187,1
6,188,1
6,189,3
6,190,2
6,191,3
6,192,2
6,193,4
6,195,1
6,196,2
6,197,2
6,198,1
6,202,2
6,203,1
6,204,1
6,205,1
6,206,1
6,207,4
6,208,1
6,209,1
6,210,2
6,211,4
6,212,3
6,213,2
6,214,3
6,215,2
6,216,2
6,217,1
6,219,1
6,221,2
6,222,2
6,223,1
6,224,2
6,225,1
6,228,1
6,229,1
6,230,1
6,231,1
6,232,1
6,233,4
6,236,1
6,237,1
6,238,1
6,240,4
6,241,3
6,242,1
6,244,3
6,245,8
6,246,1
6,247,3
6,248,1
6,249,1
6,251,1
6,252,1
6,253,2
6,254,3
6,255,1
6,257,4
6,258,1
6,259,2
6,260,3
6,262,7
6,264,1
6,266,2
6,267,2
6,269,3
6,270,1
6,272,2
6,273,2
6,274,1
6,275,1
6,277,3
6,278,4
6,279,1
6,280,2
6,281,2
6,282,1
6,283,1
6,284,1
6,285,2
6,286,5
6,287,1
6,288,2
6,289,3
6,291,1
6,292,3
6,293,1
6,294,4
6,295,2
6,296,6
6,297,1
6,298,1
7,9,1
7,10,2
7,14,1
7,15,1
7,18,1
7,19,1
7,20,3
7,24,1
7,25,2
7,27,2
7,28,2
7,29,2
7,30,1
7,31,2
7,32,2
7,36,2
7,37,1
7,38,3
7,40,1
7,42,1
7,46,1
7,48,2
7,49,1
7,51,2
7,54,2
7,55,3
7,56,1
7,57,2
7,58,3
7,60,2
7,61,1
7,65,3
7,67,2
7,68,1
7,71,1
7,80,1
7,82,1
7,84,1
7,86,1
7,87,2
7,88,1
7,89,2
7,90,2
7,93,1
7,94,1
7,96,1
7,97,1
7,98,1
7,99,1
7,102,1
7,103,2
7,106,2
7,107,3
7,117,1
7,119,1
7,122,1
7,129,3
7,130,1
7,131,2
7,134,3
7,139,1
7,140,2
7,141,1
7,142,2
7,143,1
7,145,1
7,148,1
7,150,2
7,151,1
7,158,2
7,163,1
7,164,2
7,165,3
7,168,2
7,170,1
7,171,1
7,177,1
7,179,1
7,181,1
7,183,1
7,184,1
7,185,1
7,186,1
7,187,1
7,188,1
7,189,1
7,190,2
7,192,2
7,193,1
7,195,1
7,197,2
7,202,2
7,203,1
7,207,1
7,208,1
7,209,1
7,210,2
7,211,1
7,212,2
7,214,2
7,215,2
7,216,2
7,221,1
7,224,1
7,228,1
7,229,1
7,230,1
7,231,1
7,232,1
7,236,1
7,237,1
7,238,1
7,240,2
7,242,1
7,244,1
7,245,5
7,247,2
7,248,1
7,253,1
7,254,1
7,262,3
7,266,1
7,272,2
7,277,1
7,278,2
7,279,1
7,280,1
7,281,1
7,284,1
7,286,1
7,293,1
7,297,1
8,13,1
8,14,1
8,15,1
8,19,2
8,20,1
8,24,1
8,26,1
8,37,1
8,39,1
8,41,2
8,43,1
8,46,3
8,47,1
8,55,3
8,56,2
8,57,1
8,58,1
8,61,1
8,62,1
8,74,1
8,77,1
8,78,1
8,86,1
8,89,3
8,90,1
8,91,3
8,92,1
8,93,1
8,95,1
8,96,1
8,98,1
8,99,1
8,100,1
8,103,1
8,106,1
8,108,2
8,109,1
8,111,1
8,112,1
8,117,1
8,118,1
8,119,1
8,120,1
8,121,1
8,122,2
8,123,1
8,124,1
8,125,1
8,127,1
8,130,1
8,132,1
8,134,1
8,139,2
8,144,1
8,145,2
8,148,1
8,152,2
8,154,1
8,155,1
8,157,1
8,162,1
8,169,1
8,170,1
8,172,1
8,177,2
8,178,1
8,181,1
8,182,1
8,191,1
8,193,1
8,196,1
8,198,1
8,205,1
8,206,1
8,207,1
8,209,1
8,211,1
8,212,1
8,213,1
8,214,2
8,219,1
8,221,1
8,222,2
8,224,1
8,233,1
8,241,1
8,244,1
8,245,1
8,249,1
8,253,1
8,254,1
8,257,1
8,259,1
8,262,1
8,264,1
8,266,1
8,267,1
8,269,1
8,273,1
8,280,1
8,281,1
8,283,1
8,286,1
8,288,1
8,289,1
8,294,1
8,295,1
8,296,2
9,10,1
9,15,1
9,20,1
9,25,1
9,27,1
9,28,1
9,29,1
9,31,1
9,32,1
9,36,1
9,38,1
9,40,1
9,51,1
9,54,1
9,55,1
9,57,1
9,58,2
9,60,1
9,65,1
9,67,1
9,87,1
9,89,1
9,90,1
9,97,1
9,98,1
9,107,2
9,122,1
9,130,1
9,134,2
9,140,1
9,148,1
9,150,1
9,158,1
9,164,1
9,165,1
9,168,1
9,190,1
9,192,1
9,197,1
9,202,1
9,210,1
9,211,1
9,212,1
9,215,1
9,216,1
9,240,2
9,244,1
9,245,1
9,254,1
9,262,1
9,272,1
9,278,2
9,284,1
9,293,1
10,13,1
10,14,1
10,15,2
10,18,1
10,19,1
10,20,3
10,25,2
10,27,2
10,28,2
10,29,1
10,30,1
10,31,2
10,32,2
10,36,2
10,37,1
10,38,3
10,40,1
10,41,1
10,46,1
10,48,1
10,49,1
10,51,2
10,53,1
10,54,2
10,55,4
10,56,2
10,57,2
10,58,3
10,60,2
10,61,1
10,65,2
10,67,2
10,68,1
10,82,1
10,84,1
10,86,1
10,87,4
10,88,1
10,89,3
10,90,3
10,91,1
10,92,2
10,93,1
10,94,1
10,95,1
10,96,1
10,97,1
10,98,2
10,99,1
10,102,1
10,103,1
10,106,1
10,107,4
10,108,2
10,110,2
10,111,1
10,112,2
10,116,1
10,117,1
10,118,1
10,119,1
10,122,1
10,129,3
10,130,1
10,134,3
10,139,2
10,140,2
10,141,1
10,142,1
10,143,1
10,145,2
10,148,1
10,150,2
10,151,1
10,158,2
10,163,1
10,164,2
10,165,3
10,168,2
10,170,1
10,171,1
10,172,1
10,177,3
10,179,1
10,181,1
10,183,1
10,184,1
10,185,1
10,186,1
10,187,1
10,188,1
10,189,1
10,190,2
10,192,2
10,193,1
10,195,1
10,196,2
10,197,2
10,202,2
10,207,1
10,208,1
10,210,2
10,211,1
10,212,2
10,214,1
10,215,2
10,216,2
10,219,1
10,222,1
10,224,1
10,228,1
10,229,1
10,230,1
10,231,1
10,232,1
10,236,1
10,237,1
10,238,1
10,240,2
10,242,1
10,244,1
10,245,5
10,248,1
10,253,1
10,254,1
10,262,3
10,272,2
10,277,2
10,278,2
10,280,2
10,281,2
10,284,1
10,285,2
10,286,2
10,288,1
10,293,1
10,296,2
10,297,1
11,12,1
11,13,1
11,14,2
11,15,4
11,19,1
11,20,3
11,41,1
11,46,1
11,55,1
11,56,1
11,58,1
11,62,1
11,87,1
11,89,2
11,90,4
11,91,3
11,92,1
11,93,2
11,95,2
11,97,2
11,98,1
11,103,2
11,108,3
11,110,2
11,111,4
11,112,1
11,113,1
11,116,3
11,117,3
11,124,1
11,126,1
11,129,1
11,130,1
11,131,1
11,139,1
11,145,1
11,151,1
11,153,1
11,159,1
11,169,1
11,170,2
11,172,1
11,174,1
11,177,2
11,180,1
11,196,1
11,214,1
11,219,1
11,222,1
11,240,2
11,241,2
11,245,3
11,247,3
11,257,3
11,269,2
11,277,1
11,278,2
11,280,1
11,281,1
11,292,3
11,296,1
12,13,1
12,15,1
12,19,1
12,23,1
12,41,1
12,46,1
12,49,1
12,55,1
12,56,1
12,69,1
12,72,1
12,89,1
12,90,1
12,91,1
12,92,1
12,93,1
12,95,1
12,98,1
12,103,1
12,106,2
12,108,2
12,111,1
12,112,1
12,122,1
12,129,1
12,139,1
12,145,1
12,152,1
12,165,1
12,172,1
12,177,2
12,179,1
12,181,1
12,196,1
12,198,1
12,207,1
12,212,1
12,214,1
12,219,1
12,222,1
12,240,1
12,245,1
12,257,1
12,261,1
12,262,1
12,280,1
12,281,1
12,286,1
12,296,1
13,14,1
13,15,1
13,19,1
13,20,1
13,22,1
13,26,1
13,27,1
13,33,1
13,35,1
13,37,1
13,39,1
13,40,1
13,42,1
13,46,1
13,50,1
13,52,1
13,53,1
13,56,1
13,59,1
13,66,1
13,69,1
13,70,1
13,71,1
13,75,1
13,79,1
13,82,1
13,83,1
13,84,1
13,85,1
13,87,3
13,88,1
13,89,1
13,90,1
13,92,1
13,93,1
13,94,1
13,96,1
13,97,1
13,99,1
13,100,1
13,102,1
13,103,1
13,105,1
13,106,1
13,107,1
13,108,1
13,109,1
13,110,1
13,111,1
13,112,1
13,116,1
13,117,1
13,119,1
13,123,1
13,125,1
13,127,1
13,130,1
13,132,1
13,137,1
13,144,1
13,145,1
13,148,1
13,149,1
13,152,1
13,157,1
13,160,1
13,162,1
13,166,1
13,173,1
13,174,1
13,175,1
13,180,1
13,191,1
13,193,1
13,203,1
13,204,1
13,211,1
13,213,1
13,217,1
13,221,1
13,223,1
13,225,1
13,233,2
13,245,1
13,246,1
13,251,1
13,252,1
13,255,1
13,258,1
13,260,2
13,262,1
13,270,1
13,273,1
13,274,1
13,275,1
13,277,1
13,282,1
13,285,1
13,287,1
13,291,1
13,295,1
13,296,1
13,298,1
14,15,5
14,16,2
14,17,1
14,19,2
14,24,2
14,25,1
14,27,2
14,28,2
14,29,1
14,30,1
14,31,1
14,32,1
14,34,4
14,36,1
14,37,7
14,38,2
14,40,1
14,41,3
14,42,2
14,43,3
14,45,1
14,46,6
14,48,6
14,51,1
14,54,1
14,55,7
14,56,2
14,57,2
14,58,2
14,60,1
14,61,2
14,62,1
14,65,3
14,67,1
14,71,2
14,77,1
14,80,2
14,83,1
14,84,1
14,86,3
14,87,3
14,88,1
14,89,5
14,90,5
14,91,4
14,92,3
14,93,9
14,94,2
14,95,7
14,96,2
14,97,2
14,98,4
14,99,2
14,100,2
14,103,3
14,106,6
14,107,5
14,108,7
14,109,2
14,110,1
14,111,5
14,112,3
14,113,1
14,116,3
14,117,2
14,119,5
14,121,1
14,122,1
14,123,9
14,127,1
14,131,3
14,134,3
14,135,1
14,137,1
14,139,3
14,140,2
14,142,2
14,144,1
14,145,1
14,147,2
14,148,1
14,149,1
14,150,1
14,152,4
14,157,2
14,158,1
14,160,1
14,162,2
14,164,1
14,165,1
14,168,1
14,169,2
14,172,1
14,174,1
14,175,2
14,177,6
14,180,2
14,181,2
14,182,3
14,183,1
14,184,1
14,185,1
14,187,1
14,188,1
14,189,3
14,190,1
14,191,4
14,192,1
14,193,2
14,195,1
14,196,4
14,197,1
14,198,1
14,202,1
14,203,2
14,206,1
14,207,4
14,209,3
14,210,1
14,211,4
14,212,1
14,214,5
14,215,1
14,216,2
14,218,1
14,219,1
14,221,1
14,222,1
14,224,1
14,233,2
14,235,1
14,240,3
14,242,2
14,244,3
14,245,9
14,247,6
14,249,1
14,250,3
14,252,1
14,253,1
14,254,3
14,259,2
14,260,2
14,262,6
14,266,4
14,267,1
14,269,2
14,271,1
14,272,1
14,277,4
14,278,2
14,279,3
14,280,2
14,281,1
14,282,1
14,284,1
14,285,3
14,286,4
14,287,1
14,288,3
14,289,2
14,291,1
14,293,1
14,294,5
14,296,8
15,17,2
15,18,1
15,19,3
15,20,2
15,22,1
15,23,1
15,24,2
15,25,1
15,26,4
15,27,3
15,28,1
15,30,1
15,31,1
15,32,1
15,33,1
15,35,1
15,36,1
15,37,2
15,38,5
15,39,2
15,40,1
15,41,1
15,42,3
15,46,4
15,48,2
15,49,2
15,50,1
15,51,2
15,52,1
15,53,1
15,54,1
15,55,4
15,56,3
15,59,1
15,60,1
15,62,1
15,63,2
15,65,3
15,66,1
15,67,1
15,68,1
15,69,2
15,70,2
15,71,3
15,75,1
15,76,1
15,77,1
15,79,1
15,80,2
15,82,1
15,83,1
15,84,4
15,85,1
15,86,1
15,87,6
15,88,3
15,89,7
15,90,9
15,91,1
15,92,4
15,93,3
15,94,6
15,95,9
15,96,3
15,97,5
15,98,5
15,99,4
15,100,3
15,102,1
15,103,3
15,105,1
15,106,12
15,107,6
15,108,3
15,109,1
15,110,1
15,111,10
15,112,2
15,113,2
15,116,7
15,117,5
15,119,1
15,121,1
15,122,2
15,123,3
15,125,1
15,127,3
15,129,1
15,131,2
15,132,4
15,137,1
15,139,2
15,140,1
15,141,1
15,142,3
15,143,1
15,144,2
15,145,2
15,148,1
15,149,2
15,150,1
15,151,1
15,152,4
15,153,1
15,157,2
15,158,2
15,159,1
15,160,2
15,162,1
15,163,2
15,164,1
15,165,1
15,166,1
15,167,1
15,168,1
15,169,3
15,170,3
15,172,1
15,173,1
15,174,5
15,175,1
15,177,3
15,179,2
15,180,5
15,181,1
15,182,2
15,183,1
15,184,1
15,185,1
15,186,2
15,187,1
15,188,1
15,189,1
15,190,1
15,191,4
15,192,1
15,193,3
15,195,1
15,196,1
15,197,1
15,202,1
15,203,3
15,204,1
15,207,1
15,208,1
15,209,2
15,210,1
15,211,3
15,212,2
15,213,2
15,214,3
15,216,1
15,217,1
15,218,1
15,219,2
15,221,3
15,222,1
15,223,1
15,224,1
15,225,1
15,228,1
15,229,1
15,230,1
15,231,1
15,232,1
15,233,2
15,236,1
15,237,1
15,238,1
15,241,1
15,242,1
15,245,3
15,246,1
15,247,7
15,250,3
15,251,1
15,252,1
15,253,1
15,254,1
15,255,1
15,257,1
15,258,1
15,260,1
15,262,3
15,266,2
15,270,1
15,271,1
15,272,1
15,273,1
15,274,1
15,275,1
15,277,4
15,279,3
15,280,2
15,281,2
15,282,1
15,285,3
15,286,1
15,287,1
15,291,1
15,292,1
15,295,1
