doc,wikiID
0,Q431289
0,Q654302
2,Q1067544
2,Q938926
2,Q11424
3,Q11424
3,Q13414347
4,Q2205075
4,Q93204
4,Q2472587
5,Q11424
5,Q627603
5,Q177204
5,Q37260
7,Q118157
7,Q341218
7,Q663143
7,Q5189153
8,Q7569
8,Q178985
8,Q173253
9,Q25372
9,Q120429
9,Q958511
9,Q227542
10,Q2976603
10,Q8436
10,Q1445650
10,Q1054678
11,Q83760
11,Q188561
12,Q1088
12,Q11424
13,Q11424
13,Q52943
13,Q2
13,Q25235
14,Q1175140
14,Q162668
15,Q11424
15,Q416981
15,Q969439
17,Q188561
17,Q246977
17,Q16502
18,Q1255864
19,Q107
19,Q1174918
20,Q11424
20,Q11424
20,Q1174918
20,Q211198
20,Q7602551
20,Q298413
21,Q11424
22,Q35874
22,Q1090839
22,Q395237
23,Q958511
23,Q7414
23,Q3049084
23,Q7727
23,Q1115199
23,Q634
23,Q18545646
23,Q272937
24,Q33999
24,Q11379
24,Q1039790
24,Q398902
25,Q9332
25,Q12971391
25,Q13377795
26,Q184485
27,Q11424
28,Q11424
28,Q11424
28,Q267903
28,Q107425
29,Q349043
29,Q5410500
29,Q414987
30,Q969439
30,Q33999
30,Q36253
31,Q173253
31,Q11424
31,Q2916183
31,Q164359
31,Q7533468
31,Q467
32,Q309314
32,Q3031
32,Q482
32,Q7949
34,Q11424
34,Q16502
34,Q4
34,Q813854
34,Q340788
35,Q16502
35,Q252022
35,Q16220058
35,Q346799
35,Q395956
35,Q349894
35,Q11471
35,Q241625
36,Q340383
37,Q35874
37,Q210040
37,Q7566
37,Q341826
38,Q29142
39,Q40831
40,Q11424
40,Q33999
40,Q344762
40,Q35140
41,Q621695
41,Q152282
42,Q407264
42,Q200538
42,Q26256512
43,Q483921
43,Q227951
44,Q349894
44,Q345491
44,Q1072
45,Q362334
46,Q11424
46,Q35140
46,Q8805
46,Q225819
46,Q410104
46,Q214339
46,Q16363
47,Q11424
47,Q23445
47,Q11639
47,Q1215780
47,Q346679
48,Q11424
49,Q958511
49,Q316
50,Q2472587
50,Q567053
52,Q11424
52,Q395956
52,Q349894
52,Q101965
52,Q3
52,Q34508
53,Q7565
53,Q62075492
53,Q5780945
54,Q11424
55,Q40050
55,Q491
55,Q34442
55,Q354955
56,Q188561
56,Q813854
56,Q62075492
56,Q1213374
57,Q8171
58,Q958511
58,Q11424
58,Q416981
58,Q8805
58,Q295047
59,Q214339
59,Q28489722
60,Q11424
60,Q8805
60,Q2818211
60,Q7163
61,Q35874
61,Q4826044
61,Q211022
61,Q173799
61,Q218275
61,Q35758
61,Q2202182
62,Q11379
62,Q33999
62,Q7163
62,Q12823105
62,Q230273
63,Q467
64,Q571
64,Q132311
64,Q8261
64,Q414241
64,Q219239
64,Q224798
65,Q5303101
65,Q16220058
66,Q958511
66,Q414987
66,Q7873
66,Q1026040
66,Q309
66,Q134307
66,Q169251
66,Q403069
67,Q162244
67,Q5
67,Q35160
68,Q11424
68,Q7727
68,Q416679
69,Q12097
70,Q25372
70,Q15292
70,Q8441
70,Q1074
71,Q179875
72,Q11424
72,Q178794
74,Q2472587
74,Q3
74,Q20659690
74,Q9415
74,Q254549
76,Q83760
76,Q399476
76,Q1090
77,Q8436
77,Q3
77,Q360797
78,Q225819
78,Q257765
78,Q275186
78,Q402577
79,Q9128
79,Q243457
80,Q11424
81,Q8441
81,Q229806
81,Q42298454
82,Q3
82,Q9415
82,Q744128
82,Q227672
82,Q9420
83,Q188561
83,Q11424
83,Q16220058
83,Q2873063
83,Q1794067
83,Q34679
84,Q7533468
84,Q408711
85,Q2472587
85,Q735
86,Q7566
86,Q7565
86,Q1775867
86,Q44619
88,Q958511
88,Q35874
88,Q225819
88,Q2873063
88,Q156351
88,Q651483
88,Q365335
89,Q83760
89,Q414987
89,Q3031
89,Q226485
89,Q61509
90,Q40831
90,Q32043
91,Q25372
91,Q344411
91,Q400711
91,Q37226
92,Q46721
93,Q11424
93,Q170584
93,Q1196314
93,Q9609
94,Q40831
94,Q261993
94,Q131774
95,Q242186
95,Q1620068
95,Q346903
96,Q107
96,Q61509
96,Q408258
96,Q1179254
96,Q341484
96,Q454839
98,Q11424
98,Q188572
98,Q492
99,Q184485
99,Q349894
99,Q11471
99,Q316
100,Q12452291
101,Q340383
101,Q225819
101,Q2312141
102,Q173253
102,Q1683540
102,Q180210
103,Q11424
103,Q225819
104,Q8436
104,Q40831
104,Q483225
105,Q11424
105,Q1255864
105,Q9340201
105,Q276453
105,Q160151
106,Q11424
106,Q40831
107,Q15643227
107,Q235282
108,Q400889
108,Q240673
108,Q213381
108,Q131841
108,Q2011843
108,Q341954
108,Q478798
108,Q4991371
108,Q344272
109,Q11424
109,Q454839
109,Q79871
109,Q190258
109,Q351889
110,Q40831
110,Q31235
110,Q1195509
110,Q224350
110,Q188830
111,Q478798
112,Q395237
113,Q2472587
113,Q8436
113,Q349894
113,Q4340209
114,Q11424
114,Q478798
114,Q577
115,Q11424
115,Q28578
116,Q8436
116,Q211198
117,Q11424
117,Q396540
118,Q3882219
118,Q178651
119,Q11424
119,Q11471
119,Q1313
120,Q11424
120,Q407264
120,Q251898
121,Q567053
121,Q11402
121,Q7743
121,Q7063046
121,Q7272674
121,Q224530
122,Q35140
123,Q341218
123,Q48349
123,Q1451745
124,Q40831
124,Q31235
124,Q483394
124,Q7445771
125,Q11424
126,Q225819
127,Q11424
127,Q34442
128,Q414987
128,Q182076
131,Q11424
131,Q26256512
132,Q188561
132,Q193181
133,Q11424
133,Q3957
134,Q736922
135,Q11424
135,Q293805
135,Q299564
135,Q534423
136,Q11424
137,Q225498
137,Q7936872
138,Q478798
138,Q577
138,Q3010
139,Q7569
139,Q173799
139,Q11425
139,Q838795
139,Q11038979
140,Q938926
140,Q11471
141,Q188561
141,Q410669
142,Q958511
142,Q407985
142,Q1710684
143,Q9415
144,Q18545646
144,Q1712140
145,Q16502
145,Q5410500
145,Q478798
145,Q20655516
145,Q61875635
145,Q26827887
145,Q7578285
146,Q735
146,Q224772
147,Q25235
147,Q414241
147,Q5159367
147,Q407074
148,Q93204
148,Q25372
148,Q11424
148,Q164359
148,Q180210
148,Q400889
148,Q526349
149,Q21510966
150,Q11424
151,Q11424
151,Q188561
151,Q184485
151,Q414987
151,Q242186
151,Q5421978
151,Q340412
153,Q398902
153,Q340383
153,Q7163
153,Q210064
154,Q11424
154,Q478798
154,Q345407
154,Q79782
154,Q2335892
155,Q11424
155,Q414987
155,Q11042
155,Q1570925
156,Q7602551
156,Q813854
156,Q1710684
157,Q938926
157,Q11424
157,Q11471
158,Q180210
159,Q11424
159,Q360797
159,Q169336
159,Q397813
159,Q99751643
159,Q460453
160,Q8436
160,Q11471
160,Q3
160,Q4340209
160,Q420488
160,Q215020
160,Q119799
161,Q11424
161,Q11424
161,Q252678
161,Q8016240
162,Q2976603
162,Q11424
162,Q567053
163,Q958511
163,Q11424
163,Q416981
164,Q8104
164,Q381072
164,Q131395
164,Q564046
165,Q8436
165,Q11424
165,Q577
166,Q11424
166,Q35140
166,Q316
167,Q467
167,Q35140
167,Q131841
167,Q9081
167,Q437052
168,Q11424
168,Q225819
168,Q182076
168,Q401466
169,Q299921
170,Q131841
170,Q193432
170,Q219067
170,Q349
171,Q1054678
171,Q35140
171,Q3230
171,Q914068
171,Q1465769
172,Q40831
172,Q13109234
173,Q131774
173,Q1142227
173,Q299064
173,Q199
174,Q346996
175,Q35140
176,Q12452291
176,Q3230
177,Q11424
177,Q1072
177,Q3010
177,Q82799
177,Q523
178,Q33999
178,Q214339
179,Q11424
179,Q3520772
180,Q11424
180,Q124490
181,Q11424
182,Q227542
183,Q4
183,Q399476
183,Q10870555
184,Q283
186,Q18545646
187,Q3422023
188,Q3
190,Q343542
190,Q178561
190,Q52948
190,Q133250
190,Q198
191,Q11424
191,Q40831
191,Q180210
191,Q365229
192,Q842336
194,Q478798
194,Q15729215
194,Q9165
194,Q258127
195,Q3
195,Q419647
196,Q173253
196,Q35874
196,Q12452291
196,Q343542
196,Q17073982
197,Q316
197,Q571
197,Q408711
197,Q175003
197,Q2238195
198,Q33999
199,Q735
199,Q343542
199,Q1235072
199,Q226669
199,Q227723
199,Q165950
200,Q577
201,Q11471
201,Q2934264
202,Q11424
202,Q1195509
202,Q1297532
203,Q5189153
203,Q108458
204,Q11424
204,Q352904
205,Q341218
205,Q478798
205,Q250925
205,Q3708947
206,Q1451745
206,Q3323529
207,Q345407
207,Q16782317
208,Q11424
208,Q9165
208,Q1436734
208,Q8445
209,Q8171
209,Q450
209,Q748289
210,Q958511
210,Q12452291
210,Q235113
210,Q52943
210,Q485446
210,Q28659447
210,Q508291
211,Q1255864
212,Q11424
212,Q83760
212,Q571
212,Q478798
212,Q3422023
212,Q2917506
213,Q663143
213,Q211198
213,Q4829132
213,Q133279
214,Q663143
214,Q1175140
214,Q34508
214,Q746628
215,Q1794067
215,Q341484
215,Q478798
215,Q126017
216,Q11424
216,Q621695
216,Q295047
216,Q1794067
216,Q198
217,Q467
217,Q316
217,Q410669
217,Q226283
218,Q11424
218,Q3
218,Q38113
219,Q180750
219,Q103076
220,Q11424
220,Q16220058
220,Q225819
220,Q16782409
221,Q379833
221,Q672154
223,Q225819
224,Q958511
224,Q188561
224,Q7602551
224,Q1072
224,Q567053
224,Q131395
224,Q365229
224,Q9165
224,Q3708947
225,Q2472587
225,Q593954
225,Q7311806
226,Q8386
226,Q2920921
226,Q290
228,Q416981
228,Q18545646
228,Q211051
228,Q7560
228,Q177232
228,Q258460
229,Q7569
229,Q251898
229,Q18640910
229,Q282049
229,Q578
230,Q3
230,Q577
230,Q1451745
230,Q231010
230,Q483501
231,Q492
231,Q483394
232,Q15643227
233,Q11424
233,Q571
233,Q131774
233,Q366459
233,Q1110323
233,Q16280097
234,Q3230
235,Q3031
235,Q9415
235,Q343542
235,Q46744
236,Q211198
236,Q33999
236,Q3708947
236,Q226455
237,Q11424
237,Q2095
237,Q82821
239,Q2472587
239,Q8441
239,Q1074
239,Q44619
239,Q80994
239,Q7860
239,Q241519
240,Q8805
240,Q402577
241,Q11424
241,Q416981
241,Q16502
241,Q1174918
241,Q11639
241,Q20655516
241,Q170924
241,Q638
242,Q35140
242,Q9165
243,Q93204
243,Q3
244,Q229806
244,Q178354
246,Q132311
246,Q3010
246,Q1406719
247,Q958511
247,Q225819
247,Q478798
247,Q2995644
247,Q192906
248,Q365229
249,Q211198
249,Q170579
249,Q165
249,Q487
250,Q224798
250,Q41500
251,Q340383
251,Q11038979
251,Q211236
252,Q40831
252,Q483921
252,Q397813
252,Q55634432
253,Q11424
253,Q1195509
253,Q315
253,Q302908
253,Q15808312
254,Q1072
254,Q62075492
254,Q309
254,Q39911
255,Q162668
255,Q11379
255,Q651483
255,Q7515398
256,Q11424
256,Q349894
256,Q224350
256,Q450
256,Q615806
256,Q1128596
256,Q193291
258,Q11410
258,Q98539357
259,Q11424
259,Q346679
259,Q2934264
260,Q225819
261,Q482
261,Q11471
261,Q225819
261,Q414241
261,Q4817665
261,Q7163
262,Q35140
262,Q316
262,Q3595959
263,Q11424
264,Q32043
264,Q213381
264,Q198
265,Q16502
265,Q188572
265,Q577
265,Q18535
265,Q30085855
265,Q342306
265,Q205961
266,Q62075492
266,Q3109189
266,Q16883938
268,Q229806
268,Q224350
269,Q11424
269,Q227737
269,Q1143604
270,Q198
270,Q3708947
270,Q232469
270,Q28510
270,Q1428345
271,Q188561
271,Q410669
272,Q188561
272,Q11424
272,Q170579
273,Q11424
273,Q11471
274,Q25372
274,Q316
274,Q1412160
274,Q37017
274,Q41964982
274,Q179723
275,Q11424
275,Q173253
275,Q8171
275,Q422486
275,Q232576
276,Q8441
276,Q12452291
276,Q208195
277,Q39911
277,Q9907
277,Q1047402
277,Q49007
278,Q11424
278,Q577
278,Q400168
278,Q460453
279,Q35140
279,Q225819
279,Q190507
279,Q48980778
280,Q107
280,Q414987
280,Q232576
280,Q211857
280,Q1714531
281,Q188561
282,Q11471
282,Q29142
282,Q40831
282,Q264890
282,Q170238
284,Q11424
284,Q40831
284,Q316
284,Q160232
285,Q173253
285,Q11424
285,Q454839
285,Q352904
285,Q4424127
286,Q341484
288,Q11424
288,Q11424
288,Q3708947
288,Q186892
288,Q218743
289,Q1174918
289,Q11471
289,Q2066131
289,Q354671
289,Q105674
290,Q11424
291,Q8436
291,Q1142227
292,Q483921
293,Q11424
293,Q41273
294,Q7565
294,Q8441
294,Q3010
294,Q1166770
294,Q406615
294,Q180516
295,Q483921
295,Q8261
296,Q958511
296,Q1714531
296,Q233765
296,Q257927
296,Q1329012
296,Q399857
297,Q19956728
298,Q25372
298,Q297803
298,Q38926
298,Q131572
299,Q33999
299,Q341484
299,Q3222002
300,Q1905121
300,Q1420
300,Q226427
300,Q650711
300,Q345264
301,Q18545646
