doc,relation,idf,idf_wiki
0,P279,1.1922542237720928,10.238218902894415
4,P279,1.1922542237720928,10.238218902894415
5,P279,1.1922542237720928,10.238218902894415
5,P1535,5.585468047836539,14.631432726958861
5,P3095,2.633165332209884,11.679130011332205
8,P279,1.1922542237720928,10.238218902894415
8,P1552,2.5760794478350624,11.622044126957384
8,P156,4.103863506912323,13.149828186034645
10,P279,1.1922542237720928,10.238218902894415
12,P279,1.1922542237720928,10.238218902894415
13,P361,2.1917989325951748,11.237763611717497
22,P279,2.3845084475441856,20.47643780578883
22,P3095,2.633165332209884,11.679130011332205
23,P361,2.1917989325951748,11.237763611717497
24,P425,3.521774863124842,12.567739542247164
25,P1552,2.5760794478350624,11.622044126957384
30,P425,3.521774863124842,12.567739542247164
31,P279,2.3845084475441856,20.47643780578883
31,P155,3.9710425938913994,13.017007273013721
32,P279,1.1922542237720928,10.238218902894415
34,P361,2.1917989325951748,11.237763611717497
35,P279,1.1922542237720928,10.238218902894415
37,P279,1.1922542237720928,10.238218902894415
37,P3095,2.633165332209884,11.679130011332205
38,P279,1.1922542237720928,10.238218902894415
39,P921,3.410716326352378,12.4566810054747
39,P3095,2.633165332209884,11.679130011332205
40,P425,3.521774863124842,12.567739542247164
44,P2789,4.4540659363454385,13.500030615467761
44,P703,4.478556956353734,13.524521635476056
47,P279,1.1922542237720928,10.238218902894415
49,P279,2.3845084475441856,20.47643780578883
52,P279,1.1922542237720928,10.238218902894415
52,P1552,2.5760794478350624,11.622044126957384
53,P279,1.1922542237720928,10.238218902894415
55,P279,1.1922542237720928,10.238218902894415
61,P279,1.1922542237720928,10.238218902894415
61,P3095,2.633165332209884,11.679130011332205
61,P366,3.263080327546313,12.309045006668635
62,P425,3.521774863124842,12.567739542247164
62,P279,1.1922542237720928,10.238218902894415
63,P279,1.1922542237720928,10.238218902894415
63,P155,3.9710425938913994,13.017007273013721
64,P186,4.369072723512046,13.415037402634368
64,P279,3.5767626713162786,30.714656708683243
64,P1552,2.5760794478350624,11.622044126957384
