doc,relation,idf,idf_wiki
0,P279,1.1922542237720928,10.238218902894415
4,P279,1.1922542237720928,10.238218902894415
4,P527,2.0746691562593025,11.120633835381625
5,P279,1.1922542237720928,10.238218902894415
5,P1535,5.585468047836539,14.631432726958861
5,P3095,2.633165332209884,11.679130011332205
7,P31,1.899091723940721,10.945056403063044
8,P279,1.1922542237720928,10.238218902894415
8,P1552,2.5760794478350624,11.622044126957384
8,P156,4.103863506912323,13.149828186034645
10,P31,1.899091723940721,10.945056403063044
10,P527,4.149338312518605,22.24126767076325
10,P279,1.1922542237720928,10.238218902894415
12,P31,1.899091723940721,10.945056403063044
12,P279,1.1922542237720928,10.238218902894415
13,P527,4.149338312518605,22.24126767076325
13,P361,2.1917989325951748,11.237763611717497
17,P31,1.899091723940721,10.945056403063044
18,P31,1.899091723940721,10.945056403063044
22,P279,2.3845084475441856,20.47643780578883
22,P31,1.899091723940721,10.945056403063044
22,P3095,2.633165332209884,11.679130011332205
23,P31,3.798183447881442,21.890112806126087
23,P527,2.0746691562593025,11.120633835381625
23,P361,2.1917989325951748,11.237763611717497
24,P425,3.521774863124842,12.567739542247164
25,P1552,2.5760794478350624,11.622044126957384
26,P527,8.29867662503721,44.4825353415265
30,P425,3.521774863124842,12.567739542247164
31,P279,2.3845084475441856,20.47643780578883
31,P155,3.9710425938913994,13.017007273013721
32,P279,1.1922542237720928,10.238218902894415
34,P31,1.899091723940721,10.945056403063044
34,P361,2.1917989325951748,11.237763611717497
35,P31,1.899091723940721,10.945056403063044
35,P279,1.1922542237720928,10.238218902894415
37,P279,1.1922542237720928,10.238218902894415
37,P31,1.899091723940721,10.945056403063044
37,P3095,2.633165332209884,11.679130011332205
38,P279,1.1922542237720928,10.238218902894415
39,P31,1.899091723940721,10.945056403063044
39,P921,3.410716326352378,12.4566810054747
39,P3095,2.633165332209884,11.679130011332205
40,P425,3.521774863124842,12.567739542247164
44,P2789,4.4540659363454385,13.500030615467761
44,P703,4.478556956353734,13.524521635476056
46,P31,1.899091723940721,10.945056403063044
