doc,relation,idf,idf_wiki
2,P1056,1.1580242245885017,10.203895108278592
3,P1056,1.1580242245885017,10.203895108278592
4,P136,5.8125082220644275,23.904249989444608
5,P1056,1.1580242245885017,10.203895108278592
8,P156,3.425116517435847,12.470987401125939
8,P2670,3.0186912556293395,12.064562139319431
10,P1382,2.997797808041062,12.043668691731153
11,P106,3.0186912556293395,12.064562139319431
12,P1056,1.1580242245885017,10.203895108278592
12,P462,9.041702212552684,27.133443979932863
13,P398,11.17112368653754,29.262865453917723
13,P397,17.826710361622506,44.96432301269278
13,P138,3.745012209871283,12.790883093561375
13,P1056,1.1580242245885017,10.203895108278592
13,P376,5.3826209992720795,14.42849188296217
13,P551,6.18339884402439,15.229269727714481
13,P1165,6.501852575142925,15.547723458833016
15,P1056,1.1580242245885017,10.203895108278592
17,P155,6.1723543486002335,24.264096115980415
17,P689,3.57399772399202,12.619868607682111
17,P2578,3.7099208900600127,12.755791773750104
20,P1056,1.1580242245885017,10.203895108278592
21,P1056,1.1580242245885017,10.203895108278592
22,P3712,3.8539062981104206,12.899777181800511
23,P452,5.748080772766545,14.793951656456636
23,P355,6.18339884402439,15.229269727714481
23,P1056,1.1580242245885017,10.203895108278592
23,P1830,6.18339884402439,15.229269727714481
23,P398,5.58556184326877,14.631432726958861
23,P272,6.016344759361225,15.062215643051315
23,P127,6.18339884402439,15.229269727714481
24,P106,54.33644260132811,217.16211850774977
24,P111,2.836689647646305,11.882560531336395
26,P1056,1.1580242245885017,10.203895108278592
27,P1056,1.1580242245885017,10.203895108278592
28,P1056,2.3160484491770035,20.407790216557185
28,P136,2.9062541110322138,11.952124994722304
29,P2579,3.448441190002256,12.494312073692347
29,P2578,3.7099208900600127,12.755791773750104
30,P155,3.0861771743001167,12.132048057990207
30,P106,54.33644260132811,217.16211850774977
30,P111,14.183448238231524,59.412802656681976
30,P156,3.425116517435847,12.470987401125939
31,P155,3.0861771743001167,12.132048057990207
31,P1382,11.991191232164248,48.17467476692461
31,P1056,1.1580242245885017,10.203895108278592
31,P689,3.57399772399202,12.619868607682111
32,P1382,5.995595616082124,24.087337383462305
32,P155,6.1723543486002335,24.264096115980415
32,P101,3.8320235868609127,12.877894470551004
32,P136,2.9062541110322138,11.952124994722304
34,P828,6.570959760985686,24.66270152836587
34,P2579,3.448441190002256,12.494312073692347
34,P1056,1.1580242245885017,10.203895108278592
34,P1557,21.66399437386701,66.89334879231747
34,P1542,12.634196687598688,48.81768022235905
34,P2578,7.419841780120025,25.51158354750021
34,P1536,4.6397123091530705,13.685583192843161
35,P111,5.67337929529261,23.76512106267279
35,P2578,3.7099208900600127,12.755791773750104
37,P376,5.3826209992720795,14.42849188296217
37,P3712,3.8539062981104206,12.899777181800511
40,P106,54.33644260132811,217.16211850774977
40,P1056,1.1580242245885017,10.203895108278592
41,P136,5.8125082220644275,23.904249989444608
42,P1344,4.6397123091530705,13.685583192843161
44,P2789,8.174110983083903,26.265852750464084
44,P703,4.186844962150322,13.232715845840413
45,P1056,1.1580242245885017,10.203895108278592
46,P156,3.425116517435847,12.470987401125939
46,P2789,4.0870554915419515,13.132926375232042
46,P1056,1.1580242245885017,10.203895108278592
46,P155,3.0861771743001167,12.132048057990207
47,P1056,1.1580242245885017,10.203895108278592
48,P1056,1.1580242245885017,10.203895108278592
52,P1056,1.1580242245885017,10.203895108278592
53,P138,3.745012209871283,12.790883093561375
54,P1056,1.1580242245885017,10.203895108278592
55,P111,2.836689647646305,11.882560531336395
55,P2670,3.0186912556293395,12.064562139319431
55,P1344,4.6397123091530705,13.685583192843161
57,P360,10.139497355983481,28.23123912336366
58,P1056,1.1580242245885017,10.203895108278592
59,P1382,2.997797808041062,12.043668691731153
60,P1056,1.1580242245885017,10.203895108278592
60,P101,3.8320235868609127,12.877894470551004
61,P3712,3.8539062981104206,12.899777181800511
62,P106,54.33644260132811,217.16211850774977
62,P101,3.8320235868609127,12.877894470551004
62,P111,2.836689647646305,11.882560531336395
63,P155,3.0861771743001167,12.132048057990207
63,P689,3.57399772399202,12.619868607682111
64,P186,6.7110948862191195,24.8028366535993
64,P1542,3.158549171899672,12.204420055589763
64,P828,3.285479880492843,12.331350764182934
64,P136,17.437524666193283,71.71274996833382
66,P1995,4.74184180422945,13.78771268791954
66,P1056,1.1580242245885017,10.203895108278592
66,P2579,3.448441190002256,12.494312073692347
68,P1056,1.1580242245885017,10.203895108278592
70,P689,3.57399772399202,12.619868607682111
72,P1056,1.1580242245885017,10.203895108278592
74,P1542,3.158549171899672,12.204420055589763
74,P828,3.285479880492843,12.331350764182934
77,P17,17.93581329413513,45.0734259452054
77,P1056,1.1580242245885017,10.203895108278592
77,P1382,2.997797808041062,12.043668691731153
77,P407,21.98559344498218,49.123206096052456
77,P2936,8.175829008714597,17.221699892404686
79,P138,3.745012209871283,12.790883093561375
79,P2283,3.8539062981104206,12.899777181800511
80,P1056,1.1580242245885017,10.203895108278592
81,P689,3.57399772399202,12.619868607682111
82,P1542,3.158549171899672,12.204420055589763
82,P828,3.285479880492843,12.331350764182934
83,P1056,1.1580242245885017,10.203895108278592
86,P156,6.850233034871694,24.941974802251877
86,P155,3.0861771743001167,12.132048057990207
86,P1542,3.158549171899672,12.204420055589763
86,P138,3.745012209871283,12.790883093561375
86,P2670,3.0186912556293395,12.064562139319431
88,P3712,3.8539062981104206,12.899777181800511
89,P155,3.0861771743001167,12.132048057990207
90,P2579,6.896882380004512,24.988624147384694
90,P1382,5.995595616082124,24.087337383462305
90,P828,3.285479880492843,12.331350764182934
90,P3712,3.8539062981104206,12.899777181800511
93,P2789,8.174110983083903,26.265852750464084
93,P1056,1.1580242245885017,10.203895108278592
93,P2578,3.7099208900600127,12.755791773750104
94,P155,3.0861771743001167,12.132048057990207
94,P156,6.850233034871694,24.941974802251877
96,P1542,3.158549171899672,12.204420055589763
98,P1056,1.1580242245885017,10.203895108278592
99,P111,5.67337929529261,23.76512106267279
100,P1056,1.1580242245885017,10.203895108278592
101,P1056,1.1580242245885017,10.203895108278592
102,P1382,5.995595616082124,24.087337383462305
103,P1056,1.1580242245885017,10.203895108278592
104,P1382,2.997797808041062,12.043668691731153
105,P1056,1.1580242245885017,10.203895108278592
106,P1056,1.1580242245885017,10.203895108278592
108,P106,9.05607376688802,36.19368641795829
109,P1056,1.1580242245885017,10.203895108278592
110,P106,54.33644260132811,217.16211850774977
113,P780,6.709491939921169,15.75536282361126
113,P689,7.14799544798404,25.239737215364222
113,P1382,2.997797808041062,12.043668691731153
114,P1056,1.1580242245885017,10.203895108278592
115,P1056,1.1580242245885017,10.203895108278592
116,P1382,2.997797808041062,12.043668691731153
117,P1056,1.1580242245885017,10.203895108278592
119,P156,3.425116517435847,12.470987401125939
119,P1056,1.1580242245885017,10.203895108278592
119,P111,5.67337929529261,23.76512106267279
119,P155,3.0861771743001167,12.132048057990207
120,P1056,1.1580242245885017,10.203895108278592
120,P689,3.57399772399202,12.619868607682111
121,P4934,9.96796371246863,28.059705479848812
121,P1542,3.158549171899672,12.204420055589763
122,P136,5.8125082220644275,23.904249989444608
123,P3828,6.384069539486542,15.429940423176632
125,P138,3.745012209871283,12.790883093561375
125,P1056,1.1580242245885017,10.203895108278592
127,P2670,3.0186912556293395,12.064562139319431
127,P1056,1.1580242245885017,10.203895108278592
128,P495,5.61087965125306,14.65675053494315
128,P927,11.444567349715642,38.58218000078591
131,P1056,1.1580242245885017,10.203895108278592
132,P1056,1.1580242245885017,10.203895108278592
132,P111,5.67337929529261,23.76512106267279
133,P3730,5.5608692306783984,14.60674011436849
133,P1056,1.1580242245885017,10.203895108278592
133,P3729,5.5608692306783984,14.60674011436849
135,P2670,3.0186912556293395,12.064562139319431
136,P1056,1.1580242245885017,10.203895108278592
139,P156,3.425116517435847,12.470987401125939
139,P2079,5.025946055333347,14.071816939023439
139,P2670,3.0186912556293395,12.064562139319431
139,P106,3.0186912556293395,12.064562139319431
140,P111,5.67337929529261,23.76512106267279
143,P1542,3.158549171899672,12.204420055589763
143,P462,13.562553318829025,40.700165969899295
143,P828,3.285479880492843,12.331350764182934
144,P1557,4.332798874773402,13.378669758463493
145,P2579,3.448441190002256,12.494312073692347
145,P1382,5.995595616082124,24.087337383462305
145,P2578,7.419841780120025,25.51158354750021
145,P106,3.0186912556293395,12.064562139319431
148,P1382,11.991191232164248,48.17467476692461
148,P641,5.115558214023035,14.161429097713125
148,P1056,1.1580242245885017,10.203895108278592
148,P136,5.8125082220644275,23.904249989444608
149,P1056,1.1580242245885017,10.203895108278592
150,P1056,1.1580242245885017,10.203895108278592
151,P1056,1.1580242245885017,10.203895108278592
153,P101,3.8320235868609127,12.877894470551004
154,P1056,1.1580242245885017,10.203895108278592
155,P2579,6.896882380004512,24.988624147384694
155,P1056,1.1580242245885017,10.203895108278592
156,P1382,2.997797808041062,12.043668691731153
157,P1056,1.1580242245885017,10.203895108278592
157,P111,5.67337929529261,23.76512106267279
159,P186,3.3555474431095598,12.40141832679965
159,P1056,1.1580242245885017,10.203895108278592
159,P1557,4.332798874773402,13.378669758463493
160,P780,6.709491939921169,15.75536282361126
160,P689,7.14799544798404,25.239737215364222
160,P1382,2.997797808041062,12.043668691731153
160,P111,5.67337929529261,23.76512106267279
161,P710,6.9718562043886605,16.01772708807875
161,P1056,1.1580242245885017,10.203895108278592
162,P1056,1.1580242245885017,10.203895108278592
162,P1536,4.6397123091530705,13.685583192843161
163,P1056,1.1580242245885017,10.203895108278592
164,P276,5.231390029548156,14.277260913238248
165,P1056,1.1580242245885017,10.203895108278592
165,P1382,2.997797808041062,12.043668691731153
166,P1056,1.1580242245885017,10.203895108278592
167,P155,3.0861771743001167,12.132048057990207
167,P689,3.57399772399202,12.619868607682111
168,P1056,1.1580242245885017,10.203895108278592
171,P376,5.3826209992720795,14.42849188296217
171,P1557,4.332798874773402,13.378669758463493
173,P155,3.0861771743001167,12.132048057990207
173,P156,6.850233034871694,24.941974802251877
176,P376,5.3826209992720795,14.42849188296217
177,P2789,8.174110983083903,26.265852750464084
177,P703,4.186844962150322,13.232715845840413
177,P1056,1.1580242245885017,10.203895108278592
178,P106,54.33644260132811,217.16211850774977
179,P1056,1.1580242245885017,10.203895108278592
