doc,relation,idf,idf_wiki
0,P279,1.3133691139326429,46.54272353238309
0,P361,1.042267060998766,10.088137944688857
0,P460,4.335670319310808,22.42741208669099
0,P1889,1.3738046843647016,10.419675568054792
0,P31,0.5702707376363202,9.616141621326411
2,P279,1.5760429367191713,55.85126823885972
2,P1056,1.1580242245885017,10.203895108278592
2,P31,25.66218319363441,432.7263729596885
2,P1269,0.8238153502385821,9.869686233928674
2,P921,1.0232991582919553,10.069170041982046
3,P279,1.3133691139326429,46.54272353238309
3,P1056,1.1580242245885017,10.203895108278592
3,P31,25.66218319363441,432.7263729596885
3,P1269,0.8238153502385821,9.869686233928674
3,P921,1.0232991582919553,10.069170041982046
4,P279,2.364064405078757,83.77690235828958
4,P527,9.457615125267965,81.82458219478869
4,P366,1.8053574124614717,10.851228296151563
4,P1889,10.990437474917613,83.35740454443834
4,P460,4.335670319310808,22.42741208669099
4,P31,1.1405414752726404,19.232283242652823
4,P361,1.042267060998766,10.088137944688857
4,P136,5.8125082220644275,23.904249989444608
5,P279,2.1013905822922285,74.46835765181295
5,P366,9.026787062307358,54.25614148075781
5,P1535,3.6011180302112136,12.646988913901305
5,P3095,1.963222912963078,11.009093796653168
5,P1056,1.1580242245885017,10.203895108278592
5,P31,25.66218319363441,432.7263729596885
5,P425,2.0027375904953386,11.04860847418543
5,P1269,0.8238153502385821,9.869686233928674
5,P921,1.0232991582919553,10.069170041982046
6,P1889,5.495218737458806,41.67870227221917
7,P31,0.5702707376363202,9.616141621326411
8,P279,1.8387167595057,65.15981294533633
8,P1552,1.8076418223641042,10.853512706054195
8,P156,3.425116517435847,12.470987401125939
8,P366,1.8053574124614717,10.851228296151563
8,P1889,2.747609368729403,20.839351136109585
8,P31,1.1405414752726404,19.232283242652823
8,P527,1.1822018906584957,10.228072774348586
8,P1535,7.202236060422427,25.29397782780261
8,P2670,3.0186912556293395,12.064562139319431
9,P1889,2.747609368729403,20.839351136109585
9,P527,1.1822018906584957,10.228072774348586
9,P921,1.0232991582919553,10.069170041982046
9,P279,0.26267382278652857,9.308544706476619
9,P1269,0.8238153502385821,9.869686233928674
10,P279,1.0506952911461143,37.234178825906476
10,P527,2.3644037813169914,20.456145548697172
10,P361,1.042267060998766,10.088137944688857
10,P1382,2.997797808041062,12.043668691731153
10,P31,0.5702707376363202,9.616141621326411
11,P31,0.5702707376363202,9.616141621326411
11,P106,3.0186912556293395,12.064562139319431
12,P31,26.23245393127073,442.34251458101494
12,P279,1.5760429367191713,55.85126823885972
12,P1056,1.1580242245885017,10.203895108278592
12,P462,9.041702212552684,27.133443979932863
12,P1269,0.8238153502385821,9.869686233928674
12,P527,1.1822018906584957,10.228072774348586
12,P921,1.0232991582919553,10.069170041982046
13,P527,4.728807562633983,40.912291097394345
13,P398,11.17112368653754,29.262865453917723
13,P397,17.826710361622506,44.96432301269278
13,P1889,5.495218737458806,41.67870227221917
13,P460,4.335670319310808,22.42741208669099
13,P461,3.064078551133849,21.15582031851403
13,P138,3.745012209871283,12.790883093561375
13,P361,3.1268011829962985,30.26441383406657
13,P279,1.5760429367191713,55.85126823885972
13,P1056,1.1580242245885017,10.203895108278592
13,P376,5.3826209992720795,14.42849188296217
13,P31,26.23245393127073,442.34251458101494
13,P1269,0.8238153502385821,9.869686233928674
13,P921,1.0232991582919553,10.069170041982046
13,P551,6.18339884402439,15.229269727714481
13,P1165,6.501852575142925,15.547723458833016
14,P31,0.5702707376363202,9.616141621326411
14,P279,0.26267382278652857,9.308544706476619
14,P1889,2.747609368729403,20.839351136109585
14,P1552,3.6152836447282084,21.70702541210839
14,P366,1.8053574124614717,10.851228296151563
15,P279,1.3133691139326429,46.54272353238309
15,P1056,1.1580242245885017,10.203895108278592
15,P31,25.66218319363441,432.7263729596885
15,P1269,0.8238153502385821,9.869686233928674
15,P921,1.0232991582919553,10.069170041982046
17,P279,1.8387167595057,65.15981294533633
17,P461,9.192235653401546,63.467460955542094
17,P1889,2.747609368729403,20.839351136109585
17,P460,8.671340638621617,44.85482417338198
17,P155,6.1723543486002335,24.264096115980415
17,P31,0.5702707376363202,9.616141621326411
17,P527,1.1822018906584957,10.228072774348586
17,P1552,3.6152836447282084,21.70702541210839
17,P689,3.57399772399202,12.619868607682111
17,P2578,3.7099208900600127,12.755791773750104
18,P31,0.5702707376363202,9.616141621326411
19,P279,0.7880214683595856,27.92563411942986
19,P1552,1.8076418223641042,10.853512706054195
20,P279,1.3133691139326429,46.54272353238309
20,P1056,1.1580242245885017,10.203895108278592
20,P31,25.66218319363441,432.7263729596885
20,P1269,0.8238153502385821,9.869686233928674
20,P921,1.0232991582919553,10.069170041982046
21,P279,1.3133691139326429,46.54272353238309
21,P1056,1.1580242245885017,10.203895108278592
21,P31,25.66218319363441,432.7263729596885
21,P1269,0.8238153502385821,9.869686233928674
21,P921,1.0232991582919553,10.069170041982046
22,P31,1.1405414752726404,19.232283242652823
