entity1,relations,entity2
Q431289,P279,Q167270
Q93204,P279,Q11424
Q2472587,P460,Q6266
Q2472587,P527,Q5
Q2472587,P1889,Q5
Q2472587,P1889,Q6266
Q627603,P279,Q93184
Q37260,P1535,Q5
Q37260,P3095,Q36180
Q118157,P31,Q151885
Q7569,P279,Q5
Q7569,P1552,Q276258
Q7569,P156,Q131774
Q173253,P1889,Q205555
Q2976603,P31,Q151885
Q8436,P527,Q8441
Q8436,P527,Q467
Q1445650,P279,Q573
Q1088,P31,Q1075
Q1088,P279,Q9128
Q2,P527,Q3230
Q2,P1889,Q11081619
Q2,P460,Q16502
Q25235,P527,Q7727
Q25235,P361,Q573
Q162668,P1889,Q558363
Q16502,P31,Q151885
Q16502,P460,Q2
Q1255864,P31,Q205555
Q35874,P279,Q9332
Q35874,P1889,Q170579
Q35874,P31,Q483394
Q35874,P3095,Q245068
Q1090839,P279,Q989963
Q7414,P31,Q4830453
Q7727,P527,Q11574
Q7727,P361,Q25235
Q272937,P31,Q8171
Q33999,P425,Q222749
Q9332,P1552,Q2724302
Q184485,P527,Q11639
Q184485,P527,Q638
Q184485,P527,Q1344
Q184485,P527,Q11635
Q184485,P1889,Q222749
Q5410500,P461,Q34302
Q164359,P279,Q9081
Q164359,P1382,Q46744
Q164359,P1382,Q9081
Q467,P279,Q80994
Q467,P461,Q8441
Q467,P155,Q3031
Q3031,P279,Q7569
Q3031,P461,Q3010
Q7949,P460,Q188572
Q7949,P461,Q4925193
Q7949,P1382,Q1530061
Q4,P461,Q3
Q4,P361,Q3
Q241625,P279,Q775842
Q29142,P279,Q83267
Q40831,P31,Q483394
Q40831,P921,Q35874
Q40831,P3095,Q245068
Q621695,P461,Q1208425
Q1072,P2789,Q9609
Q1072,P703,Q729
Q8805,P31,Q151885
Q214339,P527,Q9332
Q23445,P461,Q23444
Q23445,P31,Q1075
Q11639,P279,Q184485
Q316,P461,Q160232
Q316,P279,Q1124198
Q316,P279,Q9415
Q3,P461,Q4
Q3,P279,Q203872
Q3,P527,Q4
Q3,P1552,Q483921
Q7565,P279,Q7566
Q7565,P461,Q7560
Q40050,P279,Q2095
Q7163,P31,Q483394
Q173799,P366,Q208195
Q12823105,P279,Q180516
Q571,P186,Q11472
Q571,P279,Q49848
Q571,P1552,Q482980
Q571,P366,Q199657
Q8261,P279,Q1318295
Q8261,P279,Q571
Q1026040,P1995,Q9418
Q309,P1269,Q192630
Q134307,P180,Q215627
Q134307,P279,Q478798
Q169251,P461,Q935526
Q169251,P461,Q8
Q169251,P279,Q9415
Q162244,P279,Q215627
Q162244,P1552,Q15290
Q5,P1552,Q48277
Q5,P1552,Q641118
Q5,P1889,Q2472587
Q5,P1889,Q215627
Q5,P2670,Q215627
Q5,P279,Q215627
Q12097,P279,Q8441
Q15292,P461,Q15290
Q8441,P279,Q80994
Q8441,P461,Q467
Q8441,P361,Q8436
Q9415,P1542,Q205555
Q9415,P1889,Q205555
Q9128,P461,Q204170
Q735,P279,Q170658
Q735,P361,Q11042
