entity1,relations,entity2
Q8003276,P106,Q33999
Q2,P398,Q405
Q2,P397,Q525
Q2,P138,Q36133
Q7414,P452,Q49389
Q7414,P355,Q127552
Q7414,P1056,Q7397
Q7414,P1830,Q127552
Q634,P398,Q26540
Q932586,P1056,Q11424
Q5410500,P2579,Q34178
Q164359,P1382,Q46744
Q164359,P1382,Q9081
Q7949,P1382,Q1530061
Q4,P828,Q149086
Q4,P828,Q10737
Q9174,P2579,Q34178
Q3230,P376,Q2
Q49835,P1344,Q491
Q1072,P2789,Q9609
Q1072,P703,Q729
Q16363,P2789,Q9633
Q253276,P111,Q36253
Q34442,P2670,Q177749
Q571,P186,Q11472
Q571,P186,Q389782
Q9415,P1542,Q205555
Q1026040,P1995,Q9418
Q8641,P17,Q31
Q8641,P17,Q155
Q8641,P17,Q183
Q11042,P2579,Q132151
Q11042,P2579,Q23404
Q1367353,P1382,Q5166129
Q1761451,P828,Q192906
Q9609,P2789,Q1072
Q1683540,P1382,Q337349
Q4340209,P780,Q9690
Q4340209,P689,Q8441
Q4340209,P689,Q467
Q11402,P4934,Q41273
Q1046801,P138,Q116434
Q265264,P495,Q183
Q3957,P3730,Q515
Q1052,P462,Q3133
Q1052,P462,Q1088
Q1052,P462,Q943
Q16278392,P641,Q2736
Q259059,P1382,Q8436
Q460453,P186,Q5159627
Q8016240,P710,Q41487
Q48422,P1557,Q4
Q1029907,P2789,Q173710
Q124490,P1542,Q81938
Q124490,P1542,Q193078
Q283,P462,Q3133
Q283,P462,Q23444
Q52948,P276,Q58778
Q446,P1419,Q17278
Q4916,P17,Q31
Q4916,P17,Q183
Q4916,P17,Q38
Q171558,P1542,Q193078
Q171558,P1542,Q4
Q8434,P2579,Q7922
Q9081,P1382,Q46744
Q9081,P1382,Q164359
Q508291,P1382,Q1207152
Q972027,P138,Q16515017
Q578,P111,Q11471
Q708,P462,Q42519
Q46744,P1382,Q9081
Q46744,P1382,Q164359
Q44426,P106,Q28389
Q44426,P106,Q214917
Q44426,P106,Q33999
Q44426,P106,Q222344
Q44426,P106,Q482980
Q44426,P27,Q183
Q44426,P737,Q38757
Q89,P462,Q943
Q89,P462,Q3133
Q89,P462,Q23444
Q160232,P1542,Q770480
Q298364,P1196,Q149086
Q298364,P1399,Q132821
Q298364,P91,Q6636
Q298364,P106,Q4991371
Q298364,P1884,Q202466
Q132821,P2670,Q17197559
Q486748,P2283,Q5994
Q3109189,P641,Q12100
Q3109189,P360,Q8171
Q179723,P2283,Q729
Q179723,P2283,Q5
Q515,P3729,Q3957
Q186892,P1995,Q9418
Q41273,P4934,Q11423
Q41273,P4934,Q11465
Q1124198,P101,Q5891
Q1420,P1542,Q61509
Q558363,P927,Q7364
Q558363,P2670,Q7364
Q188652,P136,Q188473
Q208160,P1382,Q362547
Q165947,P1542,Q213449
Q337349,P1382,Q1530061
Q337349,P1382,Q1683540
Q205555,P828,Q9415
Q7242,P1382,Q1207152
Q125191,P2079,Q11633
Q6428674,P2579,Q309
Q1207302,P129,Q2095
Q36963,P121,Q34168
Q23392,P186,Q283
Q9215,P101,Q41630
Q9215,P39,Q121594
Q185583,P186,Q11002
Q723897,P1557,Q215772
Q35473,P186,Q11469
Q3196,P828,Q133235
Q3196,P1536,Q210064
Q7958,P3712,Q46744
Q558116,P17,Q183
Q517,P106,Q372436
Q517,P106,Q39018
Q168983,P1536,Q130768
Q168983,P1536,Q109607
Q7925,P1542,Q8068
Q1140647,P641,Q5369
Q36507,P111,Q11471
Q1073,P927,Q23640
Q2329,P2184,Q39689
Q2329,P1365,Q39689
Q2329,P2578,Q79529
Q2329,P2579,Q11023
Q2329,P138,Q39689
Q641118,P2579,Q9418
Q8425,P2579,Q21201
Q8425,P2670,Q5
Q706622,P1382,Q4503831
Q1107,P2079,Q11425
Q166118,P101,Q1379672
Q55375,P106,Q28389
Q55375,P106,Q33999
Q55375,P509,Q12078
Q55375,P793,Q8445
Q55375,P793,Q93190
Q7561,P462,Q23444
Q38198189,P1542,Q44619
Q353673,P1344,Q49836
Q38757,P106,Q214917
Q38757,P106,Q28389
Q38757,P106,Q49757
Q38757,P106,Q36180
Q38757,P106,Q482980
Q5,P2579,Q23404
Q5,P2670,Q215627
Q2576226,P927,Q9645
Q407747,P1478,Q770480
Q10943,P186,Q8495
Q8018,P106,Q4964182
Q8018,P106,Q201788
Q8018,P106,Q49757
Q8018,P106,Q36180
Q8018,P1576,Q45996
Q8018,P101,Q5891
Q8018,P101,Q34178
Q6460735,P2670,Q213449
Q58778,P2579,Q269699
Q49845,P17,Q38
Q192941,P86,Q7311
Q192941,P495,Q38
Q11019,P101,Q11023
Q1229994,P1995,Q9418
Q751876,P1382,Q23413
Q6501338,P1995,Q9418
Q1246967,P106,Q639669
Q16886469,P1382,Q1074648
Q48277,P2579,Q21201
Q65111,P106,Q28389
Q65111,P27,Q183
Q5852,P186,Q28823
Q5852,P186,Q42329
Q1145275,P136,Q188473
Q362547,P1382,Q208160
Q12136,P2579,Q7208
Q48301,P737,Q9358
Q48301,P737,Q6512
Q48301,P106,Q4964182
Q48301,P106,Q49757
Q48301,P101,Q5891
Q48301,P512,Q849697
