entity1,relations,entity2
Q431289,P279,Q167270
Q93204,P279,Q11424
Q627603,P279,Q93184
Q37260,P1535,Q5
Q37260,P3095,Q36180
Q7569,P279,Q5
Q7569,P1552,Q276258
Q7569,P156,Q131774
Q1445650,P279,Q573
Q1088,P279,Q9128
Q25235,P361,Q573
Q35874,P279,Q9332
Q35874,P3095,Q245068
Q1090839,P279,Q989963
Q7727,P361,Q25235
Q33999,P425,Q222749
Q9332,P1552,Q2724302
Q164359,P279,Q9081
Q467,P279,Q80994
Q467,P155,Q3031
Q3031,P279,Q7569
Q4,P361,Q3
Q241625,P279,Q775842
Q29142,P279,Q83267
Q40831,P921,Q35874
Q40831,P3095,Q245068
Q1072,P2789,Q9609
Q1072,P703,Q729
Q11639,P279,Q184485
Q316,P279,Q1124198
Q316,P279,Q9415
Q3,P279,Q203872
Q3,P1552,Q483921
Q7565,P279,Q7566
Q40050,P279,Q2095
Q173799,P366,Q208195
Q12823105,P279,Q180516
Q571,P186,Q11472
Q571,P279,Q49848
Q571,P1552,Q482980
Q571,P366,Q199657
Q8261,P279,Q1318295
Q8261,P279,Q571
Q1026040,P1995,Q9418
Q134307,P279,Q478798
Q169251,P279,Q9415
Q162244,P279,Q215627
Q162244,P1552,Q15290
Q5,P1552,Q48277
Q5,P1552,Q641118
Q5,P279,Q215627
Q12097,P279,Q8441
Q8441,P279,Q80994
Q8441,P361,Q8436
Q9415,P1542,Q205555
Q735,P279,Q170658
Q735,P361,Q11042
Q735,P3095,Q483501
Q61509,P279,Q79782
Q37226,P425,Q8434
Q37226,P279,Q702269
Q170584,P1552,Q4503831
Q170584,P1552,Q327245
Q9609,P2789,Q1072
Q131774,P155,Q276258
Q188572,P361,Q7949
Q188572,P1552,Q7949
Q235282,P279,Q379833
Q235282,P361,Q1318295
Q131841,P361,Q9420
Q131841,P279,Q151885
Q31235,P279,Q11424
Q4340209,P780,Q9690
Q4340209,P689,Q8441
Q4340209,P689,Q467
Q28578,P279,Q775842
Q3882219,P279,Q132821
Q1313,P156,Q1314
Q1313,P279,Q24384
Q11402,P4934,Q41273
Q7743,P279,Q41176
Q7743,P279,Q3947
Q3957,P361,Q6256
Q3957,P279,Q177634
Q3957,P3730,Q515
Q3010,P279,Q7569
Q11425,P279,Q932586
Q838795,P279,Q1004
Q1712140,P279,Q9332
Q79782,P1552,Q11465
Q9081,P279,Q492
Q193432,P279,Q215627
Q349,P3095,Q2066131
Q349,P366,Q208195
Q3230,P361,Q2
Q3230,P376,Q2
Q82799,P279,Q8171
Q82799,P279,Q3695082
Q82799,P361,Q315
Q124490,P1542,Q81938
Q124490,P361,Q600571
Q10870555,P279,Q49848
Q283,P1552,Q1075
Q283,P361,Q2095
Q178561,P361,Q198
Q178561,P279,Q650711
Q52948,P276,Q58778
Q9165,P279,Q450
Q9165,P361,Q215627
Q2238195,P279,Q35874
Q165950,P279,Q83267
Q235113,P279,Q193291
Q746628,P279,Q180516
Q126017,P279,Q36253
Q7560,P279,Q7566
Q578,P111,Q11471
