entity1,relation,entity2
Q431289,P279,Q16889133
Q431289,P279,Q167270
Q431289,P910,Q6450098
Q431289,P1963,P154
Q431289,P1963,P127
Q431289,P31,Q24017414
Q431289,P1687,P1716
Q693690,P279,Q830
Q693690,P279,Q824176
Q693690,P1889,Q1004175
Q693690,P910,Q17566513
Q27787175,P31,Q4167410
Q654302,P31,Q4167410
Q654302,P460,Q12944818
Q654302,P460,Q15623679
Q654302,P460,Q16266214
Q654302,P460,Q15623677
Q654302,P1889,Q37086561
Q654302,P1889,Q37435389
Q131841,P361,Q9420
Q131841,P361,Q77468620
Q131841,P279,Q151885
Q131841,P279,Q2145290
Q131841,P279,Q33104279
Q131841,P910,Q16395502
Q131841,P460,Q151885
Q131841,P1343,Q1970746
Q131841,P1343,Q602358
Q131841,P1343,Q19180675
Q131841,P1343,Q5217764
Q170924,P910,Q8550190
Q170924,P361,Q806737
Q170924,P1343,Q2041543
Q170924,P279,Q30242023
Q6216,P910,Q8588250
Q6216,P31,Q179805
Q6216,P31,Q12909644
Q6216,P1343,Q2041543
Q6216,P1343,Q602358
Q6216,P1343,Q19180675
Q6216,P5008,Q5460604
Q6216,P2184,Q830997
Q736272,P31,Q4167410
Q1067544,P31,Q4167410
Q1067544,P1889,Q36866659
Q938926,P279,Q838948
Q938926,P1269,Q28869416
Q938926,P138,Q1284709
Q938926,P1889,Q29188408
Q11424,P1151,Q3296835
Q11424,P279,Q4502142
Q11424,P279,Q2431196
Q11424,P279,Q20937557
Q11424,P279,Q10301427
Q11424,P910,Q1458269
Q11424,P910,Q55321
Q11424,P1343,Q2657718
Q11424,P1963,P57
Q11424,P1963,P161
Q11424,P1963,P136
Q11424,P1963,P577
Q11424,P1963,P162
Q11424,P1963,P1431
Q11424,P1963,P58
Q11424,P1963,P144
Q11424,P1963,P495
Q11424,P1963,P915
Q11424,P1963,P840
Q11424,P1963,P344
Q11424,P1963,P1237
Q11424,P1963,P345
Q11424,P1963,P2408
Q11424,P1963,P2047
Q11424,P1963,P1040
Q11424,P1963,P480
Q11424,P1963,P2639
Q11424,P1963,P921
Q11424,P1963,P86
Q11424,P1963,P750
Q11424,P1963,P2515
Q11424,P1963,P2554
Q11424,P1963,P2603
Q11424,P1963,P2142
Q11424,P1963,P2208
Q11424,P1963,P2755
Q11424,P1963,P3803
Q11424,P1963,P3816
Q11424,P1963,P1476
Q11424,P1963,P676
Q11424,P1963,P364
Q11424,P1424,Q6171351
Q11424,P527,Q20820424
Q11424,P527,Q622550
Q11424,P527,Q795160
Q11424,P527,Q4458345
Q11424,P527,Q441606
Q11424,P2959,Q27131943
Q11424,P460,Q16144339
Q11424,P5008,Q5460604
Q11424,P5125,Q7112632
Q11424,P5869,Q2345
Q11424,P5869,Q192724
Q11424,P5869,Q16672466
Q11424,P5869,Q17738
Q11424,P5869,Q24815
Q11424,P6104,Q8485793
Q11424,P6186,Q8104425
Q11424,P2579,Q28793
Q11424,P2579,Q1660187
Q2914681,P31,Q4167410
Q13414347,P31,Q4167410
Q13414347,P1889,Q37543308
Q226521,P31,Q4167410
Q226521,P1889,Q336958
Q226521,P1889,Q37553064
Q226521,P1889,Q813063
Q93204,P31,Q201658
Q93204,P910,Q8386098
Q93204,P279,Q11424
Q93204,P279,Q4164344
Q93204,P279,Q24960157
Q93204,P461,Q517386
Q93204,P3095,Q1235146
Q11404,P279,Q19588483
Q11404,P279,Q133163
Q11404,P910,Q7007423
Q11404,P1343,Q27680201
Q11404,P1343,Q602358
Q11404,P1343,Q19180675
Q11404,P1343,Q1768721
Q11404,P4733,Q665888
Q11404,P1889,Q4097679
Q11404,P5008,Q5460604
Q11404,P361,Q128309
Q3947,P527,Q83180
Q3947,P527,Q42948
Q3947,P527,Q35473
Q3947,P527,Q36794
Q3947,P527,Q180516
Q3947,P527,Q217164
Q3947,P527,Q234852
Q3947,P527,Q244490
Q3947,P279,Q11755880
Q3947,P910,Q8525052
Q3947,P366,Q7743
Q3947,P366,Q7493941
Q3947,P1687,P4080
Q3947,P1343,Q2041543
Q3947,P1343,Q4086271
Q3947,P1343,Q602358
Q3947,P1343,Q4173137
Q3947,P1343,Q867541
Q3947,P5008,Q5460604
Q3947,P186,Q206615
Q3947,P1963,P571
Q3947,P1963,P2348
Q3947,P1963,P127
Q3947,P1963,P149
Q3947,P1963,P135
Q3947,P1889,Q7743
Q1247867,P1151,Q18857153
Q1247867,P910,Q6445289
Q1247867,P527,Q2588161
Q1247867,P527,Q2588157
Q1247867,P527,Q1799415
Q1247867,P31,Q1920219
Q1247867,P279,Q5409930
Q1178576,P31,Q4167410
Q1178576,P1889,Q16871404
Q349894,P31,Q4167410
Q349894,P1889,Q25114322
Q397164,P31,Q4167410
Q2472587,P279,Q41710
Q2472587,P279,Q16334295
Q2472587,P1343,Q1970746
Q2472587,P1343,Q19190511
Q2472587,P460,Q6266
Q2472587,P527,Q5
Q2472587,P1889,Q2532276
Q2472587,P1889,Q18694080
Q2472587,P1889,Q41710
Q2472587,P1889,Q5
Q2472587,P1889,Q2785339
Q2472587,P1889,Q12839330
Q2472587,P1889,Q6266
Q2472587,P1889,Q88071144
Q2472587,P1552,Q25379866
Q2472587,P910,Q6156915
Q2472587,P910,Q6490939
Q2472587,P910,Q4048336
Q627603,P279,Q93184
Q627603,P279,Q17537576
Q627603,P910,Q9000442
Q627603,P31,Q36649
Q627603,P3095,Q1114448
Q177204,P31,Q4167410
Q177204,P1889,Q36966347
Q37260,P279,Q11024
Q37260,P279,Q974688
Q37260,P910,Q7014659
Q37260,P366,Q11024
Q37260,P1535,Q5
Q37260,P1535,Q1264681
Q37260,P1552,Q12055124
Q37260,P1552,Q2243831
Q37260,P1151,Q11056665
Q37260,P1889,Q10926511
Q37260,P1889,Q11499915
Q37260,P1889,Q60527758
Q37260,P3095,Q36180
Q37260,P2283,Q3327760
Q37260,P2283,Q121916
Q37260,P1269,Q1340267
Q37260,P2579,Q181260
Q37260,P2579,Q185133
Q37260,P527,Q4537333
Q37260,P527,Q378408
Q37260,P527,Q1786161
Q9941,P31,Q19776628
Q9941,P31,Q9398093
Q9941,P361,Q8229
Q9941,P361,Q606972
Q9941,P361,Q754673
Q9941,P361,Q76228
Q9941,P361,Q607188
Q9941,P361,Q20581324
Q9941,P361,Q18694620
Q9941,P361,Q1187758
Q9941,P361,Q637405
Q9941,P361,Q1142033
Q9941,P361,Q550383
Q9941,P361,Q755124
Q9941,P361,Q18691434
Q9941,P361,Q384749
Q9941,P361,Q994407
Q9941,P361,Q2839543
Q9941,P361,Q1493494
Q9941,P1299,Q17021833
Q9941,P1889,Q294219
Q9941,P1889,Q17278
Q9941,P1889,Q204
Q9941,P1889,Q203
Q9941,P1889,Q79383438
Q9941,P1889,Q178213
Q9941,P4969,Q16686279
Q9941,P910,Q32080311
Q118157,P31,Q151885
Q341218,P31,Q4167410
Q663143,P31,Q4167410
Q663143,P1889,Q2897903
Q663143,P1889,Q20664838
Q663143,P1889,Q20664839
Q7569,P910,Q6895724
Q7569,P279,Q5
Q7569,P279,Q1516282
Q7569,P31,Q5932254
