doc,wikiID
0,Q3230
0,Q12187
0,Q29142
0,Q7873
0,Q417861
0,Q39911
0,Q1572519
0,Q416020
0,Q166231
0,Q242186
0,Q25478470
0,Q11563
0,Q209577
0,Q730920
0,Q346589
0,Q396788
0,Q2995644
0,Q104493
0,Q224772
0,Q11471
0,Q184753
1,Q2995644
1,Q217602
1,Q79460
1,Q650912
1,Q10876
1,Q9884
1,Q41803
1,Q16886469
1,Q11367
1,Q234018
1,Q2251595
1,Q1650182
1,Q241519
1,Q7574949
1,Q55634432
1,Q188561
2,Q11471
2,Q2251595
2,Q1650182
2,Q7559698
2,Q362306
2,Q9887
2,Q245204
2,Q6536648
2,Q215044
2,Q18411384
2,Q252022
2,Q421804
2,Q1393757
2,Q275419
2,Q2796622
2,Q207900
2,Q28942704
2,Q178069
2,Q8261
2,Q9946
2,Q362275
2,Q101026
2,Q39552
2,Q26018
2,Q681798
2,Q448645
2,Q340383
2,Q1216998
3,Q417861
3,Q217602
3,Q7559698
3,Q41441174
3,Q82760
3,Q11500
3,Q406977
3,Q62207
3,Q240673
3,Q791801
3,Q13516686
3,Q1036729
3,Q1630279
3,Q16917
3,Q245962
3,Q1660986
3,Q35865
3,Q181600
3,Q178706
3,Q33103638
3,Q214609
3,Q181600
3,Q415963
3,Q3427349
3,Q265158
3,Q131877
3,Q11827939
3,Q8434
3,Q10861399
3,Q17130325
3,Q577
4,Q730920
4,Q1650182
4,Q7559698
4,Q62207
4,Q577
4,Q416981
4,Q226455
4,Q397567
4,Q250925
4,Q426660
4,Q573
4,Q75101527
4,Q210027
4,Q1121708
4,Q102205
4,Q12136
4,Q295527
4,Q594939
4,Q233991
4,Q251898
4,Q44148
4,Q181600
4,Q7886
4,Q15622206
4,Q193045
4,Q179661
5,Q166231
5,Q210027
5,Q226469
5,Q2864132
5,Q5113
5,Q2349697
5,Q225014
5,Q225802
5,Q133805
5,Q242361
5,Q3
5,Q8441
5,Q756
5,Q40763
5,Q10884
5,Q451968
5,Q45422
6,Q12187
6,Q166231
6,Q79460
6,Q234018
6,Q1650182
6,Q250925
6,Q137372
6,Q729
6,Q9382
6,Q1073
6,Q2667413
6,Q19924622
6,Q1128596
6,Q11042
6,Q246181
6,Q42848
6,Q12136
6,Q7430
6,Q5
6,Q241656
6,Q16886557
6,Q4198752
6,Q201989
6,Q2751034
6,Q2029863
6,Q7239
6,Q229289
6,Q7301458
6,Q405325
6,Q9371
6,Q2353244
6,Q2166189
6,Q347910
7,Q166231
7,Q104493
7,Q7559698
7,Q18411384
7,Q1393757
7,Q416981
7,Q179661
7,Q42848
7,Q12136
7,Q4781711
7,Q415739
7,Q3686031
7,Q2585693
7,Q43041
7,Q550675
7,Q400416
7,Q242610
7,Q395712
7,Q7111908
7,Q1773974
7,Q178354
7,Q415384
7,Q1199068
7,Q8016240
7,Q10954303
7,Q467
8,Q79460
8,Q234018
8,Q2251595
8,Q1650182
8,Q7559698
8,Q252022
8,Q251898
8,Q3686031
8,Q7569
8,Q250417
8,Q5600416
8,Q1660197
8,Q998
8,Q48143
8,Q1645498
8,Q5151
8,Q320607
8,Q134219
8,Q395237
8,Q3984436
8,Q184651
8,Q2463013
8,Q192995
8,Q134808
9,Q7873
9,Q166231
9,Q104493
9,Q7559698
9,Q1393757
9,Q210027
9,Q652297
9,Q441901
9,Q435371
9,Q5249659
9,Q3049084
9,Q354935
9,Q169031
9,Q292572
9,Q7602551
9,Q626741
9,Q2029226
9,Q35140
9,Q39631
9,Q14167404
9,Q747810
9,Q2145687
9,Q67962720
9,Q48282
9,Q1510180
10,Q12187
10,Q7873
10,Q417861
10,Q346589
10,Q2796622
10,Q9946
10,Q340383
10,Q416981
10,Q181600
10,Q8441
10,Q11042
10,Q2585693
10,Q467
10,Q14167404
10,Q237232
10,Q224006
10,Q1651094
10,Q246090
10,Q654302
10,Q7727
10,Q174173
10,Q5611828
11,Q11500
11,Q241636
11,Q6501338
11,Q133346
11,Q380962
11,Q6055890
11,Q12147
11,Q660064
11,Q1247982
11,Q187939
11,Q2625603
11,Q232576
11,Q1327819
11,Q63676257
11,Q19623879
11,Q16502
12,Q104493
12,Q11471
12,Q7559698
12,Q1393757
12,Q28942704
12,Q577
12,Q416981
12,Q12136
12,Q998
12,Q998
12,Q9103
12,Q229806
12,Q16281224
12,Q249038
12,Q3055368
12,Q213449
12,Q976981
12,Q11652
12,Q28627
12,Q8495
12,Q933716
12,Q1487317
12,Q23387
13,Q417861
13,Q346589
13,Q2995644
13,Q11367
13,Q7559698
13,Q252022
13,Q9946
13,Q181600
13,Q3686031
13,Q654302
13,Q634314
13,Q5164758
13,Q9914
13,Q1161331
13,Q61951
13,Q186242
13,Q629
13,Q672154
13,Q1270500
13,Q413593
13,Q183134
13,Q2271820
13,Q2202182
14,Q166231
14,Q346589
14,Q2995644
14,Q104493
14,Q217602
14,Q7559698
14,Q9946
14,Q340383
14,Q62207
14,Q573
14,Q181600
14,Q15622206
14,Q11042
14,Q2353244
14,Q7111908
14,Q3984436
14,Q2463013
14,Q1487317
14,Q1772698
14,Q969439
14,Q235356
14,Q1546441
14,Q219118
14,Q815962
14,Q1399174
14,Q82604
14,Q5265697
14,Q340724
14,Q346146
14,Q309
14,Q365681
14,Q341954
14,Q407985
14,Q2083958
14,Q11229
14,Q748250
14,Q1218860
14,Q3481047
14,Q225229
14,Q234013
14,Q343228
14,Q351657
14,Q199695
14,Q334401
14,Q193891
15,Q730920
15,Q224772
15,Q16886469
15,Q577
15,Q181600
15,Q4198752
15,Q2751034
15,Q2353244
15,Q3686031
15,Q395712
15,Q229806
15,Q16281224
15,Q179991
15,Q1774898
15,Q422226
15,Q188572
15,Q36956
15,Q22114637
15,Q1074
15,Q1688874
16,Q346589
16,Q11471
16,Q217602
16,Q7559698
16,Q28942704
16,Q340383
16,Q62207
16,Q178706
16,Q265158
16,Q577
16,Q416981
16,Q181600
16,Q179661
16,Q12136
16,Q347910
16,Q242610
16,Q7111908
16,Q67962720
16,Q2625603
16,Q672154
16,Q969439
16,Q164655
16,Q32043
16,Q1775867
16,Q417488
16,Q4
16,Q178546
16,Q16644043
16,Q156318
16,Q2114394
16,Q1483951
16,Q2920921
16,Q28146826
16,Q1413083
16,Q3401405
16,Q211364
16,Q3259104
17,Q166231
17,Q397567
17,Q2349697
17,Q199695
17,Q476078
17,Q4035110
17,Q137771
17,Q29539
17,Q398752
17,Q353107
17,Q52948
17,Q467011
17,Q414241
17,Q7231827
17,Q9394
17,Q644318
18,Q12187
18,Q417861
18,Q2995644
18,Q79460
18,Q10876
18,Q41803
18,Q2251595
18,Q1650182
18,Q215044
18,Q28942704
18,Q2751034
18,Q2353244
18,Q347910
18,Q3686031
18,Q654302
18,Q23387
18,Q9914
18,Q6554155
18,Q256602
18,Q452174
18,Q1415366
18,Q421804
18,Q663143
19,Q166231
19,Q217602
19,Q181600
19,Q179661
19,Q225802
19,Q3
19,Q3686031
19,Q19623879
19,Q9914
19,Q417488
19,Q1413083
19,Q2840513
19,Q1344851
19,Q246881
19,Q4164182
19,Q30085855
19,Q246947
19,Q5374235
19,Q255262
19,Q6410731
19,Q8242
19,Q219113
19,Q340626
19,Q2873063
19,Q1135939
19,Q1039790
19,Q131681
19,Q7271585
19,Q13414347
19,Q424027
19,Q39297
20,Q7873
20,Q2995644
20,Q104493
20,Q650912
20,Q7559698
20,Q240673
20,Q1660986
20,Q573
20,Q181600
20,Q11042
20,Q6501338
20,Q63676257
20,Q11652
20,Q80994
20,Q77076
20,Q1175608
20,Q60528603
20,Q42848
20,Q1983062
20,Q483242
20,Q36253
20,Q1554231
20,Q253287
20,Q211857
20,Q224615
21,Q166231
21,Q2995644
21,Q234018
21,Q18411384
21,Q252022
21,Q102205
21,Q181600
21,Q179661
21,Q242361
21,Q3
21,Q137372
21,Q729
21,Q347910
21,Q3686031
21,Q8016240
21,Q48143
21,Q11229
21,Q3481047
21,Q225229
21,Q2920921
21,Q52948
21,Q246947
21,Q1039790
21,Q343542
21,Q273510
21,Q442943
21,Q235969
21,Q408068
21,Q5282723
21,Q18411384
21,Q8386
21,Q411478
21,Q3077570
21,Q788331
21,Q764
21,Q25235
21,Q936684
21,Q8054
21,Q10870555
21,Q214339
21,Q299789
21,Q188844
22,Q7873
22,Q166231
22,Q275419
22,Q577
22,Q1121708
22,Q7569
22,Q2463013
22,Q229806
22,Q663143
22,Q10870555
22,Q185325
22,Q5070802
22,Q38933
22,Q33767
22,Q84230
22,Q179630
22,Q16279981
23,Q12187
23,Q166231
23,Q209577
23,Q346589
23,Q184753
23,Q188561
23,Q7559698
23,Q18411384
23,Q1393757
23,Q16917
23,Q181600
23,Q265158
23,Q17130325
23,Q226455
23,Q181600
23,Q193045
23,Q7111908
23,Q1773974
23,Q23387
23,Q82604
23,Q341954
23,Q225229
23,Q181487
23,Q407320
23,Q413728
23,Q638774
23,Q15978655
23,Q55368
23,Q450004
23,Q149621
23,Q5464688
23,Q1215266
23,Q1387137
23,Q21893647
23,Q169569
23,Q6889353
23,Q2002118
23,Q193181
23,Q225229
23,Q7308373
23,Q7315196
23,Q774306
23,Q40821
24,Q226455
24,Q181600
24,Q7886
24,Q229289
24,Q441901
24,Q654302
24,Q1270500
24,Q22114637
24,Q16249296
24,Q205873
24,Q295554
24,Q219067
24,Q29244
24,Q173582
24,Q1642137
24,Q418122
24,Q418122
24,Q1632335
24,Q12204
25,Q7873
25,Q55634432
25,Q421804
25,Q9946
25,Q1660986
25,Q251898
25,Q7727
25,Q5164758
25,Q61951
25,Q183134
25,Q11229
25,Q3481047
25,Q28146826
25,Q7231827
25,Q9394
25,Q304157
25,Q442118
25,Q652297
25,Q298502
25,Q101965
25,Q176467
25,Q535119
25,Q11432
25,Q21608541
25,Q5766112
25,Q185020
25,Q12453
25,Q7365
25,Q7063046
25,Q226816
25,Q2042052
25,Q7206085
25,Q9950
25,Q199657
25,Q1570376
25,Q7663808
25,Q229448
25,Q7590
26,Q12187
26,Q166231
26,Q245204
26,Q252022
26,Q9946
26,Q39552
26,Q75101527
26,Q251898
26,Q347910
26,Q3686031
26,Q1645498
26,Q654302
26,Q417488
26,Q7231827
26,Q1039790
26,Q299789
26,Q1215266
26,Q229448
26,Q357823
26,Q575724
26,Q406248
26,Q360446
26,Q170050
26,Q409492
26,Q9739
26,Q134684
26,Q1663522
26,Q5016658
26,Q217857
26,Q521
26,Q388317
26,Q62395707
26,Q180556
