word,wikiID
air,Q3230
antibiotic,Q12187
attempt,Q29142
blood,Q7873
control,Q417861
decade,Q39911
environment,Q1572519
exchange,Q416020
infection,Q166231
key,Q242186
magnitude,Q25478470
number,Q11563
operation,Q209577
problem,Q730920
rate,Q346589
replacement,Q396788
result,Q2995644
risk,Q104493
source,Q224772
time,Q11471
wound,Q184753
analysis,Q217602
antibody,Q79460
bacteremia,Q650912
bacteria,Q10876
d,Q9884
gram,Q41803
importance,Q16886469
lipid,Q11367
model,Q234018
protection,Q2251595
response,Q1650182
shock,Q241519
specie,Q7574949
surface,Q55634432
work,Q188561
%,Q7559698
+,-1
aggregation,Q362306
alpha,Q9887
antagonist,Q245204
block,Q6536648
capacity,Q215044
dose,Q18411384
effect,Q252022
endotoxin,Q421804
factor,Q1393757
hypotension,Q275419
mean,Q2796622
mm,Q207900
mortality,Q28942704
necrosis,Q178069
novel,Q8261
p,Q9946
paf,Q362275
platelet,Q101026
pressure,Q39552
rat,Q26018
receptor,Q681798
recovery,Q448645
study,Q340383
tumor,Q1216998
adjustment,Q41441174
admission,Q82760
area,Q11500
barrier,Q406977
center,Q62207
cost,Q240673
estimate,Q791801
expenditure,Q13516686
gown,Q1036729
guideline,Q1630279
hospital,Q16917
implementation,Q245962
increase,Q1660986
inflation,Q35865
inpatient,Q181600
institution,Q178706
isolation,Q33103638
material,Q214609
outpatient,Q181600
pair,Q415963
precaution,-1
representative,Q3427349
review,Q265158
rubber,Q131877
supply,Q11827939
teaching,Q8434
third,Q10861399
visit,Q17130325
year,Q577
age,Q416981
change,Q226455
complication,Q397567
course,Q250925
creatinine,Q426660
day,Q573
difference,Q75101527
exposure,Q210027
failure,Q1121708
fluid,Q102205
illness,Q12136
infiltrate,Q295527
initiation,Q594939
interval,Q233991
level,Q251898
male,Q44148
patient,Q181600
pulmonary,Q7886
state,Q15622206
tetracycline,Q193045
therapy,Q179661
act,Q226469
association,Q2864132
bird,Q5113
cell,Q2349697
cycle,Q225014
distribution,Q225802
epidemiology,Q133805
host,Q242361
life,Q3
man,Q8441
plant,Q756
seed,Q40763
tree,Q10884
vector,Q451968
yeast,Q45422
agent,Q137372
animal,Q729
bladder,Q9382
brain,Q1073
burgdorferi,-1
characterization,Q2667413
complement,Q19924622
content,Q1128596
culture,Q11042
cytotoxicity,Q246181
datum,Q42848
disease,Q12136
dna,Q7430
human,Q5
incubation,Q241656
involvement,Q16886557
isolate,Q4198752
lyme,Q201989
mouse,Q2751034
organ,Q2029863
organism,Q7239
process,Q229289
rearrangement,Q7301458
sera,Q405325
spleen,Q9371
strain,Q2353244
titer,Q2166189
treatment,Q347910
approach,Q4781711
cefazolin,Q415739
concentration,Q3686031
efficacy,Q2585693
hemoglobin,Q43041
hysterectomy,Q550675
impact,Q400416
incidence,Q242610
none,Q395712
outcome,Q7111908
prophylaxis,Q1773974
reason,Q178354
route,Q415384
site,Q1199068
trial,Q8016240
variable,Q10954303
woman,Q467
child,Q7569
conjugate,Q250417
greater,Q5600416
immunogenicity,Q1660197
infant,Q998
influenzae,-1
meningitis,Q48143
microgram,Q1645498
month,Q5151
oligosaccharide,Q320607
polysaccharide,Q134219
side,Q395237
term,Q3984436
toxin,Q184651
type,Q2463013
vaccination,Q192995
vaccine,Q134808
catheterization,Q652297
compliance,Q441901
criterion,Q435371
decrease,Q5249659
effort,Q3049084
faculty,Q354935
glove,Q169031
interference,Q292572
member,Q7602551
noncompliance,Q626741
order,Q2029226
performance,Q35140
physician,Q39631
procedure,Q14167404
questionnaire,Q747810
resident,Q2145687
selection,Q67962720
student,Q48282
survey,Q1510180
bronchoscopy,Q237232
cent,Q224006
completion,Q1651094
cystoscopy,Q246090
group,Q654302
minute,Q7727
per,Q174173
prevention,Q5611828
activity,Q241636
attention,Q6501338
border,Q133346
cooperation,Q380962
funding,Q6055890
health,Q12147
initiative,Q660064
issue,Q1247982
manufacturing,Q187939
population,Q2625603
service,Q232576
status,Q1327819
utilization,Q63676257
variety,Q19623879
world,Q16502
baby,Q998
breast,Q9103
case,Q229806
diet,Q16281224
donor,Q249038
enterocolitis,Q3055368
feeding,Q213449
formula,Q976981
frequency,Q11652
gestation,Q28627
milk,Q8495
necrotising,-1
polycythaemia,Q933716
unit,Q1487317
week,Q23387
calorimetry,Q634314
consumption,Q5164758
h,Q9914
influence,Q1161331
infusion,Q61951
norepinephrine,Q186242
oxygen,Q629
period,Q672154
rest,Q1270500
rise,Q413593
sepsis,Q183134
septic,Q2271820
subject,Q2202182
affair,Q1772698
care,Q969439
carriage,Q235356
carrier,Q1546441
ci,Q219118
colonization,Q815962
conclusion,Q1399174
design,Q82604
determine,Q5265697
development,Q340724
facility,Q346146
history,Q309
intervention,Q365681
objective,Q341954
odd,Q407985
pattern,Q2083958
percent,Q11229
predict,Q748250
predictor,Q1218860
ratio,Q3481047
reduction,Q225229
regression,Q234013
restriction,Q343228
setting,Q351657
staphylococcus,Q199695
surveillance,Q334401
veteran,Q193891
biopsy,Q179991
clinic,Q1774898
dapsone,Q422226
fact,Q188572
leprae,-1
leprosy,Q36956
resistance,Q22114637
skin,Q1074
specimen,Q1688874
abscess,Q164655
addition,Q32043
choice,Q1775867
condition,Q417488
death,Q4
determinant,Q178546
diagnosis,Q16644043
etiology,Q156318
half,Q2114394
malignancy,Q1483951
management,Q2920921
method,Q28146826
parameter,Q1413083
practice,Q3401405
principle,Q211364
prompt,Q3259104
aureus,Q476078
bind,Q4035110
binding,Q137771
density,Q29539
expression,Q398752
fcr,Q353107
interaction,Q52948
invasion,Q467011
part,Q414241
portion,Q7231827
rabbit,Q9394
vasculitis,Q644318
challenge,Q6554155
ciprofloxacin,Q256602
coli,Q452174
immunization,Q1415366
lipopolysaccharide,Q421804
production,Q663143
alteration,Q2840513
consideration,Q1344851
csf,Q246881
dosing,Q4164182
dynamic,Q30085855
elimination,Q246947
empiric,Q5374235
h-1,Q255262
kinetic,Q6410731
literature,Q8242
ml,Q219113
optimize,Q340626
other,Q2873063
pathophysiologic,Q1135939
peak,Q1039790
reservoir,Q131681
schedule,Q7271585
treat,Q13414347
vancomycin,Q424027
volume,Q39297
adult,Q80994
charge,Q77076
consequence,Q1175608
contaminant,Q60528603
data,Q42848
episode,Q1983062
laboratory,Q483242
length,Q36253
resource,Q1554231
stay,Q253287
technique,Q211857
test,Q224615
action,Q343542
candidiasis,Q273510
clearance,Q442943
conversion,Q235969
cytochrome,Q408068
disruption,Q5282723
dosage,Q18411384
drug,Q8386
fluconazole,Q411478
formulation,Q3077570
