entity1,relations,entity2
Q3230,P186,Q627
Q3230,P186,Q629
Q3230,P186,Q696
Q12187,P279,Q12140
Q12187,P138,Q3
Q29142,P279,Q83267
Q7873,P361,Q11068
Q7873,P2579,Q103824
Q7873,P1552,Q82642
Q39911,P361,Q578
Q166231,P828,Q170065
Q166231,P1557,Q1178984
Q11563,P279,Q309314
Q104493,P279,Q1202245
Q104493,P279,Q13649246
Q104493,P1552,Q9492
Q104493,P1552,Q1775867
Q104493,P1552,Q13649246
Q79460,P828,Q103537
Q10876,P279,Q39833
Q41803,P361,Q26240
Q41803,P111,Q11423
Q2251595,P361,Q2526135
Q9887,P156,Q14382
Q275419,P1995,Q10379
Q275419,P1995,Q11180
Q275419,P2176,Q132621
Q275419,P2176,Q421910
Q178069,P2176,Q420360
Q101026,P361,Q7873
Q39552,P4934,Q11402
Q39552,P4934,Q11500
Q26018,P279,Q10850
Q1216998,P279,Q12136
Q1216998,P1995,Q514
Q13516686,P279,Q240673
Q16917,P279,Q178706
Q245962,P361,Q11023
Q181600,P279,Q5
Q178706,P279,Q43229
Q214609,P1552,Q29539
Q265158,P279,Q1379672
Q8434,P279,Q133500
Q573,P361,Q23387
Q1121708,P279,Q2995644
Q12136,P2579,Q7208
Q12136,P1552,Q169872
Q44148,P279,Q7239
Q7886,P361,Q7891
Q7886,P927,Q994554
Q193045,P2175,Q153356
Q193045,P2175,Q101896
Q193045,P2868,Q12187
Q5113,P1672,Q10990
Q133805,P2578,Q44512
Q3,P279,Q203872
Q3,P279,Q483247
Q3,P1552,Q1057
Q3,P1552,Q483921
Q3,P2579,Q420
Q3,P361,Q7239
Q8441,P279,Q80994
Q8441,P361,Q8436
Q756,P279,Q7239
Q40763,P279,Q2095
Q45422,P279,Q764
Q729,P279,Q7239
Q9382,P361,Q181100
Q9382,P2789,Q9385
Q9382,P2789,Q9386
Q1073,P361,Q23640
Q1073,P927,Q23640
Q42848,P279,Q11028
Q7430,P361,Q39572
Q7430,P361,Q7020
Q7430,P1419,Q201717
Q5,P1552,Q48277
Q5,P1552,Q641118
Q5,P279,Q215627
Q201989,P1995,Q171171
Q201989,P2176,Q421713
Q201989,P2176,Q413728
Q201989,P2176,Q201928
Q201989,P2176,Q422442
Q201989,P780,Q9690
Q201989,P780,Q86
Q201989,P780,Q769220
Q201989,P780,Q10686316
Q201989,P780,Q189331
Q201989,P780,Q38933
Q201989,P780,Q48143
Q201989,P780,Q186235
Q201989,P780,Q170990
Q201989,P780,Q1634879
Q2751034,P279,Q729
Q7239,P1557,Q3
Q7239,P1557,Q7020
Q7239,P361,Q2625603
Q7239,P2283,Q11379
Q7239,P2283,Q2095
Q7239,P2283,Q102205
Q7239,P2579,Q420
Q7239,P1552,Q103191
Q2166189,P279,Q3686031
Q415739,P2175,Q221668
Q415739,P279,Q271021
Q415739,P2868,Q12187
Q2585693,P279,Q1296024
Q2585693,P2959,Q1296024
Q43041,P279,Q412234
Q43041,P129,Q629
Q550675,P279,Q40821
Q550675,P279,Q1221899
Q550675,P361,Q40821
Q550675,P1995,Q1221899
Q467,P279,Q80994
Q467,P155,Q3031
Q7569,P279,Q5
Q7569,P1552,Q276258
Q7569,P156,Q131774
Q7569,P155,Q26513
Q998,P279,Q7569
Q48143,P689,Q268930
Q48143,P689,Q5
Q48143,P780,Q86
Q48143,P780,Q38933
Q48143,P780,Q186889
Q48143,P780,Q127076
Q48143,P1995,Q83042
Q48143,P279,Q1634879
Q48143,P2176,Q421713
Q48143,P828,Q1141979
Q48143,P828,Q808
Q1645498,P111,Q11423
Q5151,P361,Q577
Q320607,P279,Q11358
Q134219,P279,Q11358
Q184651,P2579,Q7218
Q192995,P279,Q179661
Q192995,P2283,Q134808
Q134808,P279,Q12140
Q134808,P366,Q192995
Q169031,P366,Q12684
Q169031,P366,Q10566551
Q39631,P425,Q11190
Q747810,P279,Q49848
Q237232,P279,Q212809
Q246090,P279,Q212809
Q7727,P361,Q25235
Q6501338,P279,Q2200417
Q6501338,P1995,Q9418
Q12147,P2579,Q11190
Q2625603,P279,Q1949963
Q2625603,P279,Q322481
Q3055368,P1995,Q120569
Q3055368,P279,Q101991
Q213449,P279,Q1663054
Q213449,P366,Q208195
Q213449,P366,Q103191
Q213449,P366,Q2138622
Q213449,P2283,Q2095
Q213449,P276,Q628858
Q213449,P828,Q165947
Q28627,P1542,Q14819852
Q8495,P279,Q2095
Q8495,P279,Q40050
Q8495,P279,Q187634
Q8495,P1582,Q7377
Q933716,P1995,Q103824
Q23387,P361,Q5151
Q186242,P279,Q271663
Q629,P138,Q11158
Q183134,P2176,Q421713
Q183134,P2176,Q2552927
Q183134,P2176,Q2601832
Q183134,P2176,Q422482
Q183134,P2176,Q808845
Q815962,P1542,Q133156
Q11229,P279,Q3481047
Q334401,P279,Q2143522
Q334401,P361,Q10566551
Q179991,P1995,Q40821
Q422226,P2175,Q36956
Q188572,P279,Q42848
Q36956,P279,Q945238
Q36956,P2176,Q422226
Q36956,P780,Q1502312
Q36956,P780,Q1641556
Q36956,P780,Q769220
Q36956,P780,Q1480291
Q36956,P780,Q757838
Q36956,P780,Q1508510
Q36956,P780,Q202013
Q164655,P1995,Q171171
Q164655,P2176,Q169569
Q164655,P780,Q1166142
Q164655,P780,Q81938
Q4,P361,Q3
Q4,P828,Q149086
Q4,P828,Q10737
Q16644043,P279,Q49848
Q16644043,P279,Q730920
Q156318,P2578,Q179289
Q2920921,P2079,Q309100
Q1413083,P366,Q2667413
Q1413083,P366,Q1200750
Q211364,P279,Q6671777
Q211364,P279,Q17736
Q476078,P186,Q897
Q29539,P4934,Q11423
Q29539,P4934,Q39297
Q52948,P276,Q58778
Q644318,P1995,Q101929
Q644318,P1995,Q327657
Q644318,P2176,Q416331
Q256602,P2175,Q101896
Q256602,P2175,Q242165
Q256602,P2175,Q1435822
Q256602,P2175,Q938983
Q256602,P2175,Q221668
Q256602,P2175,Q506652
