entity1,relations,entity2
Q3230,P186,Q627
Q3230,P186,Q629
Q3230,P186,Q696
Q12187,P138,Q3
Q7873,P2579,Q103824
Q166231,P828,Q170065
Q166231,P1557,Q1178984
Q79460,P828,Q103537
Q41803,P111,Q11423
Q16886469,P1382,Q1074648
Q9887,P156,Q14382
Q275419,P1995,Q10379
Q275419,P1995,Q11180
Q275419,P2176,Q132621
Q275419,P2176,Q421910
Q178069,P2176,Q420360
Q39552,P4934,Q11402
Q39552,P4934,Q11500
Q1216998,P1995,Q514
Q12136,P2579,Q7208
Q7886,P927,Q994554
Q193045,P2175,Q153356
Q193045,P2175,Q101896
Q193045,P2868,Q12187
Q5113,P1672,Q10990
Q133805,P2578,Q44512
Q3,P2579,Q420
Q10884,P2670,Q2923673
Q9382,P2789,Q9385
Q9382,P2789,Q9386
Q1073,P927,Q23640
Q7430,P1419,Q201717
Q5,P2670,Q215627
Q201989,P1995,Q171171
Q201989,P2176,Q421713
Q201989,P2176,Q413728
Q201989,P2176,Q201928
Q201989,P2176,Q422442
Q201989,P780,Q9690
Q201989,P780,Q86
Q201989,P780,Q769220
Q201989,P780,Q10686316
Q201989,P780,Q189331
Q201989,P780,Q38933
Q201989,P780,Q48143
Q201989,P780,Q186235
Q201989,P780,Q170990
Q201989,P780,Q1634879
Q7239,P1557,Q3
Q7239,P1557,Q7020
Q7239,P2283,Q11379
Q7239,P2283,Q2095
Q7239,P2283,Q102205
Q7239,P2579,Q420
Q415739,P2175,Q221668
Q415739,P2868,Q12187
Q2585693,P2959,Q1296024
Q43041,P129,Q629
Q550675,P1995,Q1221899
Q467,P155,Q3031
Q7569,P156,Q131774
Q7569,P155,Q26513
Q48143,P689,Q268930
Q48143,P689,Q5
Q48143,P780,Q86
Q48143,P780,Q38933
Q48143,P780,Q186889
Q48143,P780,Q127076
Q48143,P1995,Q83042
Q48143,P2176,Q421713
Q48143,P828,Q1141979
Q48143,P828,Q808
Q1645498,P111,Q11423
Q184651,P2579,Q7218
Q192995,P2283,Q134808
Q6501338,P1995,Q9418
Q12147,P2579,Q11190
Q3055368,P1995,Q120569
Q213449,P2283,Q2095
Q213449,P276,Q628858
Q213449,P828,Q165947
Q28627,P1542,Q14819852
Q8495,P462,Q23444
Q8495,P1582,Q7377
Q933716,P1995,Q103824
Q23387,P2670,Q573
Q629,P138,Q11158
Q183134,P2176,Q421713
Q183134,P2176,Q2552927
Q183134,P2176,Q2601832
Q183134,P2176,Q422482
Q183134,P2176,Q808845
Q815962,P1542,Q133156
Q5265697,P21,Q44148
Q179991,P1995,Q40821
Q422226,P2175,Q36956
Q36956,P2176,Q422226
Q36956,P780,Q1502312
Q36956,P780,Q1641556
Q36956,P780,Q769220
Q36956,P780,Q1480291
Q36956,P780,Q757838
Q36956,P780,Q1508510
Q36956,P780,Q202013
Q164655,P1995,Q171171
Q164655,P2176,Q169569
Q164655,P780,Q1166142
Q164655,P780,Q81938
Q4,P828,Q149086
Q4,P828,Q10737
Q156318,P2578,Q179289
Q2920921,P2079,Q309100
Q476078,P186,Q897
Q29539,P4934,Q11423
Q29539,P4934,Q39297
Q52948,P276,Q58778
Q644318,P1995,Q101929
Q644318,P1995,Q327657
Q644318,P2176,Q416331
Q256602,P2175,Q101896
Q256602,P2175,Q242165
Q256602,P2175,Q1435822
Q256602,P2175,Q938983
Q256602,P2175,Q221668
Q256602,P2175,Q506652
Q256602,P2175,Q2453464
Q256602,P2175,Q12192
Q256602,P2175,Q876887
Q256602,P2175,Q480700
Q256602,P2868,Q12187
Q424027,P2175,Q1435822
Q424027,P2175,Q876887
Q424027,P2175,Q12192
Q424027,P2868,Q12187
Q273510,P1995,Q171171
Q273510,P2176,Q412223
Q273510,P2176,Q411478
Q411478,P2175,Q273510
Q411478,P2175,Q464067
Q38933,P2176,Q12140
Q38933,P2176,Q186969
Q38933,P2176,Q57055
Q38933,P2176,Q18216
Q33767,P2789,Q228537
Q413728,P2175,Q101896
Q413728,P2175,Q201989
Q413728,P2175,Q221668
Q413728,P2175,Q28971
Q413728,P2175,Q876887
Q413728,P2175,Q12192
Q413728,P2868,Q12187
Q638774,P927,Q64386
Q169569,P2175,Q164655
Q169569,P2175,Q831530
Q169569,P2175,Q2453464
Q169569,P2175,Q12192
Q12204,P2176,Q423169
Q12204,P780,Q35805
Q12204,P780,Q647099
Q12204,P780,Q38933
Q7590,P121,Q42889
Q409492,P2175,Q537297
Q409492,P2175,Q653971
Q134684,P427,Q180556
Q180556,P105,Q7432
Q180556,P171,Q134684
Q43656,P681,Q79899
Q47790,P780,Q574360
Q47790,P780,Q38933
Q47790,P780,Q86
Q156050,P2176,Q192717
Q156050,P2176,Q422442
Q156050,P2176,Q422652
Q156050,P780,Q9690
Q156050,P780,Q1129121
Q156050,P780,Q170990
Q156050,P780,Q847726
Q156050,P828,Q313358
Q44512,P2579,Q133805
Q886549,P2283,Q3595842
Q14819852,P828,Q28627
Q14819852,P155,Q34581
Q12190,P2868,Q12187
Q101991,P2176,Q419890
Q101991,P2176,Q963093
Q101991,P2176,Q190875
Q101991,P2176,Q416132
Q101991,P2176,Q408676
Q101991,P2176,Q422252
Q101991,P2176,Q409231
Q101991,P2176,Q424972
Q101991,P2176,Q11426176
Q101991,P2176,Q417222
Q101991,P2176,Q186969
Q101991,P2176,Q18216
Q9368,P2579,Q514
Q974135,P1542,Q127076
Q213511,P636,Q420054
Q213511,P769,Q410061
Q213511,P769,Q4890934
Q213511,P769,Q422438
Q213511,P769,Q41576
Q213511,P769,Q174259
Q213511,P769,Q251347
Q213511,P769,Q179996
Q213511,P769,Q10354103
Q213511,P769,Q417597
Q213511,P769,Q419394
Q213511,P769,Q413591
Q213511,P2175,Q153356
Q213511,P2175,Q101896
Q213511,P2175,Q134859
Q213511,P2868,Q12187
Q415843,P2175,Q154878
Q415843,P2175,Q221668
Q169872,P1557,Q12136
Q422665,P2175,Q154878
Q422665,P2175,Q221668
