entity1,relations,entity2
Q3230,P186,Q627
Q3230,P186,Q629
Q3230,P186,Q696
Q12187,P279,Q12140
Q12187,P138,Q3
Q12187,P31,Q12140
Q29142,P279,Q83267
Q7873,P361,Q11068
Q7873,P527,Q37187
Q7873,P527,Q42395
Q7873,P527,Q101026
Q7873,P2579,Q103824
Q7873,P1552,Q82642
Q39911,P361,Q578
Q166231,P828,Q170065
Q166231,P1557,Q1178984
Q11563,P279,Q309314
Q2995644,P1269,Q179289
Q104493,P279,Q1202245
Q104493,P279,Q13649246
Q104493,P1552,Q9492
Q104493,P1552,Q1775867
Q104493,P1552,Q13649246
Q79460,P828,Q103537
Q10876,P279,Q39833
Q41803,P361,Q26240
Q41803,P111,Q11423
Q16886469,P1382,Q1074648
Q16886469,P31,Q151885
Q11367,P1889,Q127980
Q2251595,P31,Q9332
Q2251595,P361,Q2526135
Q7559698,P180,Q11229
Q9887,P156,Q14382
Q9887,P1889,Q9659
Q275419,P1995,Q10379
Q275419,P1995,Q11180
Q275419,P2176,Q132621
Q275419,P2176,Q421910
Q275419,P461,Q41861
Q178069,P2176,Q420360
Q101026,P31,Q7868
Q101026,P361,Q7873
Q39552,P4934,Q11402
Q39552,P4934,Q11500
Q26018,P279,Q10850
Q1216998,P279,Q12136
Q1216998,P1995,Q514
Q240673,P31,Q151885
Q13516686,P31,Q151885
Q13516686,P279,Q240673
Q1630279,P1889,Q690194
Q16917,P279,Q178706
Q245962,P361,Q11023
Q35865,P461,Q161081
Q35865,P31,Q483247
Q181600,P279,Q5
Q178706,P279,Q43229
Q178706,P1889,Q1664720
Q214609,P1552,Q29539
Q265158,P279,Q1379672
Q8434,P279,Q133500
Q577,P527,Q5151
Q426660,P31,Q407595
Q426660,P527,Q627
Q426660,P527,Q623
Q573,P527,Q25235
Q573,P527,Q575
Q573,P527,Q52643
Q573,P361,Q23387
Q1121708,P279,Q2995644
Q102205,P1889,Q11435
Q12136,P461,Q12147
Q12136,P2579,Q7208
Q12136,P1552,Q169872
Q44148,P31,Q290
Q44148,P461,Q43445
Q44148,P279,Q7239
Q7886,P361,Q7891
Q7886,P927,Q994554
Q193045,P31,Q12140
Q193045,P2175,Q153356
Q193045,P2175,Q101896
Q193045,P2868,Q12187
Q5113,P1672,Q10990
Q133805,P2578,Q44512
Q3,P461,Q4
Q3,P279,Q203872
Q3,P279,Q483247
Q3,P527,Q7239
Q3,P527,Q4
Q3,P1552,Q1057
Q3,P1552,Q483921
Q3,P2579,Q420
Q3,P361,Q7239
Q8441,P279,Q80994
Q8441,P461,Q467
Q8441,P361,Q8436
Q756,P1889,Q764
Q756,P527,Q41500
Q756,P279,Q7239
Q40763,P279,Q2095
Q10884,P2670,Q2923673
Q45422,P279,Q764
Q729,P279,Q7239
Q9382,P361,Q181100
Q9382,P2789,Q9385
Q9382,P2789,Q9386
Q1073,P527,Q185080
Q1073,P527,Q182228
Q1073,P361,Q23640
Q1073,P927,Q23640
Q42848,P1889,Q9081
Q42848,P279,Q11028
Q7430,P527,Q28745
Q7430,P361,Q39572
Q7430,P361,Q7020
Q7430,P1419,Q201717
Q5,P1552,Q48277
Q5,P1552,Q641118
Q5,P1889,Q2472587
Q5,P1889,Q215627
Q5,P2670,Q215627
Q5,P279,Q215627
Q201989,P1995,Q171171
Q201989,P2176,Q421713
Q201989,P2176,Q413728
Q201989,P2176,Q201928
Q201989,P2176,Q422442
Q201989,P31,Q12136
Q201989,P780,Q9690
Q201989,P780,Q86
Q201989,P780,Q769220
Q201989,P780,Q10686316
Q201989,P780,Q189331
Q201989,P780,Q38933
Q201989,P780,Q48143
Q201989,P780,Q186235
Q201989,P780,Q170990
Q201989,P780,Q1634879
Q2751034,P279,Q729
Q7239,P1557,Q3
Q7239,P1557,Q7020
Q7239,P361,Q2625603
Q7239,P2283,Q11379
Q7239,P2283,Q2095
Q7239,P2283,Q102205
Q7239,P527,Q7868
Q7239,P2579,Q420
Q7239,P1552,Q103191
Q2166189,P279,Q3686031
Q415739,P31,Q12140
Q415739,P527,Q627
Q415739,P527,Q623
Q415739,P2175,Q221668
Q415739,P279,Q271021
Q415739,P2868,Q12187
Q2585693,P279,Q1296024
Q2585693,P1889,Q1034411
Q2585693,P2959,Q1296024
Q43041,P279,Q412234
Q43041,P129,Q629
Q550675,P279,Q40821
Q550675,P279,Q1221899
Q550675,P361,Q40821
Q550675,P1995,Q1221899
Q467,P279,Q80994
Q467,P461,Q8441
Q467,P155,Q3031
Q7569,P279,Q5
Q7569,P1552,Q276258
Q7569,P156,Q131774
Q7569,P155,Q26513
Q998,P279,Q7569
Q48143,P689,Q268930
Q48143,P689,Q5
Q48143,P780,Q86
Q48143,P780,Q38933
Q48143,P780,Q186889
Q48143,P780,Q127076
Q48143,P1995,Q83042
Q48143,P279,Q1634879
Q48143,P2176,Q421713
Q48143,P31,Q12136
Q48143,P828,Q1141979
Q48143,P828,Q808
Q1645498,P111,Q11423
Q5151,P361,Q577
Q320607,P279,Q11358
Q320607,P461,Q134219
Q134219,P279,Q11358
Q134219,P527,Q623
Q134219,P527,Q556
Q134219,P527,Q629
Q134219,P461,Q320607
Q184651,P2579,Q7218
Q192995,P279,Q179661
Q192995,P2283,Q134808
Q134808,P279,Q12140
Q134808,P366,Q192995
Q169031,P366,Q12684
Q169031,P366,Q10566551
Q39631,P425,Q11190
Q39631,P1889,Q7237369
Q747810,P279,Q49848
Q237232,P279,Q212809
Q246090,P279,Q212809
Q7727,P527,Q11574
Q7727,P361,Q25235
Q174173,P460,Q343111
Q6501338,P279,Q2200417
Q6501338,P1995,Q9418
Q380962,P31,Q157811
Q12147,P31,Q190258
Q12147,P461,Q12136
Q12147,P2579,Q11190
Q2625603,P279,Q1949963
Q2625603,P279,Q322481
Q16502,P31,Q151885
Q3055368,P1995,Q120569
Q3055368,P279,Q101991
Q213449,P279,Q1663054
Q213449,P366,Q208195
Q213449,P366,Q103191
Q213449,P366,Q2138622
