entity1,relation,entity2
Q3230,P527,Q40631
Q3230,P527,Q108376
Q3230,P527,Q162219
Q3230,P527,Q1621662
Q3230,P527,Q486613
Q3230,P527,Q205397
Q3230,P527,Q757229
Q3230,P527,Q186433
Q3230,P361,Q2
Q3230,P910,Q6191468
Q3230,P31,Q8104
Q3230,P31,Q2627400
Q3230,P31,Q241284
Q3230,P1424,Q5931320
Q3230,P2579,Q25261
Q3230,P2579,Q46255
Q3230,P376,Q2
Q3230,P186,Q627
Q3230,P186,Q629
Q3230,P186,Q696
Q3230,P186,Q1997
Q3230,P186,Q654
Q3230,P186,Q560
Q3230,P186,Q37129
Q3230,P186,Q888
Q12187,P279,Q12140
Q12187,P279,Q50377176
Q12187,P279,Q178859
Q12187,P279,Q804539
Q12187,P910,Q7145140
Q12187,P138,Q41579184
Q12187,P138,Q3
Q12187,P5008,Q5460604
Q12187,P31,Q56256173
Q12187,P31,Q12140
Q12187,P1889,Q804539
Q12187,P1552,Q380775
Q29142,P279,Q83267
Q29142,P279,Q16886387
Q7873,P279,Q1058795
Q7873,P279,Q629103
Q7873,P279,Q27983054
Q7873,P361,Q11068
Q7873,P910,Q7214757
Q7873,P527,Q79749
Q7873,P527,Q37187
Q7873,P527,Q42395
Q7873,P527,Q101026
Q7873,P1343,Q19180675
Q7873,P1343,Q1970746
Q7873,P1343,Q602358
Q7873,P1343,Q867541
Q7873,P1343,Q20961706
Q7873,P1343,Q4173137
Q7873,P5008,Q5460604
Q7873,P2849,Q546523
Q7873,P2579,Q103824
Q7873,P1552,Q47657
Q7873,P1552,Q82642
Q417861,P31,Q4167410
Q417861,P460,Q16033323
Q417861,P460,Q12386441
Q417861,P460,Q67204716
Q417861,P460,Q67204733
Q417861,P460,Q67204775
Q417861,P460,Q67204819
Q417861,P460,Q67204849
Q417861,P527,Q12386441
Q417861,P1889,Q530266
Q39911,P527,Q3186692
Q39911,P279,Q186081
Q39911,P279,Q2643280
Q39911,P279,Q2199864
Q39911,P910,Q2945249
Q39911,P31,Q1790144
Q39911,P31,Q21684377
Q39911,P1889,Q2643280
Q39911,P1889,Q2894303
Q39911,P1424,Q7471813
Q39911,P361,Q578
Q39911,P111,Q2199864
Q1572519,P31,Q4167410
Q416020,P31,Q4167410
Q166231,P1343,Q2657718
Q166231,P1963,P828
Q166231,P1963,P923
Q166231,P1963,P924
Q166231,P1542,Q18123741
Q166231,P1542,Q1781300
Q166231,P1542,Q4055929
Q166231,P1542,Q181754
Q166231,P828,Q170065
Q166231,P828,Q525512
Q166231,P924,Q50377176
Q166231,P279,Q7189713
Q166231,P279,Q11516357
Q166231,P1478,Q2041929
Q166231,P1995,Q788926
Q166231,P923,Q886695
Q166231,P923,Q1125312
Q166231,P1557,Q1178984
Q166231,P5008,Q87748614
Q166231,P1552,Q1662340
Q166231,P1552,Q4118322
Q242186,P31,Q4167410
Q242186,P1889,Q16871354
Q242186,P1889,Q483980
Q242186,P460,Q453879
Q25478470,P31,Q4167410
Q11563,P361,Q3054943
Q11563,P910,Q5460837
Q11563,P460,Q1289248
Q11563,P1963,P1171
Q11563,P279,Q309314
Q11563,P279,Q246672
Q11563,P279,Q614112
Q11563,P1343,Q47755251
Q11563,P1343,Q602358
Q11563,P5008,Q5460604
Q11563,P2959,Q56402551
Q11563,P1687,P1181
Q11563,P1552,Q47460393
Q209577,P31,Q4167410
Q730920,P910,Q7216270
Q730920,P279,Q61788060
Q730920,P279,Q170658
Q730920,P1542,Q21075690
Q730920,P828,Q621184
Q730920,P361,Q77468620
Q730920,P1552,Q4156986
Q346589,P31,Q4167410
Q346589,P1889,Q37464553
Q396788,P31,Q4167410
Q2995644,P828,Q3249551
Q2995644,P828,Q4026292
Q2995644,P828,Q1190554
Q2995644,P1269,Q179289
Q2995644,P461,Q3249551
Q2995644,P279,Q733541
Q104493,P910,Q7023213
Q104493,P279,Q1202245
Q104493,P279,Q13649246
Q104493,P461,Q3851114
Q104493,P1542,Q16301153
Q104493,P1269,Q1331926
Q104493,P1382,Q84426668
Q104493,P460,Q3013519
Q104493,P1479,Q1475848
Q104493,P828,Q86923152
Q104493,P1889,Q1209971
Q104493,P31,Q21170479
Q104493,P1552,Q9492
Q104493,P1552,Q1775867
Q104493,P1552,Q20888800
Q104493,P1552,Q13649246
Q104493,P1552,Q94704927
Q104493,P2579,Q189447
Q224772,P31,Q4167410
Q224772,P460,Q226578
Q224772,P460,Q542098
Q224772,P460,Q1472790
Q224772,P460,Q395360
Q224772,P460,Q427725
Q11471,P279,Q20937557
Q11471,P279,Q3054889
