doc,wikiID
0,Q1323314
0,Q34172
0,Q13276
0,Q409924
0,Q235352
0,Q926028
0,Q1209305
0,Q16220058
0,Q182722
0,Q131512
0,Q33767
0,Q251898
0,Q246639
0,Q414241
0,Q672154
0,Q44782
0,Q160151
0,Q1314879
0,Q29947926
0,Q6495050
0,Q24384
0,Q651658
0,Q360797
0,Q601401
0,Q419329
0,Q23387
0,Q577
1,Q482980
1,Q3708947
1,Q6807738
1,Q3422023
1,Q399476
1,Q1196314
1,Q189760
2,Q160151
2,Q29947926
2,Q6495050
2,Q577
2,Q399476
2,Q1196314
2,Q240673
2,Q353294
2,Q1235072
2,Q1624316
2,Q400416
2,Q1277907
2,Q7096561
2,Q1371819
2,Q10953985
2,Q95124485
2,Q58778
2,Q224745
2,Q454839
2,Q11471
2,Q452800
3,Q29947926
3,Q8161
4,Q672154
4,Q29947926
4,Q182076
4,Q181201
4,Q1148747
4,Q2112047
4,Q2995644
5,Q29947926
6,Q1314879
6,Q29947926
6,Q6495050
6,Q577
6,Q399476
6,Q8161
6,Q5669212
6,Q444986
6,Q252022
6,Q2095
6,Q15878761
6,Q170584
6,Q1437134
6,Q10870555
6,Q1487317
7,Q160151
7,Q29947926
7,Q252022
7,Q224006
7,Q753
8,Q29947926
8,Q6495050
8,Q577
8,Q399476
8,Q1196314
8,Q8161
8,Q181201
8,Q2112047
8,Q252022
8,Q1437134
8,Q693464
8,Q3679160
8,Q8961886
8,Q346589
8,Q178354
8,Q399857
8,Q233272
9,Q181201
9,Q2112047
9,Q1692143
10,Q672154
10,Q2995644
10,Q1487317
10,Q202772
10,Q3
11,Q6495050
11,Q24384
11,Q8161
11,Q1487317
11,Q346589
11,Q399857
11,Q347719
11,Q654302
11,Q7748
11,Q1115199
11,Q194189
11,Q347910
12,Q23387
12,Q16831479
13,Q181201
14,Q577
14,Q181201
14,Q2112047
14,Q1692143
15,Q6495050
16,Q29947926
16,Q577
16,Q399476
16,Q10870555
16,Q346589
16,Q399857
16,Q347719
16,Q21501967
16,Q233646
16,Q170924
17,Q29947926
17,Q399476
17,Q2112047
17,Q1692143
17,Q5151
18,Q29947926
18,Q654302
18,Q5320290
18,Q783794
18,Q1324448
18,Q397392
19,Q160151
19,Q29947926
19,Q577
19,Q399476
19,Q1196314
19,Q11471
19,Q2112047
19,Q5669212
19,Q1437134
19,Q693464
19,Q8961886
19,Q346589
19,Q233646
19,Q170924
19,Q283102
19,Q342078
19,Q3276328
19,Q969439
19,Q394963
19,Q362023
19,Q14083
19,Q1107656
19,Q102083
19,Q1474278
19,Q99751643
19,Q7315582
19,Q1456029
19,Q230266
19,Q7946771
20,Q1209305
20,Q29947926
20,Q23387
20,Q577
20,Q10870555
20,Q5151
20,Q42848
20,Q11247037
21,Q160151
21,Q601401
21,Q577
21,Q1371819
21,Q1148747
21,Q346589
21,Q5151
21,Q342078
21,Q231010
21,Q3196867
21,Q28021107
21,Q188094
21,Q436305
21,Q62955
21,Q11712088
21,Q3505433
21,Q230479
22,Q29947926
22,Q577
23,Q16220058
23,Q397392
23,Q11446
23,Q1050314
23,Q228647
23,Q6661273
24,Q29947926
24,Q424707
25,Q181201
26,Q672154
26,Q577
26,Q399476
26,Q95124485
26,Q2112047
26,Q444986
26,Q1437134
26,Q1692143
26,Q1115199
26,Q5151
26,Q14083
26,Q27795110
26,Q508068
26,Q6500754
26,Q2029226
26,Q42240
26,Q234328
27,Q29947926
27,Q23387
27,Q16831479
27,Q46737
28,Q251898
28,Q29947926
28,Q601401
28,Q23387
28,Q346589
28,Q783794
28,Q99751643
28,Q11446
28,Q407264
28,Q1720648
28,Q4402708
28,Q319224
28,Q215536
28,Q398496
29,Q29947926
29,Q8161
29,Q1437134
29,Q1487317
29,Q1692143
29,Q37038
29,Q1176379
31,Q29947926
31,Q6495050
31,Q399476
31,Q424707
32,Q58778
32,Q362023
32,Q42962
32,Q229289
32,Q226601
33,Q181201
34,Q399476
34,Q424707
34,Q1176379
34,Q189539
34,Q34763
35,Q182722
35,Q29947926
35,Q5151
35,Q397392
35,Q62955
35,Q539268
35,Q7602551
35,Q362310
35,Q202069
35,Q399469
36,Q1314
38,Q5281730
39,Q16220058
39,Q29947926
39,Q23387
39,Q189539
40,Q672154
40,Q29947926
40,Q23387
40,Q1456029
40,Q5281730
40,Q22687
40,Q10953930
40,Q30192
40,Q2114394
40,Q6266
40,Q17221
40,Q35473
41,Q29947926
41,Q181201
41,Q14083
41,Q82799
41,Q2002118
41,Q244696
42,Q672154
42,Q29947926
42,Q399476
42,Q399857
42,Q2002118
42,Q225590
43,Q29947926
43,Q399857
43,Q298971
44,Q181201
45,Q29947926
45,Q399857
45,Q82799
46,Q29947926
48,Q29947926
48,Q2995644
48,Q1487317
48,Q2002118
49,Q5281730
50,Q23387
51,Q399476
51,Q1196314
51,Q783794
51,Q20659690
51,Q1196501
52,Q577
52,Q2112047
52,Q224006
52,Q1692143
53,Q16220058
53,Q29947926
53,Q24384
53,Q23387
53,Q693464
53,Q189539
53,Q575724
53,Q764844
54,Q672154
54,Q29947926
54,Q24384
54,Q577
54,Q233646
54,Q764844
55,Q29947926
55,Q23387
55,Q10870555
55,Q3196867
56,Q6495050
56,Q37507
57,Q29947926
57,Q6495050
57,Q182076
57,Q346589
57,Q16831479
57,Q1176379
57,Q764844
57,Q37507
57,Q406754
57,Q897
58,Q16220058
58,Q160151
58,Q29947926
58,Q23387
58,Q1277907
58,Q1148747
58,Q252022
58,Q346589
58,Q42848
58,Q575724
58,Q41441174
58,Q11457
58,Q218593
58,Q36402
58,Q250827
58,Q407074
58,Q1786927
58,Q16502
59,Q577
59,Q11247037
61,Q16220058
61,Q672154
61,Q29947926
61,Q23387
61,Q577
61,Q400416
61,Q58778
61,Q182076
61,Q693464
61,Q178354
61,Q16831479
61,Q283102
61,Q1456029
61,Q37038
61,Q5281730
61,Q22687
61,Q10953930
61,Q2114394
61,Q17221
61,Q35473
61,Q2002118
61,Q406754
61,Q914068
61,Q2682765
61,Q149621
61,Q29485
61,Q293618
61,Q11563
61,Q730920
61,Q82794
61,Q243732
61,Q16877203
61,Q7590
61,Q11663
61,Q551997
62,Q414241
62,Q577
62,Q1196314
62,Q1277907
62,Q7096561
62,Q1371819
62,Q181201
62,Q2112047
62,Q5669212
62,Q693464
62,Q178354
62,Q233272
62,Q233646
62,Q783794
62,Q46737
62,Q37038
62,Q10953930
62,Q446964
62,Q140686
62,Q42501
62,Q340812
62,Q6016699
62,Q397164
62,Q1794067
62,Q7233180
62,Q343238
62,Q261993
62,Q120429
62,Q878352
62,Q855949
62,Q229949
62,Q283308
62,Q3984436
62,Q283
63,Q251898
63,Q29947926
63,Q24384
63,Q23387
63,Q188094
63,Q407264
63,Q1176379
63,Q297869
63,Q1210451
63,Q413593
64,Q29947926
64,Q399476
64,Q181201
64,Q346589
64,Q399857
65,Q251898
65,Q160151
65,Q29947926
65,Q6495050
65,Q577
65,Q95124485
65,Q2112047
65,Q2995644
65,Q1437134
65,Q10870555
65,Q21501967
65,Q233646
65,Q14083
65,Q4402708
65,Q2934264
65,Q11427
66,Q29947926
66,Q23387
66,Q577
66,Q95124485
66,Q10870555
66,Q1420
66,Q2995529
66,Q1530792
66,Q4761205
66,Q352850
67,Q29947926
67,Q399476
67,Q1196314
67,Q5151
67,Q783794
67,Q1196501
67,Q8037623
68,Q2112047
68,Q1692143
69,Q160151
69,Q29947926
69,Q1277907
69,Q95124485
69,Q15878761
69,Q42962
69,Q10289
69,Q93288
69,Q5189833
69,Q5283
69,Q367026
69,Q12880812
69,Q1247368
69,Q7842
70,Q29947926
70,Q399476
70,Q1196314
70,Q731112
71,Q1196314
71,Q233272
72,Q29947926
72,Q6495050
72,Q577
72,Q399476
72,Q7096561
72,Q95124485
72,Q2112047
72,Q2995644
72,Q10870555
72,Q178354
72,Q1692143
72,Q5151
72,Q1456029
72,Q954124
72,Q264890
72,Q224088
73,Q16220058
73,Q29947926
73,Q24384
73,Q23387
73,Q189539
73,Q575724
74,Q16220058
74,Q29947926
74,Q23387
74,Q693464
74,Q189539
74,Q764844
75,Q29947926
75,Q6495050
75,Q1487317
75,Q41441174
75,Q367026
76,Q399476
76,Q783794
76,Q1196501
76,Q27939
77,Q29947926
77,Q240673
77,Q400416
77,Q1148747
77,Q252022
77,Q693464
77,Q231010
77,Q189539
77,Q42501
77,Q2995529
77,Q344507
77,Q3684810
77,Q3196
77,Q7188
77,Q768396
77,Q3711325
78,Q29947926
78,Q23387
78,Q577
78,Q2112047
78,Q1692143
79,Q181201
80,Q577
80,Q1692143
80,Q42962
81,Q16220058
81,Q672154
81,Q29947926
81,Q577
83,Q160151
83,Q29947926
83,Q23387
83,Q1277907
83,Q95124485
83,Q5669212
83,Q1437134
83,Q5151
83,Q436305
83,Q4402708
83,Q42962
83,Q362310
83,Q20659690
83,Q16502
83,Q730920
83,Q82794
83,Q855949
83,Q413593
83,Q319608
83,Q342425
83,Q1308239
83,Q225819
83,Q6430706
83,Q178651
83,Q3326911
83,Q80492
83,Q970793
83,Q365096
83,Q712498
83,Q1311
84,Q160151
84,Q29947926
84,Q577
84,Q399476
84,Q2112047
84,Q2995644
84,Q1437134
84,Q10870555
84,Q1692143
84,Q5151
84,Q42962
84,Q41650356
84,Q571
84,Q15807
84,Q5551716
85,Q399476
85,Q1196314
85,Q233272
85,Q367026
86,Q29947926
86,Q482980
86,Q1371819
86,Q11471
86,Q181201
86,Q309314
86,Q7231827
87,Q577
87,Q2112047
87,Q1692143
89,Q29947926
89,Q1196314
89,Q1277907
89,Q1371819
89,Q21501967
89,Q417861
89,Q1247670
89,Q2082178
89,Q1411242
90,Q29947926
90,Q42962
90,Q82794
90,Q5410500
90,Q227388
90,Q31486
91,Q6495050
91,Q399476
91,Q424707
91,Q2002118
92,Q29947926
92,Q22687
93,Q181201
94,Q399476
94,Q424707
95,Q29947926
95,Q181201
96,Q181201
97,Q29947926
97,Q577
97,Q399476
97,Q8161
97,Q12880812
98,Q6495050
98,Q577
98,Q8161
98,Q10870555
98,Q1487317
98,Q424707
98,Q27795110
99,Q29947926
99,Q8161
99,Q424707
100,Q160151
100,Q240673
100,Q1277907
100,Q7096561
100,Q95124485
100,Q11471
100,Q2112047
100,Q5669212
100,Q170924
100,Q362023
100,Q62955
100,Q4402708
100,Q37038
100,Q1196501
100,Q250827
100,Q93288
100,Q178651
100,Q341344
102,Q29947926
102,Q1487317
103,Q29947926
103,Q95124485
103,Q654302
103,Q5420195
104,Q29947926
104,Q399476
105,Q160151
105,Q1196645
106,Q160151
106,Q29947926
106,Q252022
106,Q42962
106,Q10289
106,Q93288
106,Q367026
106,Q7842
106,Q1541208
107,Q160151
107,Q252022
107,Q42962
107,Q10289
107,Q7842
108,Q29947926
109,Q29947926
109,Q24384
109,Q577
109,Q182076
109,Q233646
109,Q1456029
109,Q227911
110,Q29947926
110,Q58778
110,Q2112047
110,Q474704
110,Q6739267
111,Q29947926
111,Q49845
112,Q29947926
112,Q1196314
112,Q2112047
112,Q233272
112,Q1692143
113,Q16220058
113,Q251898
113,Q672154
113,Q29947926
113,Q6495050
113,Q23387
113,Q577
113,Q189760
113,Q1277907
113,Q58778
113,Q252022
113,Q15878761
113,Q10870555
113,Q346589
113,Q16831479
113,Q14083
113,Q1456029
113,Q42848
113,Q188094
113,Q6500754
113,Q37038
113,Q1176379
113,Q22687
113,Q17221
113,Q37507
113,Q11563
113,Q730920
113,Q243732
113,Q551997
113,Q342425
113,Q343542
113,Q235962
113,Q441549
113,Q44619
113,Q611862
113,Q10989264
113,Q5557864
113,Q2351730
113,Q340406
113,Q12452291
114,Q29947926
114,Q7096561
114,Q2112047
114,Q1692143
115,Q29947926
115,Q577
115,Q693464
115,Q42962
115,Q5281730
115,Q5397478
115,Q193168
116,Q29947926
116,Q577
116,Q2112047
116,Q1692143
117,Q160151
117,Q29947926
117,Q240673
117,Q2095
117,Q5151
117,Q11712088
117,Q42962
117,Q1314
117,Q575724
117,Q42501
117,Q28823
117,Q161928
117,Q934693
117,Q3486937
117,Q350108
118,Q29947926
118,Q399476
118,Q1196314
118,Q1371819
118,Q181201
118,Q252022
118,Q693464
118,Q233272
118,Q3196867
119,Q24384
119,Q11471
119,Q4402708
119,Q446253
120,Q16220058
120,Q251898
120,Q601401
120,Q577
120,Q1277907
120,Q182076
120,Q1437134
120,Q346589
120,Q233646
120,Q170924
120,Q362023
120,Q407264
120,Q22687
120,Q3984436
120,Q297869
120,Q2934264
120,Q227911
120,Q12132
120,Q1664720
120,Q11435
120,Q1129100
121,Q414241
121,Q29947926
121,Q577
121,Q1277907
121,Q58778
121,Q346589
121,Q170924
121,Q99751643
121,Q37038
121,Q6266
121,Q20659690
121,Q575724
121,Q764844
121,Q730920
121,Q3984436
121,Q297869
121,Q342425
121,Q22687
121,Q683365
121,Q409814
121,Q11034548
121,Q5464688
121,Q6869710
121,Q321839
121,Q526688
121,Q235028
121,Q15622206
121,Q419008
121,Q188561
122,Q182722
122,Q160151
122,Q29947926
122,Q577
122,Q399476
122,Q1196314
122,Q1277907
122,Q95124485
122,Q252022
122,Q654302
122,Q407264
122,Q17221
122,Q16502
122,Q970793
122,Q18545
122,Q8486
122,Q41487
122,Q43059
122,Q2042052
122,Q192630
122,Q4555
122,Q69314267
122,Q7673098
123,Q577
123,Q346589
123,Q170924
123,Q99751643
123,Q3984436
123,Q11034548
124,Q251898
124,Q246639
124,Q160151
124,Q29947926
124,Q23387
124,Q577
124,Q399476
124,Q1277907
124,Q1371819
124,Q95124485
124,Q5669212
124,Q1487317
124,Q5151
124,Q362023
124,Q14083
124,Q7315582
124,Q3196867
124,Q6500754
124,Q37038
124,Q42962
124,Q7602551
124,Q202069
124,Q6266
124,Q16502
124,Q5189833
124,Q7842
124,Q354825
124,Q20830730
124,Q3972943
124,Q7307090
124,Q1496085
124,Q7783805
124,Q3536375
125,Q182722
125,Q251898
125,Q160151
125,Q29947926
125,Q601401
125,Q577
125,Q3422023
125,Q1148747
125,Q10870555
125,Q346589
125,Q233646
125,Q5151
125,Q6500754
125,Q4402708
125,Q42962
125,Q7602551
125,Q1314
125,Q2002118
125,Q16502
125,Q7233180
125,Q11427
125,Q93288
125,Q7188
125,Q227911
125,Q340406
125,Q22687
125,Q7783805
125,Q11500
125,Q4818684
125,Q8805
125,Q5164389
125,Q37017
125,Q1292638
125,Q708
125,Q41273
125,Q51835
125,Q22656
125,Q756
125,Q11474
125,Q900406
125,Q16869132
125,Q7316284
125,Q594799
126,Q251898
126,Q160151
126,Q601401
126,Q23387
126,Q1277907
126,Q346589
126,Q5151
126,Q42962
126,Q7602551
126,Q764844
126,Q250827
126,Q3536375
126,Q27792023
126,Q268592
126,Q2835558
126,Q1799745
126,Q2010220
126,Q5483798
126,Q30722989
127,Q246639
127,Q672154
127,Q160151
127,Q577
127,Q170584
127,Q178354
127,Q5151
127,Q1456029
127,Q2029226
127,Q37038
127,Q42962
127,Q7602551
127,Q2682765
127,Q10289
127,Q7188
127,Q341344
127,Q5397478
127,Q3972943
127,Q5483798
127,Q41263
127,Q12147
127,Q20033
127,Q3695082
127,Q569874
128,Q160151
128,Q482980
128,Q399476
128,Q1196314
128,Q1624316
128,Q400416
128,Q1277907
128,Q1371819
128,Q10870555
128,Q1487317
128,Q7748
128,Q783794
128,Q3196867
128,Q188094
128,Q407264
128,Q37038
128,Q42962
128,Q1314
128,Q6266
128,Q82794
128,Q3984436
128,Q365096
128,Q683365
128,Q1799745
128,Q5483798
128,Q18819868
128,Q257022
128,Q42138
128,Q367384
128,Q181591
128,Q5421978
128,Q235819
128,Q13479587
128,Q225829
128,Q557880
128,Q563224
128,Q346340
128,Q10862215
129,Q16220058
129,Q160151
129,Q24384
129,Q577
129,Q1277907
129,Q1371819
129,Q5669212
129,Q1487317
129,Q654302
129,Q394963
129,Q436305
129,Q6500754
129,Q42962
129,Q7602551
129,Q1314
129,Q10289
129,Q342425
129,Q2042052
129,Q3536375
129,Q339410
129,Q42973
129,Q437587
129,Q411820
129,Q6133020
129,Q7855605
130,Q182722
130,Q160151
130,Q29947926
130,Q23387
130,Q577
130,Q6807738
130,Q407264
130,Q362310
130,Q202069
130,Q16502
130,Q8486
130,Q43059
130,Q339410
130,Q5474587
131,Q29947926
131,Q1371819
131,Q58778
131,Q16831479
131,Q5151
131,Q3276328
131,Q14083
131,Q1456029
131,Q4402708
