doc,relation,idf,idf_wiki
0,P2670,1.8689491079191851,7.974248905158895
0,P4934,2.93394478578831,11.058713219679579
0,P111,3.973464287151137,20.81035035442936
0,P138,3.6692923208386317,5.728369150814558
1,P1382,1.5353299402803786,8.809979621496122
2,P828,1.628295931068497,8.575483888888604
2,P2079,2.3270579495127715,6.650903602638169
2,P1056,1.6138432059020167,8.103745152209294
2,P111,1.9867321435755685,10.40517517721468
4,P2868,3.2382939107253024,5.506060103673929
6,P462,3.7043836406499016,6.18768014886035
6,P1542,2.2254205723577747,9.853008213292247
6,P2578,3.4530692123689954,10.914318714797686
7,P186,4.249705610767464,8.964862086703972
8,P2851,2.786308786982245,10.885914438366749
9,P1382,1.5353299402803786,8.809979621496122
10,P1542,2.2254205723577747,9.853008213292247
10,P138,3.6692923208386317,5.728369150814558
12,P2670,1.8689491079191851,7.974248905158895
12,P1557,3.1195776038859204,10.770337906298822
14,P1382,1.5353299402803786,8.809979621496122
16,P1382,1.5353299402803786,8.809979621496122
18,P495,4.27184260604635,4.406155368649842
18,P1542,2.2254205723577747,9.853008213292247
18,P437,3.45654747674532,6.545076028725129
18,P828,1.628295931068497,8.575483888888604
19,P2079,2.3270579495127715,6.650903602638169
19,P1478,4.839363573488886,6.603374575474467
19,P111,1.9867321435755685,10.40517517721468
19,P106,2.3521447839425065,2.402260292416602
19,P2851,2.786308786982245,10.885914438366749
20,P2670,1.8689491079191851,7.974248905158895
20,P111,1.9867321435755685,10.40517517721468
20,P828,1.628295931068497,8.575483888888604
20,P4934,2.93394478578831,11.058713219679579
20,P186,4.249705610767464,8.964862086703972
20,P1542,2.2254205723577747,9.853008213292247
21,P828,3.256591862136994,17.150967777777208
21,P2868,3.2382939107253024,5.506060103673929
21,P1056,1.6138432059020167,8.103745152209294
21,P106,2.3521447839425065,2.402260292416602
21,P452,1.9567377877073766,7.145969253678929
23,P2670,1.8689491079191851,7.974248905158895
23,P276,5.127045645940667,3.828816653091779
23,P111,1.9867321435755685,10.40517517721468
23,P138,3.6692923208386317,5.728369150814558
26,P2578,10.359207637106987,32.742956144393055
26,P2283,4.174387269895637,8.459522740193368
26,P2579,6.791435831795059,20.02800243404027
26,P101,4.638692878026735,6.142693478458247
26,P1454,3.1396787832070077,6.46917075420975
27,P2670,1.8689491079191851,7.974248905158895
27,P1382,3.0706598805607572,17.619959242992245
27,P1557,3.1195776038859204,10.770337906298822
28,P2670,1.8689491079191851,7.974248905158895
32,P1382,3.0706598805607572,17.619959242992245
32,P4934,5.86788957157662,22.117426439359157
32,P111,1.9867321435755685,10.40517517721468
32,P1056,1.6138432059020167,8.103745152209294
33,P2922,3.602600946339959,10.03495600816819
36,P186,2.124852805383732,4.482431043351986
39,P2670,1.8689491079191851,7.974248905158895
39,P186,4.249705610767464,8.964862086703972
40,P2670,1.8689491079191851,7.974248905158895
40,P186,2.124852805383732,4.482431043351986
40,P421,6.12029741895095,3.8628175821513375
41,P111,1.9867321435755685,10.40517517721468
47,P1557,3.1195776038859204,10.770337906298822
50,P2670,1.8689491079191851,7.974248905158895
53,P2670,1.8689491079191851,7.974248905158895
53,P2851,2.786308786982245,10.885914438366749
54,P828,1.628295931068497,8.575483888888604
54,P452,1.9567377877073766,7.145969253678929
55,P2670,1.8689491079191851,7.974248905158895
56,P2670,1.8689491079191851,7.974248905158895
57,P2670,1.8689491079191851,7.974248905158895
58,P2670,1.8689491079191851,7.974248905158895
58,P111,1.9867321435755685,10.40517517721468
58,P2579,3.3957179158975297,10.014001217020136
58,P2868,3.2382939107253024,5.506060103673929
58,P2578,3.4530692123689954,10.914318714797686
58,P186,2.124852805383732,4.482431043351986
59,P111,1.9867321435755685,10.40517517721468
59,P186,4.249705610767464,8.964862086703972
60,P2922,3.602600946339959,10.03495600816819
61,P2670,3.7378982158383702,15.94849781031779
61,P186,2.124852805383732,4.482431043351986
61,P121,4.2408323693037895,9.011423123953625
61,P1557,3.1195776038859204,10.770337906298822
61,P111,1.9867321435755685,10.40517517721468
61,P2851,2.786308786982245,10.885914438366749
62,P828,1.628295931068497,8.575483888888604
62,P2079,2.3270579495127715,6.650903602638169
62,P2389,4.0661736852554045,9.14932483362106
62,P3712,3.335286176712612,11.200801027057562
62,P462,3.7043836406499016,6.18768014886035
62,P111,1.9867321435755685,10.40517517721468
62,P1056,1.6138432059020167,8.103745152209294
62,P186,4.249705610767464,8.964862086703972
62,P121,4.2408323693037895,9.011423123953625
62,P106,2.3521447839425065,2.402260292416602
62,P39,4.605170185988092,4.276505438597425
62,P138,3.6692923208386317,5.728369150814558
62,P2851,2.786308786982245,10.885914438366749
63,P2670,1.8689491079191851,7.974248905158895
63,P1557,3.1195776038859204,10.770337906298822
63,P106,2.3521447839425065,2.402260292416602
64,P1382,1.5353299402803786,8.809979621496122
65,P4934,5.86788957157662,22.117426439359157
65,P2079,2.3270579495127715,6.650903602638169
65,P462,3.7043836406499016,6.18768014886035
65,P186,4.249705610767464,8.964862086703972
65,P1056,1.6138432059020167,8.103745152209294
65,P1542,2.2254205723577747,9.853008213292247
66,P2670,1.8689491079191851,7.974248905158895
66,P618,12.438649178786822,32.834370895330295
66,P1542,2.2254205723577747,9.853008213292247
66,P1056,4.84152961770605,24.311235456627884
66,P186,2.124852805383732,4.482431043351986
67,P1382,3.0706598805607572,17.619959242992245
69,P1382,3.0706598805607572,17.619959242992245
69,P129,3.6866840635505005,9.184885995456597
69,P186,6.374558416151196,13.447293130055957
69,P1542,2.2254205723577747,9.853008213292247
69,P2579,3.3957179158975297,10.014001217020136
69,P2670,1.8689491079191851,7.974248905158895
69,P2578,3.4530692123689954,10.914318714797686
69,P1056,1.6138432059020167,8.103745152209294
70,P1382,1.5353299402803786,8.809979621496122
70,P1454,3.1396787832070077,6.46917075420975
72,P1056,1.6138432059020167,8.103745152209294
73,P2670,1.8689491079191851,7.974248905158895
74,P2670,1.8689491079191851,7.974248905158895
74,P2851,2.786308786982245,10.885914438366749
75,P1454,3.1396787832070077,6.46917075420975
76,P828,1.628295931068497,8.575483888888604
76,P2079,2.3270579495127715,6.650903602638169
76,P1056,1.6138432059020167,8.103745152209294
76,P1303,7.036588150825105,6.111090104084087
77,P2079,2.3270579495127715,6.650903602638169
77,P828,1.628295931068497,8.575483888888604
77,P1536,5.682042488019795,8.615401805958253
77,P2868,3.2382939107253024,5.506060103673929
77,P1056,1.6138432059020167,8.103745152209294
77,P186,2.124852805383732,4.482431043351986
77,P1542,2.2254205723577747,9.853008213292247
77,P106,2.3521447839425065,2.402260292416602
77,P2851,2.786308786982245,10.885914438366749
78,P2670,1.8689491079191851,7.974248905158895
80,P1382,3.0706598805607572,17.619959242992245
80,P1056,1.6138432059020167,8.103745152209294
83,P2670,1.8689491079191851,7.974248905158895
83,P2079,2.3270579495127715,6.650903602638169
83,P1382,3.0706598805607572,17.619959242992245
83,P2868,3.2382939107253024,5.506060103673929
83,P1056,1.6138432059020167,8.103745152209294
84,P1382,3.0706598805607572,17.619959242992245
84,P186,8.499411221534928,17.929724173407944
84,P129,3.6866840635505005,9.184885995456597
84,P2670,1.8689491079191851,7.974248905158895
84,P1056,1.6138432059020167,8.103745152209294
85,P1382,1.5353299402803786,8.809979621496122
86,P1382,1.5353299402803786,8.809979621496122
86,P828,1.628295931068497,8.575483888888604
86,P2079,2.3270579495127715,6.650903602638169
86,P1056,1.6138432059020167,8.103745152209294
86,P111,1.9867321435755685,10.40517517721468
89,P828,1.628295931068497,8.575483888888604
89,P1382,3.0706598805607572,17.619959242992245
89,P1056,1.6138432059020167,8.103745152209294
90,P2079,2.3270579495127715,6.650903602638169
100,P1542,2.2254205723577747,9.853008213292247
100,P111,3.973464287151137,20.81035035442936
100,P106,4.704289567885013,4.804520584833204
106,P1382,3.0706598805607572,17.619959242992245
106,P1542,2.2254205723577747,9.853008213292247
106,P1056,1.6138432059020167,8.103745152209294
107,P1382,3.0706598805607572,17.619959242992245
107,P1542,2.2254205723577747,9.853008213292247
107,P111,1.9867321435755685,10.40517517721468
107,P1056,1.6138432059020167,8.103745152209294
109,P1557,3.1195776038859204,10.770337906298822
111,P452,1.9567377877073766,7.145969253678929
113,P2670,3.7378982158383702,15.94849781031779
113,P2079,2.3270579495127715,6.650903602638169
113,P4934,5.86788957157662,22.117426439359157
113,P186,8.499411221534928,17.929724173407944
113,P2789,12.68688194053032,13.017029773095992
113,P1557,3.1195776038859204,10.770337906298822
113,P111,1.9867321435755685,10.40517517721468
113,P106,4.704289567885013,4.804520584833204
115,P1382,1.5353299402803786,8.809979621496122
115,P1056,6.455372823608067,32.414980608837176
115,P2851,2.786308786982245,10.885914438366749
116,P276,5.127045645940667,3.828816653091779
117,P1542,2.2254205723577747,9.853008213292247
117,P1382,3.0706598805607572,17.619959242992245
117,P186,2.124852805383732,4.482431043351986
117,P2922,3.602600946339959,10.03495600816819
117,P618,4.146216392928941,10.944790298443433
117,P437,3.45654747674532,6.545076028725129
