word,wikiID
bag,Q1323314
butter,Q34172
cake,Q13276
cocoa,Q409924
crop,Q235352
cruzado,Q926028
cumul,Q1209305
end,Q16220058
export,Q182722
farmer,Q131512
hand,Q33767
hundr,-1
level,Q251898
limit,Q246639
part,Q414241
period,Q672154
port,Q44782
price,Q160151
processor,Q1314879
restor,-1
reuter,Q29947926
sale,Q6495050
season,Q24384
shipment,Q651658
stage,Q360797
trade,Q601401
view,Q419329
week,Q23387
year,Q577
approv,-1
author,Q482980
director,Q3708947
increa,-1
meet,Q6807738
recommend,Q3422023
share,Q399476
stock,Q1196314
vote,Q189760
addit,-1
circumst,-1
complet,-1
comput,-1
cost,Q240673
deliveri,-1
dot,Q353294
form,Q1235072
hold,Q1624316
impact,Q400416
market,Q1277907
oper,Q7096561
plan,Q1371819
printer,Q10953985
product,Q95124485
system,Q58778
tag,Q224745
termin,-1
ticket,Q454839
time,Q11471
warrant,Q452800
tax,Q8161
carryforward,-1
credit,Q182076
dividend,Q181201
payment,Q1148747
profit,Q2112047
result,Q2995644
acquisit,-1
analyst,Q5669212
benefit,Q444986
effect,Q252022
food,Q2095
line,Q15878761
project,Q170584
quarter,Q1437134
report,Q10870555
unit,Q1487317
cathod,-1
cent,Q224006
copper,Q753
immedi,-1
cash,Q693464
charg,-1
class,Q3679160
compani,-1
corpor,-1
flow,Q8961886
payout,-1
rate,Q346589
reason,Q178354
record,Q399857
split,Q233272
loss,Q1692143
payabl,-1
busi,Q202772
life,Q3
capit,-1
decemb,-1
favor,Q347719
group,Q654302
law,Q7748
pace,Q1115199
seller,Q194189
treatment,Q347910
fund,Q16831479
condit,Q21501967
economi,-1
growth,Q233646
interest,Q170924
presid,-1
stabl,-1
month,Q5151
deleg,Q5320290
firm,Q783794
ico,Q1324448
produc,-1
shortfal,-1
tomorrow,Q397392
afternoon,Q283102
bid,Q342078
bidder,Q3276328
care,Q969439
chemlawn,-1
contact,Q394963
custom,Q362023
dollar,Q14083
garden,Q1107656
knight,Q102083
offer,Q1474278
point,Q99751643
resist,Q7315582
statement,Q1456029
tender,Q230266
valuabl,-1
wast,Q7946771
accordingli,-1
datum,Q42848
ton,Q11247037
account,Q231010
debt,Q3196867
divert,Q28021107
domest,-1
economist,Q188094
fix,Q436305
import,Q62955
index,Q11712088
suffici,-1
surplus,Q3505433
target,Q230479
schedul,-1
ship,Q11446
tanker,Q1050314
transit,Q228647
vessel,Q6661273
distribut,-1
gain,Q424707
declin,-1
divi,Q27795110
engin,Q508068
expenditur,-1
intern,Q6500754
introduct,-1
order,Q2029226
research,Q42240
run,Q234328
asset,Q46737
call,Q407264
comparison,Q1720648
demand,Q4402708
freight,Q319224
merchant,Q215536
outlook,Q398496
ad,Q37038
carryov,-1
feder,Q1176379
transact,-1
oil,Q42962
pressur,-1
process,Q229289
pulp,Q226601
loan,Q189539
peninsula,Q34763
inform,Q539268
member,Q7602551
modifi,-1
session,Q362310
talk,Q202069
tonight,Q399469
fall,Q1314
discount,Q5281730
relea,-1
bank,Q22687
comment,Q10953930
gmt,Q30192
half,Q2114394
nation,Q6266
spokesman,Q17221
window,Q35473
name,Q82799
note,Q2002118
peso,Q244696
shr,-1
ct,Q225590
div,Q298971
cut,Q20659690
file,Q1196501
base,Q575724
deposit,Q764844
requir,-1
januari,-1
match,Q37507
float,Q406754
gold,Q897
adjust,Q41441174
averag,-1
cotton,Q11457
determin,-1
inch,Q218593
midnight,Q36402
spot,Q250827
sum,Q407074
texa,Q1786927
world,Q16502
brief,Q914068
countri,-1
daili,-1
deficit,Q2682765
district,Q149621
error,Q29485
letter,Q293618
number,Q11563
problem,Q730920
region,Q82794
rel,Q243732
secur,-1
separ,Q16877203
thursdai,-1
transport,Q7590
weather,Q11663
wire,Q551997
boost,Q446964
chairman,Q140686
consid,-1
enorm,-1
fuel,Q42501
lift,Q340812
mark,Q6016699
option,Q397164
place,Q1794067
posit,Q7233180
premium,Q343238
realist,Q261993
reflect,Q120429
rumor,Q878352
sinc,Q855949
spin,Q229949
spinoff,Q283308
term,Q3984436
therebi,-1
valuat,-1
variat,-1
water,Q283
move,Q297869
poll,Q1210451
revi,-1
rise,Q413593
revenu,-1
show,Q2934264
steel,Q11427
substanti,-1
car,Q1420
carload,-1
grain,Q2995529
load,Q1530792
mill,Q4761205
total,Q352850
purpos,-1
wrather,Q8037623
barrel,Q10289
contract,Q93288
crude,Q5189833
diamond,Q5283
post,Q367026
reduct,Q12880812
shamrock,Q1247368
todai,Q7842
merger,Q731112
coleco,Q954124
enabl,-1
primarili,-1
return,Q264890
swing,Q224088
singer,Q27939
administr,-1
cert,Q344507
certif,-1
commit,Q3684810
decrea,-1
entri,-1
fire,Q3196
