entity1,relations,entity2
Q1323314,P279,Q987767
Q379813,P279,Q40763
Q379813,P279,Q11004
Q379813,P279,Q2095
Q34172,P527,Q127980
Q926028,P31,Q8142
Q8142,P279,Q1368
Q8142,P1889,Q1368
Q182722,P461,Q62955
Q131512,P425,Q11451
Q44782,P1889,Q283202
Q265158,P279,Q1379672
Q651658,P279,Q7590
Q651658,P361,Q159810
Q23387,P2670,Q573
Q23387,P361,Q5151
Q23387,P460,Q30722989
Q577,P527,Q5151
Q783794,P279,Q43229
Q783794,P460,Q4830453
Q381136,P31,Q214339
Q381136,P1382,Q557880
Q68,P527,Q7397
Q240673,P361,Q159810
Q240673,P31,Q151885
Q1371819,P180,Q344
Q1371819,P1889,Q309100
Q1371819,P828,Q309100
Q1369832,P31,Q151885
Q1369832,P279,Q601401
Q1369832,P2079,Q39809
Q1369832,P461,Q194189
Q780687,P279,Q321839
Q58778,P279,Q6671777
Q46737,P279,Q1554231
Q189539,P1552,Q309314
Q189539,P1535,Q157470
Q189539,P1535,Q157165
Q8161,P279,Q7748
Q2995644,P1269,Q179289
Q637776,P279,Q83405
Q21255975,P461,Q481609
Q8495,P279,Q2095
Q8495,P279,Q40050
Q8495,P462,Q23444
Q8495,P527,Q8054
Q8495,P527,Q127980
Q170584,P31,Q151885
Q170584,P1552,Q4503831
Q170584,P1552,Q327245
Q11004,P279,Q756
Q11004,P279,Q2095
Q11004,P527,Q283
Q753,P279,Q214609
Q753,P279,Q12140
Q753,P279,Q11426
Q8805,P31,Q151885
Q693464,P279,Q1368
Q5151,P361,Q577
Q4830453,P460,Q783794
Q4830453,P279,Q43229
Q3,P461,Q4
Q3,P527,Q4
Q7743,P279,Q41176
Q7743,P279,Q3947
Q7743,P1889,Q3947
Q7748,P1889,Q49371
Q7748,P3095,Q16533
Q7748,P3095,Q40348
Q519076,P279,Q160117
Q194189,P31,Q151885
Q194189,P279,Q601401
Q194189,P461,Q1369832
Q194189,P361,Q39809
Q194189,P361,Q159810
Q194189,P361,Q601401
Q194189,P3095,Q1762621
Q1368,P1889,Q8142
Q1368,P366,Q1148747
Q1368,P366,Q601401
Q315,P361,Q11024
Q315,P1552,Q1308274
Q8486,P279,Q40050
Q8486,P495,Q96
Q22855,P1542,Q192270
Q6256,P527,Q183366
Q7725,P361,Q573
Q7725,P155,Q283102
Q7725,P461,Q7722
Q283102,P155,Q168182
Q283102,P461,Q7722
Q283102,P361,Q573
Q283102,P156,Q7725
Q14083,P1269,Q8142
Q14083,P279,Q8142
Q2920921,P1269,Q43229
Q2920921,P2079,Q309100
Q599151,P460,Q61022630
Q45701,P279,Q214609
Q42848,P1889,Q9081
Q42848,P279,Q11028
Q62955,P461,Q182722
Q11002,P279,Q2095
Q11247037,P111,Q11423
Q25288,P279,Q11402
Q25288,P828,Q11412
Q25288,P461,Q6497624
Q25288,P1889,Q11423
Q25288,P4934,Q11423
Q381072,P279,Q104493
Q3196867,P279,Q2648051
Q1337691,P1269,Q4402708
Q342306,P1889,Q1199068
Q601401,P361,Q159810
Q601401,P460,Q26643
Q5189153,P460,Q16726223
Q573,P527,Q25235
Q573,P527,Q575
Q573,P361,Q23387
Q659,P461,Q679
Q659,P461,Q684
Q659,P1889,Q224360
Q11446,P366,Q7590
Q11446,P1889,Q35872
Q1210094,P279,Q182076
Q11023,P3095,Q81096
Q11023,P2578,Q11650
Q11023,P2578,Q12725
Q11023,P2578,Q385378
Q11023,P2283,Q413
Q13516686,P31,Q151885
Q13516686,P279,Q240673
Q42240,P361,Q336
Q850210,P31,Q101072
Q850210,P279,Q1527264
Q850210,P1889,Q26911
Q160117,P279,Q43845
Q706622,P31,Q151885
Q706622,P1382,Q4503831
Q706622,P527,Q4503831
Q16518,P279,Q11446
Q319224,P1535,Q651658
Q11229,P279,Q3481047
Q11379,P1552,Q11423
Q11432,P1889,Q39558
Q11432,P527,Q39552
Q11432,P527,Q39297
Q11432,P527,Q11466
Q42962,P1889,Q127980
Q42962,P1889,Q22656
Q42962,P1382,Q127980
Q42962,P1382,Q22656
Q39552,P4934,Q11402
Q39552,P4934,Q11500
Q309314,P1269,Q12453
Q731112,P527,Q1416898
Q11472,P366,Q735
Q11472,P366,Q207822
Q424543,P527,Q9081
Q571,P186,Q11472
Q571,P279,Q49848
Q571,P279,Q732577
Q571,P366,Q199657
Q35473,P366,Q210064
Q35473,P186,Q11469
Q126017,P279,Q36253
Q82799,P279,Q8171
Q82799,P279,Q3695082
Q82799,P361,Q315
Q244696,P279,Q8142
Q11035,P279,Q11019
Q11035,P366,Q131395
Q128430,P279,Q3707571
Q4290,P279,Q1369832
Q4290,P3095,Q557880
Q10870555,P279,Q732577
Q10870555,P279,Q49848
Q182076,P279,Q189539
Q182076,P279,Q3196867
Q202785,P279,Q1949963
Q11457,P279,Q161
Q11457,P31,Q161
Q218593,P111,Q36253
Q2221906,P2579,Q1071
Q2221906,P1889,Q82794
Q36402,P461,Q168182
Q36402,P361,Q575
Q36402,P31,Q25235
Q16502,P31,Q151885
Q16502,P460,Q2
Q222749,P31,Q735
Q178706,P279,Q43229
Q178706,P1889,Q1664720
Q11563,P279,Q309314
Q7590,P366,Q61509
Q7590,P121,Q42889
Q7590,P1889,Q61509
Q7590,P279,Q79782
Q11663,P361,Q8104
Q140686,P2389,Q865588
Q188572,P461,Q3962655
Q188572,P279,Q42848
Q344,P279,Q11471
Q344,P155,Q193168
Q344,P361,Q11471
Q344,P461,Q192630
Q61022630,P460,Q599151
Q878352,P279,Q34394
Q878352,P1552,Q13649246
Q2526135,P1889,Q10566551
Q2526135,P1552,Q2251595
Q2526135,P3712,Q10566551
Q173253,P366,Q160402
Q173253,P1889,Q205555
Q283,P462,Q23444
Q283,P31,Q50690
Q283,P361,Q2095
Q11427,P527,Q677
Q11427,P527,Q623
Q11427,P2079,Q482090
Q11427,P462,Q42519
Q1420,P527,Q44167
Q1420,P527,Q2207370
Q1420,P618,Q39558
Q1420,P618,Q12725
Q1420,P618,Q153
Q1420,P366,Q7590
Q1420,P366,Q334401
Q1420,P1542,Q61509
Q2995529,P527,Q12117
Q3565868,P361,Q7590
Q10289,P279,Q987767
Q10289,P129,Q40050
Q10289,P186,Q287
Q10289,P186,Q11427
Q10289,P186,Q11474
Q93288,P279,Q321839
Q93288,P279,Q49848
Q93288,P1542,Q2648051
Q9128,P2579,Q14620
Q1247368,P31,Q80071
Q954124,P31,Q4830453
Q43229,P527,Q10756188
Q26911,P527,Q850210
Q26911,P527,Q240673
Q26911,P279,Q2995644
Q11422,P366,Q11410
Q4116214,P361,Q43015
Q4116214,P3095,Q326653
Q41263,P279,Q43015
Q179289,P361,Q8078
Q15978655,P460,Q2994387
Q3196,P828,Q133235
Q3196,P1536,Q210064
Q42501,P279,Q79529
Q42501,P1552,Q133235
Q7188,P527,Q35535
Q12823105,P279,Q180516
Q12823105,P361,Q43229
Q5551716,P279,Q240673
Q319608,P279,Q82799
Q1308239,P425,Q601401
Q1308239,P279,Q215627
Q1308239,P2868,Q1148747
Q196751,P361,Q187939
Q1311,P155,Q1314
Q1311,P461,Q1313
Q1311,P279,Q24384
Q1913301,P279,Q235352
Q1400881,P1552,Q6498684
Q250058,P31,Q151885
Q5410500,P461,Q34302
Q5410500,P279,Q34394
Q202875,P279,Q131395
Q289,P279,Q15078788
Q289,P31,Q121359
