entity1,relations,entity2
Q13276,P186,Q11002
Q13276,P186,Q36465
Q13276,P186,Q8495
Q131512,P425,Q11451
Q651658,P279,Q7590
Q601401,P279,Q268592
Q23387,P361,Q5151
Q8161,P279,Q7748
Q182076,P279,Q189539
Q182076,P279,Q3196867
Q170584,P1552,Q4503831
Q170584,P1552,Q327245
Q10870555,P279,Q49848
Q753,P279,Q11426
Q7748,P3095,Q40348
Q194189,P279,Q601401
Q194189,P361,Q601401
Q194189,P3095,Q1762621
Q5151,P361,Q577
Q11247037,P111,Q11423
Q11446,P366,Q7590
Q319224,P1535,Q651658
Q215536,P279,Q43845
Q215536,P425,Q601401
Q189539,P1552,Q309314
Q189539,P1535,Q157470
Q189539,P1535,Q157165
Q1314,P155,Q1313
Q1314,P156,Q1311
Q1314,P279,Q24384
Q1314,P2922,Q110
Q35473,P186,Q11469
Q82799,P279,Q8171
Q82799,P279,Q3695082
Q37507,P186,Q287
Q37507,P279,Q39546
Q897,P279,Q11426
Q11457,P279,Q161
Q218593,P111,Q36253
Q36402,P361,Q575
Q11563,P279,Q309314
Q82794,P1552,Q11500
Q7590,P366,Q61509
Q7590,P279,Q79782
Q551997,P186,Q11427
Q551997,P186,Q753
Q551997,P186,Q663
Q140686,P2389,Q865588
Q878352,P279,Q34394
Q283,P1552,Q1075
Q283,P361,Q2095
Q1420,P618,Q39558
Q1420,P618,Q153
Q1420,P366,Q7590
Q1420,P1542,Q61509
Q10289,P129,Q40050
Q10289,P186,Q287
Q10289,P186,Q11427
Q10289,P186,Q11474
Q93288,P279,Q321839
Q93288,P279,Q49848
Q5283,P186,Q623
Q319608,P279,Q82799
Q1308239,P425,Q601401
Q1308239,P279,Q215627
Q1308239,P2868,Q1148747
Q1311,P155,Q1314
Q1311,P279,Q24384
Q571,P186,Q11472
Q571,P279,Q49848
Q571,P1552,Q482980
Q5551716,P279,Q240673
Q5410500,P279,Q34394
Q1196645,P279,Q215627
Q49845,P279,Q7590
Q193168,P155,Q192630
Q193168,P361,Q11471
Q28823,P186,Q161
Q28823,P366,Q11460
Q12132,P279,Q58778
Q8486,P279,Q40050
Q8486,P495,Q96
Q41487,P361,Q7748
Q192630,P279,Q11471
Q192630,P156,Q193168
Q192630,P361,Q11471
Q3972943,P279,Q268592
Q37017,P361,Q23640
Q41273,P4934,Q11423
Q268592,P279,Q58778
Q30722989,P361,Q23387
Q12147,P2579,Q11190
Q13479587,P279,Q201097
Q557880,P425,Q4290
Q557880,P279,Q43845
Q177923,P279,Q194189
Q11002,P279,Q2095
Q131841,P361,Q9420
Q131841,P279,Q151885
Q780687,P279,Q321839
Q6498684,P828,Q601401
Q1096,P279,Q11426
Q160117,P279,Q43845
Q52389,P1535,Q179073
Q7644488,P279,Q215536
Q29142,P279,Q83267
Q49007,P279,Q28823
Q49007,P186,Q161
Q2748405,P1056,Q11426
Q3589556,P17,Q31
Q3230,P361,Q2
Q3230,P376,Q2
Q287,P1582,Q10884
Q10990,P279,Q2095
Q614806,P279,Q11460
Q7995739,P17,Q43
Q4290,P3095,Q557880
Q11410,P279,Q173799
Q872,P279,Q15078788
Q11423,P1552,Q122508
Q7925,P279,Q11663
Q7925,P1542,Q8068
Q1313,P156,Q1314
Q1313,P279,Q24384
Q39782,P366,Q41207
Q169545,P361,Q446
Q1121708,P279,Q2995644
Q11229,P279,Q3481047
Q80831,P186,Q670
Q80831,P186,Q663
Q80831,P186,Q753
Q3351781,P17,Q33
Q11472,P366,Q735
Q188572,P279,Q42848
Q836925,P279,Q10870555
Q5090,P279,Q12117
Q5090,P279,Q235352
Q10949665,P425,Q181487
Q143873,P279,Q446
Q25288,P4934,Q11423
Q298,P530,Q33
Q298,P530,Q43
Q298,P530,Q77
Q298,P530,Q902
Q298,P530,Q96
Q298,P463,Q41550
Q126793,P279,Q601401
Q525,P398,Q2
Q657014,P740,Q340
Q11460,P186,Q28823
Q11460,P361,Q12684
Q11460,P366,Q12684
Q282,P186,Q10978
Q282,P366,Q40050
Q11451,P279,Q2207288
Q11451,P3095,Q131512
Q191768,P279,Q10990
Q40763,P279,Q2095
Q1370714,P186,Q287
Q190868,P279,Q161928
Q172226,P279,Q39546
Q157171,P279,Q93288
Q10884,P1672,Q287
Q93352,P279,Q468756
Q789774,P279,Q44167
Q870,P366,Q3565868
Q43261,P828,Q207961
Q43193,P366,Q651658
Q290667,P279,Q207961
Q1930187,P279,Q482980
Q1930187,P279,Q28640
Q2785824,P279,Q83267
Q746628,P279,Q180516
Q8016240,P710,Q41487
Q15645384,P279,Q12117
Q15645384,P279,Q2095
Q207326,P361,Q8502
Q81938,P279,Q160402
Q81938,P2176,Q130336
Q40050,P279,Q11435
Q40050,P279,Q2095
Q28813,P279,Q83267
Q35758,P1552,Q11423
Q170544,P366,Q49389
Q11190,P3095,Q39631
Q431289,P279,Q167270
Q61509,P279,Q79782
Q4503831,P279,Q706622
Q12117,P279,Q2995529
Q623,P138,Q24489
Q2308461,P106,Q1930187
Q4821052,P20,Q1794
Q192628,P279,Q10990
Q41803,P111,Q11423
Q3565868,P361,Q7590
Q5113,P1672,Q10990
