entity1,relations,entity2
Q34172,P527,Q127980
Q13276,P186,Q11002
Q13276,P186,Q36465
Q13276,P186,Q8495
Q131512,P425,Q11451
Q131512,P31,Q28640
Q651658,P279,Q7590
Q601401,P279,Q268592
Q601401,P31,Q268592
Q23387,P361,Q5151
Q577,P527,Q5151
Q240673,P31,Q151885
Q8161,P279,Q7748
Q182076,P279,Q189539
Q182076,P279,Q3196867
Q170584,P31,Q151885
Q170584,P1552,Q4503831
Q170584,P1552,Q327245
Q10870555,P279,Q49848
Q753,P279,Q11426
Q3,P527,Q4
Q7748,P3095,Q40348
Q194189,P31,Q151885
Q194189,P279,Q601401
Q194189,P361,Q601401
Q194189,P3095,Q1762621
Q5151,P361,Q577
Q102083,P31,Q28640
Q11247037,P111,Q11423
Q188094,P31,Q28640
Q11446,P366,Q7590
Q508068,P31,Q82799
Q319224,P1535,Q651658
Q215536,P31,Q28640
Q215536,P279,Q43845
Q215536,P425,Q601401
Q189539,P1552,Q309314
Q189539,P1535,Q157470
Q189539,P1535,Q157165
Q1314,P155,Q1313
Q1314,P156,Q1311
Q1314,P279,Q24384
Q1314,P2922,Q110
Q17221,P31,Q28640
Q35473,P186,Q11469
Q82799,P279,Q8171
Q82799,P279,Q3695082
Q37507,P186,Q287
Q37507,P279,Q39546
Q897,P279,Q11426
Q11457,P279,Q161
Q11457,P31,Q161
Q218593,P111,Q36253
Q36402,P361,Q575
Q36402,P31,Q25235
Q1786927,P31,Q23442
Q16502,P31,Q151885
Q11563,P279,Q309314
Q82794,P1552,Q11500
Q7590,P366,Q61509
Q7590,P31,Q268592
Q7590,P279,Q79782
Q551997,P186,Q11427
Q551997,P186,Q753
Q551997,P186,Q663
Q140686,P2389,Q865588
Q878352,P279,Q34394
Q283,P1552,Q1075
Q283,P361,Q2095
Q11427,P527,Q677
Q11427,P527,Q623
Q1420,P527,Q44167
Q1420,P527,Q2207370
Q1420,P618,Q39558
Q1420,P618,Q153
Q1420,P366,Q7590
Q1420,P1542,Q61509
Q2995529,P527,Q12117
Q10289,P129,Q40050
Q10289,P186,Q287
Q10289,P186,Q11427
Q10289,P186,Q11474
Q93288,P279,Q321839
Q93288,P279,Q49848
Q5283,P186,Q623
Q5283,P527,Q623
Q1247368,P31,Q80071
Q319608,P279,Q82799
Q1308239,P425,Q601401
Q1308239,P31,Q28640
Q1308239,P279,Q215627
Q1308239,P2868,Q1148747
Q6430706,P31,Q28640
Q1311,P155,Q1314
Q1311,P279,Q24384
Q571,P186,Q11472
Q571,P279,Q49848
Q571,P1552,Q482980
Q5551716,P279,Q240673
Q5410500,P279,Q34394
Q1196645,P279,Q215627
Q49845,P31,Q268592
Q49845,P279,Q7590
Q193168,P155,Q192630
Q193168,P361,Q11471
Q28823,P186,Q161
Q28823,P366,Q11460
Q12132,P279,Q58778
Q1129100,P31,Q3196867
Q419008,P527,Q623
Q8486,P279,Q40050
Q8486,P495,Q96
Q41487,P361,Q7748
Q192630,P279,Q11471
Q192630,P156,Q193168
Q192630,P361,Q11471
Q3972943,P279,Q268592
Q3972943,P31,Q268592
Q8805,P31,Q151885
Q37017,P527,Q9635
Q37017,P361,Q23640
Q41273,P4934,Q11423
Q22656,P527,Q39558
Q268592,P279,Q58778
Q2835558,P31,Q22687
Q30722989,P361,Q23387
Q12147,P31,Q190258
Q12147,P2579,Q11190
Q13479587,P279,Q201097
Q557880,P425,Q4290
Q557880,P279,Q43845
Q42973,P31,Q28640
Q2827815,P31,Q151885
Q2406150,P31,Q151885
Q177923,P279,Q194189
Q11002,P279,Q2095
Q131841,P361,Q9420
Q131841,P279,Q151885
Q170984,P31,Q80071
Q780687,P279,Q321839
Q820037,P31,Q28640
Q6498684,P828,Q601401
Q1096,P279,Q11426
Q193391,P31,Q28640
Q160117,P31,Q28640
Q160117,P279,Q43845
Q52389,P1535,Q179073
Q7644488,P279,Q215536
Q29142,P279,Q83267
