entity1,relations,entity2
Q23387,P2670,Q573
Q381136,P1382,Q557880
Q1371819,P828,Q309100
Q1369832,P2079,Q39809
Q8495,P462,Q23444
Q8486,P495,Q96
Q22855,P1542,Q192270
Q7725,P155,Q283102
Q283102,P155,Q168182
Q283102,P156,Q7725
Q2920921,P2079,Q309100
Q11247037,P111,Q11423
Q25288,P828,Q11412
Q25288,P4934,Q11423
Q11023,P2578,Q11650
Q11023,P2578,Q12725
Q11023,P2578,Q385378
Q11023,P2283,Q413
Q706622,P1382,Q4503831
Q42962,P1382,Q127980
Q42962,P1382,Q22656
Q39552,P4934,Q11402
Q39552,P4934,Q11500
Q571,P186,Q11472
Q35473,P186,Q11469
Q218593,P111,Q36253
Q2221906,P2579,Q1071
Q7590,P121,Q42889
Q140686,P2389,Q865588
Q344,P155,Q193168
Q2526135,P3712,Q10566551
Q283,P462,Q23444
Q11427,P2079,Q482090
Q11427,P462,Q42519
Q1420,P618,Q39558
Q1420,P618,Q12725
Q1420,P618,Q153
Q1420,P1542,Q61509
Q10289,P129,Q40050
Q10289,P186,Q287
Q10289,P186,Q11427
Q10289,P186,Q11474
Q93288,P1542,Q2648051
Q9128,P2579,Q14620
Q3196,P828,Q133235
Q3196,P1536,Q210064
Q1308239,P2868,Q1148747
Q1311,P155,Q1314
Q178506,P111,Q39297
Q9609,P2789,Q1072
Q551997,P186,Q11427
Q551997,P186,Q753
Q551997,P186,Q663
Q11460,P186,Q28823
Q1314,P155,Q1313
Q1314,P156,Q1311
Q1314,P2922,Q110
Q5265697,P21,Q44148
Q736,P47,Q419
Q736,P530,Q77
Q736,P530,Q833
Q736,P530,Q96
Q736,P122,Q7270
Q385378,P1056,Q41176
Q385378,P1056,Q121359
Q385378,P2579,Q11023
Q708,P462,Q42519
Q41273,P4934,Q11423
Q2835558,P17,Q419
Q13649246,P1382,Q34302
Q3972943,P1056,Q732577
Q398,P530,Q833
Q398,P706,Q7204
Q11402,P4934,Q41273
Q575,P156,Q7722
Q309100,P1056,Q1371819
Q191118,P111,Q11423
Q663,P186,Q102078
Q200266,P1478,Q33767
Q168182,P156,Q283102
Q7722,P155,Q575
Q1072,P2789,Q9609
Q1072,P703,Q729
Q37507,P186,Q287
Q4503831,P1382,Q706622
Q2748405,P1056,Q11426
Q2748405,P2283,Q102798
Q11019,P101,Q11023
Q192270,P437,Q22855
Q192270,P828,Q22855
Q89,P462,Q23444
Q481609,P1382,Q15098235
Q6498684,P828,Q601401
Q3230,P376,Q2
Q287,P1582,Q10884
Q3647770,P2959,Q1416898
Q81292,P111,Q11500
Q11028,P828,Q174984
Q11028,P1542,Q9081
Q7995739,P17,Q43
Q79529,P2579,Q413
Q482090,P1056,Q11427
Q211580,P111,Q11379
Q12147,P2579,Q11190
Q23392,P186,Q283
Q5166129,P1542,Q21255975
Q26540,P397,Q2
Q1370714,P186,Q287
Q1313,P156,Q1314
Q5413454,P17,Q33
Q5413454,P452,Q43015
Q41,P530,Q43
Q41,P530,Q902
Q41,P530,Q928
Q41,P530,Q419
Q41,P530,Q20
Q41,P530,Q96
Q41,P530,Q833
Q41,P530,Q142
Q41,P530,Q298
Q41,P530,Q31
Q41,P530,Q33
Q41,P530,Q35
Q41,P47,Q43
Q41,P463,Q41550
Q9081,P1382,Q46744
Q9081,P1382,Q164359
Q28823,P186,Q161
Q748250,P1382,Q7216332
Q34302,P1382,Q13649246
Q80831,P186,Q670
Q80831,P186,Q663
Q80831,P186,Q753
Q928,P530,Q15180
Q928,P530,Q43
Q928,P530,Q869
Q928,P530,Q35
Q928,P530,Q833
Q928,P530,Q96
Q928,P530,Q298
Q928,P530,Q41
Q928,P530,Q902
Q928,P47,Q833
Q928,P122,Q7270
Q956,P190,Q365
Q956,P190,Q2887
Q515,P3729,Q3957
Q131734,P1056,Q44
Q869095,P1056,Q44
Q2,P397,Q525
Q2,P138,Q36133
Q716894,P2670,Q1400881
Q716894,P1382,Q157171
Q259059,P1382,Q8436
Q48013,P111,Q11423
Q336,P1056,Q9081
Q298,P530,Q142
Q298,P530,Q750
Q298,P530,Q33
Q298,P530,Q35
Q298,P530,Q419
Q298,P530,Q43
Q298,P530,Q77
Q298,P530,Q833
Q298,P530,Q928
Q298,P530,Q41
Q298,P530,Q902
Q298,P530,Q96
Q298,P36,Q2887
Q298,P47,Q750
Q298,P47,Q419
Q298,P463,Q41550
Q177,P1419,Q17278
Q192630,P156,Q193168
Q8068,P828,Q7925
Q8068,P1542,Q4
Q7925,P1542,Q8068
Q218038,P452,Q11650
Q15098235,P1382,Q481609
Q15180,P463,Q191582
Q15180,P47,Q33
Q15180,P47,Q43
Q15180,P530,Q35
Q15180,P530,Q20
Q15180,P530,Q43
Q15180,P530,Q928
Q15180,P530,Q833
Q15180,P138,Q7270
Q186619,P3712,Q1231428
Q603253,P1454,Q658255
Q282,P462,Q23444
Q193078,P828,Q171558
Q12200,P495,Q142
Q35852,P111,Q11500
Q10884,P2670,Q2923673
Q10884,P2670,Q33971
Q10884,P1672,Q287
Q2844,P190,Q2887
Q164359,P1382,Q46744
Q164359,P1382,Q9081
Q2138622,P2578,Q2095
Q6097,P186,Q11002
Q6097,P186,Q283
Q13360264,P2079,Q720398
Q8016240,P710,Q41487
Q7216332,P1382,Q748250
Q7958,P3712,Q46744
Q1634657,P106,Q193391
Q5283,P186,Q623
Q7944,P1542,Q167903
Q7944,P1542,Q3839081
Q7561,P462,Q23444
Q179723,P2283,Q729
Q179723,P2283,Q5
Q12187,P138,Q3
Q830,P1672,Q192628
Q5,P2670,Q215627
Q174984,P1542,Q11028
Q28575,P150,Q515
Q623,P138,Q24489
Q192628,P1582,Q830
Q96,P463,Q41550
Q96,P463,Q182000
Q96,P530,Q20
Q96,P530,Q419
Q96,P530,Q43
Q96,P530,Q730
Q96,P530,Q77
Q96,P530,Q869
Q96,P530,Q928
Q96,P530,Q142
Q96,P530,Q31
Q96,P530,Q35
Q96,P530,Q33
Q96,P530,Q833
Q96,P530,Q736
Q96,P530,Q750
Q96,P530,Q41
Q96,P530,Q902
Q96,P530,Q298
Q8425,P2670,Q5
Q584,P17,Q142
Q584,P205,Q142
Q1123823,P17,Q33
Q525,P398,Q2
Q41803,P111,Q11423
Q828224,P111,Q36253
Q1282130,P1056,Q22656
Q1041750,P452,Q869095
Q1041750,P1056,Q44
Q171558,P1542,Q193078
Q171558,P1542,Q4
Q5113,P1672,Q10990
Q193168,P156,Q344
Q193168,P155,Q192630
Q482798,P111,Q36253
