entity1,relation,entity2
Q1323314,P910,Q8286060
Q1323314,P279,Q987767
Q1323314,P279,Q1065579
Q1323314,P1889,Q10859821
Q1323314,P1889,Q6675561
Q34172,P279,Q185217
Q34172,P279,Q26869352
Q34172,P279,Q26882158
Q34172,P279,Q912613
Q34172,P910,Q7214336
Q34172,P31,Q25403900
Q34172,P1343,Q2657718
Q34172,P1343,Q1138524
Q34172,P2079,Q2916087
Q34172,P366,Q1472481
Q34172,P1889,Q16701410
Q34172,P527,Q127980
Q13276,P186,Q11002
Q13276,P186,Q36465
Q13276,P186,Q8495
Q13276,P279,Q5159627
Q13276,P910,Q7214152
Q13276,P1889,Q1142483
Q13276,P1889,Q13270
Q13276,P1889,Q189085
Q13276,P1889,Q130186
Q409924,P31,Q4167410
Q235352,P279,Q1362373
Q235352,P366,Q3198719
Q235352,P910,Q13784641
Q235352,P1889,Q878333
Q235352,P460,Q11827455
Q926028,P562,Q806186
Q926028,P31,Q8142
Q926028,P17,Q155
Q926028,P155,Q10261894
Q926028,P156,Q1764812
Q926028,P176,Q5047900
Q926028,P279,Q32361
Q1209305,P31,Q4167410
Q16220058,P31,Q4167410
Q16220058,P1889,Q37465548
Q16220058,P1889,Q5375804
Q16220058,P460,Q236597
Q182722,P910,Q8432068
Q182722,P31,Q218005
Q182722,P461,Q62955
Q182722,P1687,P2135
Q182722,P1343,Q63284758
Q131512,P425,Q11451
Q131512,P417,Q43982
Q131512,P417,Q44265
Q131512,P417,Q151967
Q131512,P417,Q166876
Q131512,P417,Q119289
Q131512,P417,Q9020114
Q131512,P417,Q379685
Q131512,P1889,Q838811
Q131512,P1889,Q1781198
Q131512,P1889,Q24058676
Q131512,P1889,Q43184282
Q131512,P1889,Q55630100
Q131512,P1889,Q5060555
Q131512,P279,Q19261760
Q131512,P279,Q3485549
Q131512,P910,Q6996908
Q131512,P31,Q28640
Q33767,P279,Q17781690
Q33767,P279,Q26962795
Q33767,P361,Q24517852
Q33767,P527,Q620207
Q33767,P527,Q2001588
Q33767,P527,Q228027
Q33767,P527,Q192298
Q33767,P527,Q184848
Q33767,P527,Q167131
Q33767,P527,Q83360
Q33767,P527,Q232377
Q33767,P527,Q237229
Q33767,P527,Q66516289
Q33767,P910,Q7237891
Q33767,P2289,Q3324393
Q33767,P2286,Q599817
Q33767,P2789,Q228537
Q33767,P1552,Q3085221
Q33767,P1343,Q602358
Q33767,P1343,Q1768721
Q33767,P3190,Q254580
Q33767,P3190,Q1364876
Q33767,P3190,Q1365325
Q251898,P31,Q4167410
Q251898,P1889,Q1046315
Q251898,P1889,Q37491373
Q246639,P31,Q4167410
Q414241,P31,Q4167410
Q414241,P1889,Q37017525
Q672154,P31,Q4167410
Q672154,P1343,Q2041543
Q44782,P279,Q2516121
Q44782,P279,Q13226383
Q44782,P1424,Q5963628
Q44782,P910,Q5902907
Q44782,P1889,Q283202
Q44782,P1343,Q65109596
Q44782,P1343,Q4532138
Q160151,P279,Q1499548
Q160151,P279,Q30242023
Q160151,P279,Q39875001
Q160151,P1343,Q2657718
Q160151,P1687,P2284
Q1314879,P31,Q4167410
Q29947926,P31,Q101352
Q29947926,P31,Q829026
Q29947926,P31,Q1714800
Q29947926,P1889,Q1499550
Q29947926,P282,Q8229
Q29947926,P407,Q188
Q29947926,P460,Q1399621
Q29947926,P460,Q37431343
Q6495050,P31,Q4167410
Q6495050,P1889,Q33616444
Q6495050,P1889,Q16882531
Q24384,P279,Q186081
Q24384,P910,Q7149644
Q24384,P1424,Q10723731
Q24384,P460,Q7065142
Q24384,P460,Q20852192
Q651658,P910,Q8970901
Q651658,P279,Q7590
Q651658,P279,Q1724915
Q651658,P279,Q8187769
Q651658,P1889,Q349613
Q651658,P361,Q159810
Q360797,P31,Q4167410
Q360797,P1889,Q33545594
Q360797,P1889,Q1754082
Q601401,P1151,Q15218281
Q601401,P279,Q21651837
Q601401,P279,Q268592
Q601401,P910,Q7884060
Q601401,P361,Q159810
Q601401,P361,Q37654
Q601401,P1343,Q2041543
Q601401,P1343,Q602358
Q601401,P1343,Q30059240
Q601401,P31,Q268592
Q601401,P460,Q26643
Q601401,P527,Q7832052
Q601401,P3095,Q3704253
Q601401,P1382,Q64534006
Q601401,P1889,Q1411457
Q601401,P2579,Q8134
Q601401,P2579,Q97008347
Q419329,P31,Q4167410
Q419329,P1889,Q37152136
Q23387,P31,Q1790144
Q23387,P31,Q82047057
Q23387,P910,Q5915079
Q23387,P111,Q2199864
Q23387,P279,Q29441572
Q23387,P2670,Q573
Q23387,P2670,Q41825
Q23387,P2670,Q19906285
Q23387,P2670,Q211391
Q23387,P361,Q5151
