doc,wikiID
0,Q268146
0,Q3916071
0,Q783794
0,Q3708947
0,Q1660986
0,Q2761147
0,Q399476
0,Q381136
0,Q1196314
1,Q783794
1,Q399476
1,Q1196314
1,Q5121762
1,Q68
1,Q417488
1,Q240673
1,Q3705086
1,Q353294
1,Q1235072
1,Q5879690
1,Q400416
1,Q6543058
1,Q1277907
1,Q209577
1,Q1371819
1,Q160151
1,Q10953985
1,Q95124485
1,Q1369832
1,Q1728583
1,Q780687
1,Q6495050
1,Q58778
1,Q11016
1,Q210481
1,Q454839
1,Q11471
1,Q452800
1,Q577
2,Q577
2,Q46737
2,Q225590
2,Q764844
2,Q424707
2,Q189539
2,Q29947926
2,Q8161
3,Q225590
3,Q181201
3,Q1692143
3,Q2002118
3,Q1148747
3,Q672154
3,Q2112047
3,Q2995644
4,Q29947926
5,Q783794
5,Q399476
5,Q6495050
5,Q577
5,Q420708
5,Q5669212
5,Q444986
5,Q637776
5,Q5326939
5,Q252022
5,Q2095
5,Q21255975
5,Q15878761
5,Q35140
5,Q170584
5,Q6502279
5,Q1437134
5,Q438399
5,Q11004
6,Q783794
6,Q3708947
6,Q1660986
6,Q399476
6,Q1196314
6,Q209577
6,Q6495050
6,Q577
6,Q29947926
6,Q8161
6,Q181201
6,Q2112047
6,Q5326939
6,Q1437134
6,Q9705
6,Q8805
6,Q693464
6,Q77076
6,Q3679160
6,Q8961886
6,Q1624408
6,Q5151
6,Q398496
6,Q350108
6,Q346589
6,Q178354
6,Q399857
6,Q1376796
6,Q233272
6,Q348420
6,Q219266
7,Q225590
7,Q181201
7,Q1692143
7,Q2112047
7,Q415967
7,Q381136
8,Q577
8,Q29947926
8,Q2002118
8,Q672154
8,Q2995644
8,Q21255975
8,Q41441174
8,Q4830453
8,Q3
9,Q181201
9,Q564046
10,Q381136
10,Q68
10,Q577
10,Q225590
10,Q181201
10,Q1692143
10,Q2112047
10,Q315
11,Q6495050
11,Q577
12,Q1660986
12,Q2761147
12,Q399476
12,Q381136
12,Q417488
12,Q577
12,Q46737
12,Q29947926
12,Q5326939
12,Q346589
12,Q159810
12,Q353342
12,Q233646
12,Q170924
13,Q399476
13,Q225590
13,Q8161
13,Q1692143
13,Q2112047
13,Q77076
13,Q5151
14,Q783794
14,Q2761147
14,Q399476
14,Q1196314
14,Q160151
14,Q58778
14,Q11471
14,Q577
14,Q29947926
14,Q2112047
14,Q5669212
14,Q1437134
14,Q693464
14,Q8961886
14,Q346589
14,Q348420
14,Q233646
14,Q283102
14,Q16252522
14,Q294834
14,Q343634
14,Q575724
14,Q342078
14,Q3276328
14,Q969439
14,Q394963
14,Q852835
14,Q225802
14,Q14083
14,Q1107656
14,Q33767
14,Q341678
14,Q102083
14,Q207766
14,Q2920921
14,Q599151
14,Q411189
14,Q7315582
14,Q253980
14,Q1456029
14,Q180210
14,Q230266
14,Q43016
14,Q45701
15,Q1371819
15,Q160151
15,Q577
15,Q29947926
15,Q1148747
15,Q5151
15,Q346589
15,Q159810
15,Q342078
15,Q231010
15,Q1062856
15,Q22687
15,Q6256
15,Q235962
15,Q381072
15,Q8142
15,Q3196867
15,Q188094
15,Q182722
15,Q1292638
15,Q62955
15,Q35865
15,Q7318167
15,Q232576
15,Q1337691
15,Q342306
15,Q3505433
15,Q230479
15,Q601401
15,Q5189153
16,Q209577
16,Q11471
16,Q29947926
16,Q348420
16,Q232353
16,Q4839689
16,Q12284
16,Q573
16,Q16220058
16,Q659
16,Q11446
16,Q1050314
16,Q397392
16,Q228647
16,Q6661273
16,Q534423
17,Q225590
17,Q424707
17,Q29947926
17,Q225802
17,Q16831479
17,Q1527264
17,Q1210094
17,Q1487317
18,Q29947926
18,Q181201
19,Q3916071
19,Q399476
19,Q95124485
19,Q577
19,Q225590
19,Q1692143
19,Q672154
19,Q2112047
19,Q444986
19,Q1437134
19,Q5151
19,Q14083
19,Q5189153
19,Q5249503
19,Q340724
19,Q16278392
19,Q11023
19,Q13516686
19,Q1387137
19,Q209577
19,Q2029226
19,Q1115199
19,Q233964
19,Q42240
19,Q850210
19,Q658255
20,Q3705086
20,Q29947926
20,Q346589
20,Q348420
20,Q342078
20,Q11446
20,Q16518
20,Q407264
20,Q1720648
20,Q3053309
20,Q4402708
20,Q319224
20,Q251898
20,Q11229
20,Q4166892
20,Q1603129
20,Q362310
20,Q23387
20,Q240734
21,Q209577
21,Q210481
21,Q29947926
21,Q1692143
21,Q1437134
21,Q399857
21,Q1487317
21,Q250434
21,Q949618
21,Q279242
23,Q399476
23,Q6495050
23,Q225590
23,Q424707
23,Q29947926
23,Q16877945
23,Q398902
23,Q183366
24,Q783794
24,Q58778
24,Q6661273
24,Q362023
24,Q11379
24,Q11432
24,Q654302
24,Q8148
24,Q42962
24,Q1364904
24,Q39552
24,Q229289
24,Q226601
24,Q466707
25,Q225590
25,Q29947926
25,Q181201
25,Q399857
25,Q110
26,Q783794
26,Q399476
26,Q577
26,Q424707
26,Q420708
26,Q309314
26,Q416020
26,Q731112
27,Q577
27,Q29947926
27,Q181201
27,Q2002118
27,Q346589
27,Q14083
27,Q210804
27,Q351631
27,Q126017
27,Q227737
27,Q82799
27,Q244696
27,Q11035
28,Q399476
28,Q209577
28,Q225590
28,Q29947926
28,Q181201
28,Q2002118
28,Q672154
28,Q399857
28,Q16831479
29,Q29947926
29,Q399857
29,Q298971
30,Q225590
30,Q181201
31,Q1660986
31,Q399857
32,Q225590
32,Q29947926
32,Q564046
33,Q399476
33,Q225590
33,Q424707
33,Q29947926
33,Q2002118
33,Q2995644
33,Q1487317
34,Q399476
34,Q1196314
34,Q128430
34,Q783794
34,Q4290
34,Q2082178
35,Q577
35,Q225590
35,Q1692143
35,Q2112047
35,Q224006
36,Q29947926
36,Q399857
36,Q110
37,Q3916071
37,Q783794
37,Q1196314
37,Q1277907
37,Q1371819
37,Q577
37,Q46737
37,Q29947926
37,Q8161
37,Q181201
37,Q2112047
37,Q420708
37,Q5669212
37,Q5326939
37,Q35140
37,Q693464
37,Q4830453
37,Q233646
37,Q16252522
37,Q2920921
37,Q599151
37,Q232576
37,Q5189153
37,Q16278392
37,Q209577
37,Q11229
37,Q240734
37,Q783794
37,Q20655516
37,Q241636
37,Q41650356
37,Q446964
37,Q160117
37,Q62207
37,Q140686
37,Q226455
37,Q10953930
37,Q226635
37,Q5378767
37,Q210027
37,Q188572
37,Q344
37,Q1178576
37,Q3222002
37,Q340812
37,Q6016699
37,Q297869
37,Q61022630
37,Q397164
37,Q2873063
37,Q414241
37,Q1794067
37,Q299964
37,Q343238
37,Q63532478
37,Q3207383
37,Q34442
37,Q878352
37,Q2526135
37,Q1247670
37,Q194189
37,Q173253
37,Q229949
37,Q283308
37,Q202069
37,Q3984436
37,Q352850
37,Q39297
37,Q283
37,Q414987
38,Q399476
38,Q381136
38,Q209577
38,Q225590
38,Q29947926
38,Q181201
38,Q672154
38,Q346589
38,Q16831479
39,Q783794
39,Q1660986
39,Q417488
39,Q160151
39,Q95124485
39,Q6495050
39,Q577
39,Q424707
39,Q29947926
39,Q2112047
39,Q2995644
39,Q5326939
39,Q21255975
39,Q1437134
39,Q233646
39,Q14083
39,Q5189153
39,Q850210
39,Q4402708
39,Q251898
39,Q39552
39,Q2934264
39,Q11427
40,Q95124485
40,Q577
40,Q23387
40,Q1420
40,Q2995529
40,Q4761205
40,Q3565868
41,Q783794
41,Q399476
41,Q1196314
41,Q5151
41,Q353342
41,Q783794
41,Q4290
41,Q2082178
41,Q706622
41,Q8037623
42,Q1692143
42,Q2112047
43,Q783794
43,Q1277907
43,Q160151
43,Q95124485
43,Q29947926
43,Q15878761
43,Q348420
43,Q573
43,Q42962
43,Q10289
43,Q93288
43,Q226771
43,Q9128
43,Q225229
43,Q1247368
43,Q17221
44,Q399476
44,Q381136
44,Q1196314
44,Q29947926
44,Q658255
44,Q3984436
45,Q1196314
45,Q233272
46,Q783794
46,Q399476
46,Q95124485
46,Q6495050
46,Q577
46,Q29947926
46,Q1692143
46,Q2112047
46,Q2995644
46,Q420708
46,Q5669212
46,Q5326939
46,Q5151
46,Q1456029
46,Q5249503
46,Q1387137
46,Q209577
46,Q8148
46,Q954124
46,Q43229
46,Q26911
46,Q264890
46,Q224088
46,Q11422
47,Q209577
47,Q6495050
47,Q29947926
47,Q41441174
47,Q1487317
47,Q658255
47,Q250434
47,Q5135431
47,Q367026
48,Q399476
48,Q209577
48,Q1371819
48,Q2920921
48,Q654302
48,Q783794
48,Q4290
48,Q226455
48,Q27939
49,Q1660986
49,Q240673
49,Q400416
49,Q189539
49,Q29947926
49,Q1148747
49,Q252022
49,Q693464
49,Q2920921
49,Q599151
49,Q8148
49,Q2934264
49,Q2995529
49,Q4116214
49,Q304157
49,Q217602
49,Q41263
49,Q179289
49,Q344507
49,Q19689241
49,Q5249659
49,Q253338
49,Q3196
49,Q42501
49,Q7188
49,Q12823105
49,Q768396
49,Q10870555
49,Q1906515
49,Q224772
49,Q340383
50,Q577
50,Q225590
50,Q1692143
50,Q2112047
50,Q23387
51,Q181201
51,Q399857
52,Q29947926
52,Q1692143
52,Q16877945
52,Q11432
52,Q42962
52,Q416020
52,Q5551716
53,Q577
53,Q672154
54,Q225590
54,Q399857
55,Q783794
55,Q2761147
55,Q417488
55,Q1277907
55,Q160151
55,Q29947926
55,Q5669212
55,Q1437134
55,Q5151
55,Q4402708
55,Q362310
55,Q23387
55,Q8148
55,Q42962
55,Q20655516
55,Q62207
55,Q414987
55,Q224772
55,Q319608
55,Q1903435
55,Q342425
55,Q19671913
55,Q437587
55,Q1308239
55,Q417861
55,Q196751
55,Q241623
55,Q5070802
55,Q342787
55,Q660064
55,Q178651
55,Q1247982
55,Q2920921
55,Q3326911
55,Q485446
55,Q2042052
55,Q321839
55,Q423044
55,Q730920
55,Q663143
55,Q7445743
55,Q365096
55,Q347599
55,Q11827939
55,Q1311
55,Q16502
56,Q783794
56,Q399476
56,Q160151
56,Q577
56,Q225590
56,Q29947926
56,Q1692143
56,Q2112047
56,Q2995644
56,Q1437134
56,Q5151
56,Q5189153
56,Q1527264
56,Q850210
56,Q11432
56,Q42962
56,Q41650356
56,Q10289
56,Q5551716
56,Q571
56,Q15807
56,Q1913301
56,Q1400881
56,Q253054
57,Q783794
57,Q1660986
57,Q2761147
57,Q399476
57,Q381136
57,Q1196314
57,Q225590
57,Q29947926
57,Q181201
57,Q233272
57,Q564046
57,Q367026
57,Q4781747
58,Q783794
58,Q399476
58,Q381136
58,Q1371819
58,Q1369832
58,Q11471
58,Q225590
58,Q29947926
58,Q181201
58,Q350108
58,Q309314
58,Q1378829
58,Q250058
58,Q7231827
59,Q577
59,Q225590
59,Q1692143
59,Q2112047
59,Q415967
60,Q225590
60,Q399857
60,Q564046
61,Q783794
61,Q1196314
61,Q417488
61,Q1277907
61,Q1371819
61,Q29947926
61,Q4290
61,Q2082178
61,Q706622
61,Q417861
61,Q1411242
62,Q783794
62,Q417488
62,Q1369832
62,Q29947926
62,Q2082178
62,Q253338
62,Q7188
62,Q408711
62,Q5410500
63,Q399476
63,Q6495050
63,Q424707
63,Q2002118
63,Q16877945
63,Q398902
63,Q183366
64,Q29947926
64,Q294834
64,Q4781747
65,Q225590
65,Q181201
65,Q399857
66,Q399476
66,Q424707
66,Q16903610
67,Q225590
67,Q181201
67,Q399857
68,Q181201
69,Q399476
69,Q225590
69,Q424707
69,Q29947926
69,Q8161
69,Q2995644
69,Q1527264
69,Q225229
70,Q6495050
70,Q577
70,Q424707
70,Q29947926
70,Q1487317
70,Q16278392
70,Q949618
70,Q10870555
70,Q1184933
71,Q424707
71,Q8161
71,Q2002118
73,Q29947926
73,Q1487317
73,Q16278392
73,Q3984436
73,Q779859
73,Q211364
74,Q783794
74,Q95124485
74,Q29947926
75,Q399476
75,Q424707
75,Q29947926
75,Q2002118
75,Q2995644
76,Q160151
77,Q783794
77,Q160151
77,Q348420
77,Q564046
77,Q42962
77,Q93288
77,Q5249659
77,Q1196645
77,Q1541208
77,Q367026
78,Q783794
78,Q160151
78,Q348420
78,Q564046
78,Q42962
78,Q210804
78,Q93288
78,Q5249659
78,Q1541208
78,Q367026
78,Q178506
78,Q5189833
78,Q40244
79,Q29947926
80,Q268146
80,Q399476
80,Q1196314
80,Q58778
80,Q2112047
80,Q1624408
80,Q850210
80,Q416020
80,Q474704
80,Q6739267
81,Q49845
82,Q1196314
82,Q225590
82,Q1692143
82,Q2002118
82,Q2112047
82,Q233272
83,Q209577
83,Q577
83,Q225590
83,Q29947926
83,Q1692143
83,Q2002118
83,Q2112047
83,Q415967
83,Q42848
83,Q7096561
84,Q577
84,Q29947926
84,Q693464
84,Q225802
84,Q5189153
84,Q850210
84,Q5249659
84,Q340383
84,Q253054
84,Q81096
84,Q791801
84,Q22656
85,Q225590
85,Q29947926
85,Q1692143
85,Q2002118
85,Q2112047
85,Q77076
85,Q7303272
85,Q11707
86,Q268146
86,Q783794
86,Q1660986
86,Q399476
86,Q381136
86,Q1196314
86,Q1371819
86,Q225590
86,Q181201
86,Q420708
86,Q693464
86,Q233272
86,Q225802
86,Q3196867
86,Q706622
86,Q43015
86,Q96389934
87,Q1277907
87,Q58778
87,Q577
87,Q29947926
87,Q346589
87,Q399857
87,Q159810
87,Q170924
87,Q575724
87,Q599151
87,Q16831479
87,Q11229
87,Q4166892
87,Q297869
87,Q414241
87,Q3984436
87,Q7188
87,Q224772
87,Q342425
87,Q321839
87,Q730920
87,Q43015
87,Q22687
87,Q615806
87,Q683365
87,Q409814
87,Q167037
87,Q11034548
87,Q20659690
87,Q10948641
87,Q5265697
87,Q218846
87,Q5464688
87,Q178706
87,Q1387137
87,Q189539
87,Q2472587
87,Q7315710
87,Q319622
87,Q15622206
87,Q95377384
88,Q577
88,Q346589
88,Q170924
88,Q11229
88,Q4166892
88,Q3984436
88,Q19689241
88,Q1247982
88,Q11034548
88,Q10756188
89,Q783794
89,Q2761147
89,Q399476
89,Q1277907
89,Q1371819
89,Q160151
89,Q577
89,Q29947926
89,Q5669212
89,Q5151
89,Q348420
89,Q225802
89,Q14083
89,Q6256
89,Q3196867
89,Q342306
89,Q251898
89,Q23387
89,Q362023
89,Q8148
89,Q42962
89,Q39552
89,Q202069
89,Q10289
89,Q10870555
89,Q224772
89,Q437587
89,Q1308239
89,Q663143
89,Q16502
89,Q5189833
89,Q615806
89,Q6554155
89,Q2257515
89,Q736
89,Q346146
89,Q39809
89,Q7602551
89,Q6266
89,Q20830730
89,Q395712
89,Q43229
89,Q1156854
89,Q27887
89,Q970793
89,Q121769
89,Q682483
89,Q265158
89,Q3236990
89,Q3536375
89,Q633403
90,Q160151
90,Q577
90,Q1148747
90,Q5326939
90,Q21255975
90,Q35140
90,Q5151
90,Q398496
90,Q350108
90,Q346589
90,Q159810
90,Q233646
90,Q599151
90,Q6256
90,Q8142
90,Q182722
90,Q62955
90,Q601401
90,Q5249503
90,Q850210
90,Q4402708
90,Q251898
90,Q654302
90,Q8148
90,Q42962
90,Q39552
90,Q4290
90,Q241636
90,Q226455
90,Q11427
90,Q7188
90,Q10870555
90,Q16502
90,Q22656
90,Q22687
90,Q189539
90,Q15622206
90,Q7602551
90,Q27887
90,Q2994387
90,Q11451
90,Q11500
90,Q1911050
90,Q12132
90,Q215044
90,Q317088
90,Q385378
90,Q1128903
90,Q247144
90,Q902410
90,Q344762
90,Q40231
90,Q213283
90,Q1314
90,Q451942
90,Q708
90,Q11052334
90,Q41273
90,Q43637
90,Q756
90,Q11474
90,Q900406
90,Q16869132
90,Q343228
90,Q227911
90,Q2917506
90,Q235028
90,Q340406
91,Q1277907
91,Q160151
91,Q764844
91,Q29947926
91,Q5151
91,Q346589
91,Q14083
91,Q5249503
91,Q251898
91,Q1603129
91,Q23387
91,Q240734
91,Q8148
91,Q42962
91,Q241636
91,Q299964
91,Q224772
91,Q2257515
91,Q7602551
91,Q27887
91,Q3536375
91,Q2835558
91,Q1799745
91,Q5483798
91,Q250827
91,Q601401
91,Q13649246
91,Q30722989
92,Q1371819
92,Q160151
92,Q577
92,Q29947926
92,Q672154
92,Q170584
92,Q5151
92,Q348420
92,Q1456029
92,Q6256
92,Q573
92,Q5249503
92,Q13516686
92,Q2029226
92,Q850210
92,Q8148
92,Q42962
92,Q227737
92,Q2526135
92,Q283
92,Q10289
92,Q41263
92,Q7188
92,Q2042052
92,Q16502
92,Q253054
92,Q791801
92,Q178706
92,Q7602551
92,Q970793
92,Q11451
92,Q5483798
92,Q13649246
92,Q343527
92,Q41176
92,Q221706
92,Q11024
92,Q10264721
92,Q2682765
92,Q11681054
92,Q21168708
92,Q8434
92,Q12725
