doc,relation,idf
0,P279,0.46402725703381137
0,P460,0.7876497637018617
0,P31,0.9873660784845858
0,P1382,1.6337071067297328
1,P279,1.8561090281352455
1,P460,0.7876497637018617
1,P527,1.7122215928922886
1,P361,1.1307898413175381
1,P31,1.9747321569691716
1,P180,2.693689387641009
1,P1889,1.215857939421847
1,P828,2.371913103846252
1,P2079,2.5654707339071328
1,P461,1.6907084607295597
2,P527,0.8561107964461443
2,P279,0.9280545140676227
2,P1552,1.9618033055487631
2,P1535,5.260470538569126
3,P1269,1.79960880309251
3,P31,0.9873660784845858
5,P279,1.8561090281352455
5,P460,0.7876497637018617
5,P527,1.7122215928922886
5,P461,1.6907084607295597
5,P31,0.9873660784845858
5,P1552,3.9236066110975263
6,P279,1.3920817711014342
6,P460,0.7876497637018617
6,P527,0.8561107964461443
6,P31,0.9873660784845858
6,P361,1.1307898413175381
7,P31,0.9873660784845858
7,P1382,1.6337071067297328
8,P527,1.7122215928922886
8,P1269,1.79960880309251
8,P31,0.9873660784845858
8,P461,3.3814169214591194
8,P460,0.7876497637018617
8,P279,0.46402725703381137
10,P31,0.9873660784845858
10,P1382,1.6337071067297328
10,P527,1.7122215928922886
10,P361,1.1307898413175381
10,P1552,1.9618033055487631
11,P527,0.8561107964461443
12,P31,0.9873660784845858
12,P1382,1.6337071067297328
12,P527,0.8561107964461443
12,P279,0.46402725703381137
13,P279,0.46402725703381137
13,P361,1.1307898413175381
14,P279,2.320136285169057
14,P460,1.5752995274037234
14,P527,0.8561107964461443
14,P155,3.293104090538247
14,P461,1.6907084607295597
14,P361,1.1307898413175381
14,P156,3.5250582715346117
14,P31,1.9747321569691716
14,P1269,3.59921760618502
14,P2079,2.5654707339071328
15,P180,2.693689387641009
15,P1889,3.647573818265541
15,P828,2.371913103846252
15,P527,1.7122215928922886
15,P361,2.2615796826350762
15,P279,1.3920817711014342
15,P461,3.3814169214591194
15,P1269,1.79960880309251
15,P460,1.5752995274037234
16,P527,1.7122215928922886
16,P361,1.1307898413175381
16,P461,5.072125382188679
16,P1889,2.431715878843694
16,P366,2.411804432873554
17,P279,0.46402725703381137
19,P527,0.8561107964461443
19,P361,2.2615796826350762
19,P1269,1.79960880309251
19,P279,1.3920817711014342
19,P460,0.7876497637018617
19,P3095,2.216964657722196
19,P2578,16.347257128021255
19,P2283,5.1843931551133355
19,P31,1.9747321569691716
19,P1889,1.215857939421847
20,P366,2.411804432873554
20,P1889,1.215857939421847
20,P279,0.9280545140676227
20,P1535,2.630235269284563
20,P2670,2.697550396298469
20,P361,1.1307898413175381
20,P460,0.7876497637018617
24,P279,0.9280545140676227
24,P460,1.5752995274037234
24,P1552,1.9618033055487631
24,P527,2.568332389338433
24,P1889,2.431715878843694
24,P1382,3.2674142134594657
24,P4934,7.284576725495644
26,P279,0.46402725703381137
26,P460,0.7876497637018617
26,P527,1.7122215928922886
26,P1269,1.79960880309251
27,P527,0.8561107964461443
27,P1269,1.79960880309251
27,P279,2.7841635422028683
27,P361,1.1307898413175381
33,P1269,1.79960880309251
33,P31,0.9873660784845858
34,P279,1.3920817711014342
34,P460,0.7876497637018617
34,P3095,2.216964657722196
35,P527,0.8561107964461443
37,P279,5.104299827371925
37,P460,3.9382488185093085
37,P180,2.693689387641009
37,P1889,3.647573818265541
37,P828,2.371913103846252
37,P527,0.8561107964461443
