word,wikiID
board,Q268146
capital,Q3916071
company,Q783794
director,Q3708947
increase,Q1660986
meeting,Q2761147
share,Q399476
shareholder,Q381136
stock,Q1196314
circumstance,Q5121762
computer,Q68
condition,Q417488
cost,Q240673
delivery,Q3705086
dlrs,-1
dot,Q353294
form,Q1235072
holding,Q5879690
impact,Q400416
licensee,Q6543058
market,Q1277907
operation,Q209577
plan,Q1371819
price,Q160151
printer,Q10953985
product,Q95124485
purchase,Q1369832
reorganization,Q1728583
right,Q780687
sale,Q6495050
system,Q58778
technology,Q11016
terminal,Q210481
ticket,Q454839
time,Q11471
warrant,Q452800
year,Q577
asset,Q46737
ct,Q225590
deposit,Q764844
gain,Q424707
loan,Q189539
reuter,Q29947926
shr,-1
tax,Q8161
carryforward,-1
cts,-1
dividend,Q181201
loss,Q1692143
mth,-1
note,Q2002118
payment,Q1148747
period,Q672154
profit,Q2112047
result,Q2995644
acquisition,Q420708
analyst,Q5669212
benefit,Q444986
dairy,Q637776
earning,Q5326939
effect,Q252022
food,Q2095
improvement,Q21255975
line,Q15878761
performance,Q35140
project,Q170584
projection,Q6502279
quarter,Q1437134
range,Q438399
vegetable,Q11004
b,Q9705
bit,Q8805
cash,Q693464
charge,Q77076
class,Q3679160
flow,Q8961886
holder,Q1624408
month,Q5151
outlook,Q398496
pct,Q350108
rate,Q346589
reason,Q178354
record,Q399857
restructuring,Q1376796
split,Q233272
today,Q348420
up,Q219266
revs,Q415967
stockholder,Q381136
adjustment,Q41441174
business,Q4830453
life,Q3
pay,Q564046
language,Q315
economy,Q159810
equity,Q353342
growth,Q233646
interest,Q170924
afternoon,Q283102
announcement,Q16252522
application,Q294834
attack,Q343634
base,Q575724
bid,Q342078
bidder,Q3276328
care,Q969439
contact,Q394963
customer,Q852835
distribution,Q225802
dollar,Q14083
garden,Q1107656
hand,Q33767
inc,Q341678
knight,Q102083
lawn,Q207766
management,Q2920921
official,Q599151
opening,Q411189
resist,Q7315582
snyder,Q253980
statement,Q1456029
surprise,Q180210
tender,Q230266
thousand,Q43016
waste,Q45701
account,Q231010
anniversary,Q1062856
bank,Q22687
country,Q6256
cover,Q235962
crisis,Q381072
currency,Q8142
debt,Q3196867
economist,Q188094
export,Q182722
halt,Q1292638
import,Q62955
inflation,Q35865
reversal,Q7318167
service,Q232576
shortage,Q1337691
situation,Q342306
surplus,Q3505433
target,Q230479
trade,Q601401
value,Q5189153
agency,Q232353
backlog,Q4839689
canal,Q12284
day,Q573
end,Q16220058
north,Q659
ship,Q11446
tanker,Q1050314
tomorrow,Q397392
transit,Q228647
vessel,Q6661273
waiting,Q534423
fund,Q16831479
income,Q1527264
mortgage,Q1210094
payout,-1
unit,Q1487317
decline,Q5249503
development,Q340724
division,Q16278392
engineering,Q11023
expenditure,Q13516686
introduction,Q1387137
operating,Q209577
order,Q2029226
pace,Q1115199
prospect,Q233964
research,Q42240
revenue,Q850210
subsidiary,Q658255
barge,Q16518
call,Q407264
comparison,Q1720648
dealer,Q3053309
demand,Q4402708
freight,Q319224
level,Q251898
percentage,Q11229
point,Q4166892
quote,Q1603129
session,Q362310
week,Q23387
yesterday,Q240734
pipeline,Q250434
taxis,Q949618
transaction,Q279242
net,Q16877945
power,Q398902
territory,Q183366
custom,Q362023
energy,Q11379
gas,Q11432
group,Q654302
industry,Q8148
oil,Q42962
petrochemical,Q1364904
pressure,Q39552
process,Q229289
pulp,Q226601
utility,Q466707
march,Q110
amount,Q309314
exchange,Q416020
merger,Q731112
co,Q210804
declaration,Q351631
distance,Q126017
figure,Q227737
name,Q82799
peso,Q244696
telephone,Q11035
div,Q298971
cyclop,Q128430
firm,Q783794
investment,Q4290
stake,Q2082178
cent,Q224006
ability,Q20655516
activity,Q241636
bilion,Q41650356
boost,Q446964
brokerage,Q160117
center,Q62207
chairman,Q140686
change,Q226455
comment,Q10953930
component,Q226635
constitute,-1
enhance,Q5378767
exposure,Q210027
fact,Q188572
future,Q344
kind,Q1178576
lane,Q3222002
lift,Q340812
mark,Q6016699
