entity1,relation,entity2
Q783794,P279,Q43229
Q783794,P460,Q4830453
Q381136,P31,Q214339
Q381136,P1382,Q557880
Q68,P527,Q7397
Q240673,P361,Q159810
Q240673,P31,Q151885
Q1371819,P180,Q344
Q1371819,P1889,Q309100
Q1371819,P828,Q309100
Q1369832,P31,Q151885
Q1369832,P279,Q601401
Q1369832,P2079,Q39809
Q1369832,P461,Q194189
Q780687,P279,Q321839
Q58778,P279,Q6671777
Q577,P527,Q5151
Q46737,P279,Q1554231
Q189539,P1552,Q309314
Q189539,P1535,Q157470
Q189539,P1535,Q157165
Q8161,P279,Q7748
Q2995644,P1269,Q179289
Q2995644,P31,Q151885
Q637776,P279,Q83405
Q21255975,P461,Q481609
Q170584,P31,Q151885
Q170584,P1552,Q4503831
Q170584,P1552,Q327245
Q11004,P279,Q756
Q11004,P279,Q2095
Q11004,P527,Q283
Q8805,P31,Q151885
Q693464,P279,Q1368
Q5151,P361,Q577
Q4830453,P460,Q783794
Q4830453,P279,Q43229
Q3,P461,Q4
Q3,P527,Q4
Q315,P361,Q11024
Q315,P1552,Q1308274
Q283102,P155,Q168182
Q283102,P461,Q7722
Q283102,P361,Q573
Q283102,P156,Q7725
Q394963,P31,Q4830453
Q14083,P1269,Q8142
Q14083,P279,Q8142
Q2920921,P1269,Q43229
Q2920921,P2079,Q309100
Q599151,P31,Q192581
Q599151,P460,Q61022630
Q45701,P279,Q214609
Q6256,P527,Q183366
Q381072,P279,Q104493
Q8142,P279,Q1368
Q8142,P1889,Q1368
Q3196867,P279,Q2648051
Q182722,P461,Q62955
Q62955,P461,Q182722
Q1337691,P1269,Q4402708
Q342306,P1889,Q1199068
Q601401,P361,Q159810
Q601401,P460,Q26643
Q5189153,P460,Q16726223
Q573,P527,Q25235
Q573,P527,Q575
Q573,P361,Q23387
Q659,P461,Q667
Q659,P461,Q679
Q659,P461,Q684
Q659,P1889,Q224360
Q11446,P366,Q7590
Q11446,P1889,Q35872
Q1210094,P279,Q182076
Q11023,P3095,Q81096
Q11023,P2578,Q11650
Q11023,P2578,Q12725
Q11023,P2578,Q385378
Q11023,P2283,Q413
Q13516686,P31,Q151885
Q13516686,P279,Q240673
Q42240,P361,Q336
Q850210,P31,Q101072
Q850210,P279,Q1527264
Q850210,P1889,Q26911
Q16518,P279,Q11446
Q319224,P1535,Q651658
Q11229,P279,Q3481047
Q23387,P2670,Q573
Q23387,P361,Q5151
Q23387,P460,Q30722989
Q11379,P1552,Q11423
Q11432,P527,Q39552
Q11432,P527,Q39297
Q11432,P527,Q11466
Q8148,P460,Q187939
Q42962,P1889,Q127980
Q42962,P1889,Q22656
Q42962,P1382,Q127980
Q42962,P1382,Q22656
Q39552,P4934,Q11402
Q39552,P4934,Q11500
Q309314,P1269,Q12453
Q731112,P527,Q1416898
Q126017,P279,Q36253
Q82799,P279,Q3695082
Q82799,P279,Q8171
Q82799,P361,Q315
Q244696,P279,Q8142
Q11035,P279,Q11019
Q128430,P279,Q3707571
Q4290,P279,Q1369832
Q4290,P3095,Q557880
Q160117,P279,Q43845
Q140686,P2389,Q865588
Q188572,P461,Q3962655
Q188572,P279,Q42848
Q344,P279,Q11471
Q344,P155,Q193168
Q344,P361,Q11471
Q344,P461,Q192630
Q3222002,P2670,Q133346
Q61022630,P460,Q599151
Q878352,P279,Q34394
Q878352,P1552,Q13649246
Q2526135,P1889,Q10566551
Q2526135,P1552,Q2251595
Q2526135,P3712,Q10566551
Q194189,P31,Q151885
Q194189,P279,Q601401
Q194189,P461,Q1369832
Q194189,P361,Q39809
Q194189,P361,Q159810
Q194189,P361,Q601401
Q173253,P366,Q160402
Q173253,P1889,Q205555
Q283,P361,Q2095
Q11427,P527,Q677
Q11427,P462,Q42519
Q1420,P527,Q44167
Q1420,P527,Q2207370
Q1420,P618,Q39558
Q1420,P618,Q12725
Q1420,P366,Q7590
Q1420,P366,Q334401
Q1420,P1542,Q61509
Q2995529,P527,Q12117
Q3565868,P361,Q7590
Q706622,P31,Q151885
Q706622,P1382,Q4503831
Q706622,P527,Q4503831
Q10289,P279,Q987767
Q10289,P129,Q40050
Q10289,P186,Q287
Q10289,P186,Q11427
Q10289,P186,Q11474
Q93288,P279,Q321839
Q93288,P279,Q49848
Q93288,P1542,Q2648051
Q9128,P2579,Q14620
Q1247368,P31,Q80071
Q954124,P31,Q4830453
Q43229,P527,Q10756188
Q26911,P279,Q2995644
Q26911,P527,Q850210
Q26911,P527,Q240673
Q11422,P366,Q11410
Q4116214,P361,Q43015
Q4116214,P3095,Q326653
Q41263,P279,Q43015
Q179289,P361,Q8078
Q3196,P828,Q133235
Q3196,P1536,Q210064
Q42501,P279,Q79529
Q42501,P1552,Q133235
Q12823105,P279,Q180516
Q12823105,P361,Q43229
Q10870555,P279,Q732577
Q10870555,P279,Q49848
Q5551716,P279,Q240673
Q319608,P279,Q82799
Q1308239,P425,Q601401
Q1308239,P279,Q215627
Q1308239,P2868,Q1148747
Q196751,P361,Q187939
Q1311,P155,Q1314
Q1311,P461,Q1313
Q1311,P279,Q24384
Q16502,P31,Q151885
Q571,P186,Q11472
Q571,P279,Q49848
Q571,P279,Q732577
Q571,P366,Q199657
Q1913301,P279,Q235352
Q1400881,P1552,Q6498684
Q250058,P31,Q151885
Q5410500,P461,Q34302
Q5410500,P279,Q34394
Q211364,P279,Q6671777
Q1196645,P279,Q2472587
Q1196645,P279,Q215627
Q178506,P111,Q39297
Q49845,P279,Q7590
Q42848,P1889,Q9081
Q42848,P279,Q11028
Q81096,P425,Q11023
Q22656,P527,Q39558
Q11707,P366,Q41958
Q11707,P361,Q41958
Q167037,P279,Q783794
Q167037,P461,Q728646
Q218846,P1889,Q4830453
Q178706,P279,Q43229
Q2472587,P460,Q6266
Q2472587,P1889,Q6266
Q319622,P279,Q1527264
Q10756188,P361,Q43229
Q10756188,P279,Q1400881
Q736,P31,Q6256
Q736,P530,Q77
Q736,P530,Q96
Q736,P122,Q7270
Q39809,P361,Q4830453
Q39809,P361,Q159810
Q39809,P1269,Q194189
Q39809,P527,Q37038
Q39809,P527,Q160151
Q6266,P460,Q2472587
Q6266,P1889,Q2472587
Q1156854,P279,Q211364
Q1156854,P31,Q1371819
Q265158,P279,Q1379672
Q3236990,P279,Q215627
Q2994387,P460,Q15978655
Q2994387,P279,Q15978655
Q11451,P279,Q8148
Q11451,P3095,Q131512
Q12132,P279,Q58778
Q385378,P1056,Q41176
Q385378,P3095,Q42973
Q385378,P2579,Q11023
Q902410,P461,Q428148
Q40231,P279,Q189760
Q1314,P155,Q1313
Q1314,P156,Q1311
Q1314,P279,Q24384
Q1314,P2922,Q110
Q708,P462,Q42519
Q41273,P4934,Q11423
Q11474,P279,Q79529
Q11474,P279,Q214609
Q2835558,P31,Q4830453
Q2835558,P31,Q22687
Q13649246,P279,Q9492
Q13649246,P1382,Q34302
Q30722989,P361,Q23387
Q30722989,P460,Q23387
Q41176,P527,Q35473
Q41176,P527,Q221706
Q41176,P527,Q217164
Q41176,P527,Q36794
Q221706,P361,Q41176
Q221706,P461,Q217164
Q12725,P279,Q11379
Q23640,P527,Q173253
Q23640,P527,Q37017
Q2251595,P361,Q2526135
Q3695082,P279,Q9081
Q3695082,P279,Q11028
Q3695082,P460,Q80071
Q7590,P366,Q61509
Q7590,P121,Q42889
Q7590,P279,Q79782
Q174834,P279,Q780687
Q398,P31,Q6256
Q398,P706,Q7204
Q398,P361,Q7204
Q39911,P361,Q578
Q8436,P279,Q178706
Q8436,P527,Q8441
Q8436,P527,Q467
Q557880,P425,Q4290
Q557880,P279,Q43845
Q7748,P1889,Q49371
Q7748,P3095,Q16533
Q7748,P3095,Q40348
Q11426,P279,Q214609
Q1368,P1889,Q8142
Q1368,P366,Q1148747
Q1368,P366,Q601401
Q82794,P279,Q2221906
Q82794,P1552,Q11500
Q82794,P1889,Q2221906
Q428148,P461,Q902410
Q428148,P31,Q151885
Q42889,P279,Q11019
Q42889,P279,Q987767
Q42889,P366,Q7590
Q42889,P361,Q4323994
Q42973,P279,Q5322166
Q11402,P4934,Q41273
Q2516951,P279,Q39809
Q2827815,P31,Q151885
Q2406150,P31,Q151885
Q177923,P279,Q194189
Q220788,P461,Q872745
Q309100,P1889,Q7216332
Q309100,P1889,Q1371819
Q309100,P1056,Q1371819
Q8146,P31,Q8142
Q202785,P279,Q1949963
Q1867977,P279,Q83405
Q476300,P461,Q380962
Q476300,P1889,Q1178401
Q476300,P31,Q1139327
Q987767,P279,Q39546
Q987767,P1552,Q39297
Q200266,P1478,Q33767
Q44782,P1889,Q283202
Q191118,P111,Q11423
Q170984,P31,Q80071
Q1072,P703,Q729
Q37507,P186,Q287
Q37507,P279,Q39546
Q187939,P31,Q8148
Q651658,P279,Q7590
Q651658,P361,Q159810
Q7397,P361,Q68
Q1401706,P279,Q202875
Q257022,P460,Q2850854
Q836925,P279,Q10870555
Q22855,P1542,Q192270
Q182076,P279,Q189539
Q182076,P279,Q3196867
Q11019,P279,Q39546
Q11019,P101,Q11023
Q7727,P361,Q25235
Q192270,P437,Q22855
Q192270,P279,Q1369832
Q192270,P828,Q22855
Q52389,P1535,Q179073
Q289,P279,Q15078788
Q245962,P361,Q11023
Q11032,P279,Q43229
Q11032,P279,Q4830453
Q1184065,P279,Q43229
Q7722,P461,Q283102
Q7722,P461,Q7725
Q7722,P361,Q573
Q7722,P155,Q575
Q7644488,P279,Q215536
Q656365,P1889,Q192581
Q656365,P279,Q8148
Q17110160,P31,Q4830453
Q185451,P279,Q1371819
Q185451,P1535,Q450
Q424543,P527,Q9081
Q157165,P31,Q151885
Q157165,P461,Q157470
Q11563,P279,Q309314
Q481609,P461,Q21255975
Q481609,P1382,Q15098235
Q6498684,P460,Q1400881
Q6498684,P828,Q601401
Q1416898,P279,Q731112
Q12876,P31,Q728
Q1403377,P279,Q1368
Q1403377,P31,Q8142
Q27686,P279,Q4830453
Q44497,P31,Q11023
Q44497,P279,Q8148
Q946865,P1889,Q796919
Q3647770,P2959,Q1416898
Q215627,P279,Q795052
Q11469,P279,Q214609
Q11469,P31,Q214609
Q81292,P111,Q11500
Q6502154,P279,Q61509
Q104493,P279,Q1202245
Q104493,P279,Q13649246
Q104493,P1552,Q9492
Q104493,P1552,Q1775867
Q104493,P1552,Q13649246
Q253623,P279,Q732577
Q614806,P279,Q11460
Q2397485,P366,Q2526135
Q2476929,P279,Q7748
Q37017,P527,Q7364
Q37017,P361,Q23640
Q11028,P828,Q174984
Q11028,P1542,Q9081
Q11028,P1889,Q9081
Q198,P527,Q178561
Q788590,P1269,Q2526135
Q788590,P1269,Q174834
Q7995739,P279,Q1368
Q7995739,P31,Q8142
Q7995739,P17,Q43
Q241906,P527,Q11426
Q79529,P2579,Q413
Q193219,P279,Q1414816
Q897,P279,Q11426
Q12147,P31,Q190258
Q131408,P31,Q39546
Q131408,P279,Q39546
Q36402,P461,Q168182
Q36402,P361,Q575
Q36402,P31,Q25235
Q173799,P279,Q8148
Q173799,P366,Q180910
Q44432,P279,Q11379
Q23392,P279,Q283
Q23392,P1269,Q283
Q23392,P186,Q283
Q474200,P31,Q8148
Q474200,P361,Q102066
Q474200,P361,Q11023
Q342551,P279,Q1148747
Q5166129,P279,Q21255975
Q5166129,P1542,Q21255975
Q8386,P279,Q79529
Q8386,P1889,Q12140
Q25235,P527,Q7727
Q25235,P361,Q573
Q16644043,P279,Q49848
Q16644043,P279,Q730920
Q38926,P279,Q11024
Q79719,P279,Q93288
Q872,P279,Q15078788
Q11635,P279,Q43229
Q878070,P31,Q211364
Q1370714,P186,Q287
Q2625603,P279,Q1949963
Q2625603,P279,Q322481
Q42008,P279,Q7748
Q1313,P156,Q1314
Q1313,P461,Q1311
Q1313,P1889,Q24384
Q1313,P279,Q24384
Q2221906,P1889,Q82794
Q131596,P127,Q131512
Q7946,P361,Q8063
Q7946,P279,Q79529
Q7946,P279,Q214609
Q37038,P279,Q11028
Q681615,P279,Q43229
Q5413454,P31,Q4830453
Q5413454,P17,Q33
Q5413454,P452,Q43015
Q16917,P279,Q178706
Q23856,P279,Q11422
Q2876213,P279,Q11023
Q2876213,P279,Q8148
Q2876213,P31,Q8148
Q43261,P1552,Q126017
Q207822,P279,Q987767
Q41487,P361,Q7748
Q41487,P1889,Q7748
Q41,P530,Q43
Q41,P530,Q902
Q41,P530,Q928
Q41,P530,Q20
Q41,P530,Q96
Q41,P530,Q142
Q41,P530,Q31
Q41,P530,Q33
Q41,P47,Q43
Q41,P463,Q41550
Q41,P31,Q6256
Q728646,P461,Q167037
Q126793,P279,Q601401
Q126793,P461,Q220695
Q29142,P279,Q83267
Q4202277,P1535,Q7188
Q9081,P279,Q492
Q9081,P1889,Q11028
Q9081,P1889,Q42848
Q9081,P1382,Q46744
Q9081,P1382,Q164359
Q360936,P31,Q4830453
Q192581,P1889,Q656365
Q4168959,P279,Q83405
Q34302,P1382,Q13649246
Q34302,P1552,Q13649246
Q34302,P1889,Q34394
Q42519,P279,Q9128
Q3947,P527,Q35473
Q3947,P527,Q36794
Q3947,P527,Q180516
Q3947,P527,Q217164
Q3947,P366,Q7743
Q80831,P186,Q670
Q80831,P186,Q663
Q80831,P186,Q753
Q11456,P279,Q214609
Q1120961,P31,Q151885
Q928,P530,Q15180
Q928,P530,Q43
Q928,P530,Q96
Q928,P530,Q41
Q928,P530,Q902
Q928,P31,Q6256
Q928,P122,Q7270
Q504703,P361,Q8434
Q49371,P3095,Q4175034
Q872745,P461,Q220788
Q758,P279,Q214609
Q15290,P279,Q211364
Q660651,P279,Q49848
Q11472,P366,Q735
Q11472,P366,Q207822
Q956,P31,Q515
Q908656,P279,Q1775867
Q214339,P527,Q2648051
