entity1,relation,entity2
Q268146,P31,Q4167410
Q268146,P1889,Q36985852
Q3916071,P31,Q4167410
Q783794,P279,Q43229
Q783794,P279,Q3778211
Q783794,P460,Q21980538
Q783794,P460,Q6881511
Q783794,P460,Q4830453
Q783794,P1343,Q2041543
Q783794,P1343,Q4532138
Q783794,P1424,Q5625028
Q783794,P910,Q5982360
Q783794,P1889,Q19862406
Q783794,P1889,Q52834234
Q783794,P6104,Q15271936
Q783794,P527,Q2366457
Q783794,P1552,Q3376073
Q783794,P2579,Q8134
Q783794,P2579,Q5001951
Q783794,P2579,Q97008347
Q3708947,P31,Q4167410
Q3708947,P361,Q25580506
Q3708947,P1889,Q37293708
Q1660986,P31,Q4167410
Q1660986,P1889,Q25975824
Q2761147,P910,Q6510563
Q2761147,P279,Q1656682
Q2761147,P279,Q61788060
Q2761147,P460,Q24238221
Q399476,P31,Q4167410
Q399476,P1889,Q37121266
Q381136,P279,Q16869121
Q381136,P279,Q852998
Q381136,P279,Q4164871
Q381136,P1830,Q1475312
Q381136,P31,Q12737077
Q381136,P31,Q214339
Q381136,P910,Q15361892
Q381136,P910,Q15101950
Q381136,P1382,Q557880
Q1196314,P910,Q6572301
Q1196314,P279,Q169489
Q1196314,P1552,Q756115
Q1196314,P1552,Q180107
Q1196314,P2959,Q22828634
Q5121762,P31,Q4167410
Q68,P279,Q2858615
Q68,P279,Q241317
Q68,P910,Q6061304
Q68,P737,Q6719084
Q68,P1424,Q5616658
Q68,P527,Q2384798
Q68,P527,Q7397
Q68,P527,Q3966
Q68,P527,Q9143
Q68,P527,Q250
Q68,P527,Q5300
Q68,P527,Q183484
Q68,P5008,Q5460604
Q68,P5125,Q7112590
Q68,P2579,Q21198
Q68,P1889,Q31087
Q68,P1889,Q5300
Q68,P1889,Q5290
Q68,P1889,Q179310
Q68,P1552,Q1781447
Q68,P1552,Q716676
Q68,P1552,Q1197550
Q417488,P31,Q4167410
Q240673,P279,Q1499548
Q240673,P361,Q159810
Q240673,P31,Q151885
Q240673,P910,Q7416774
Q240673,P1687,P2130
Q240673,P461,Q2383321
Q3705086,P31,Q4167410
Q353294,P31,Q4167410
Q353294,P460,Q96474870
Q1235072,P31,Q4167410
Q5879690,P31,Q4167410
Q5879690,P1889,Q16870835
Q400416,P31,Q4167410
Q400416,P1889,Q30598235
Q1277907,P31,Q4167410
Q1277907,P1889,Q37474016
Q209577,P31,Q4167410
Q1371819,P279,Q7184903
Q1371819,P180,Q344
Q1371819,P1343,Q2041543
Q1371819,P1889,Q309100
Q1371819,P828,Q309100
Q160151,P279,Q1499548
Q160151,P279,Q30242023
Q160151,P279,Q39875001
Q160151,P1343,Q2657718
Q160151,P1687,P2284
Q160151,P31,Q7184903
Q10953985,P31,Q4167410
Q95124485,P31,Q4167410
Q95124485,P460,Q1796457
Q95124485,P460,Q95124610
Q95124485,P1889,Q95124412
Q1369832,P31,Q151885
Q1369832,P279,Q601401
Q1369832,P279,Q451967
Q1369832,P2079,Q39809
Q1369832,P461,Q194189
Q1369832,P1889,Q10552154
Q1369832,P1889,Q1057954
Q1728583,P910,Q8979990
Q780687,P279,Q627436
Q780687,P279,Q321839
Q780687,P910,Q7158626
Q780687,P2579,Q4932206
Q780687,P5125,Q7112717
Q780687,P1424,Q13385916
Q780687,P31,Q11862829
Q6495050,P31,Q4167410
Q6495050,P1889,Q33616444
Q6495050,P1889,Q16882531
Q58778,P910,Q6642953
Q58778,P1343,Q2657718
Q58778,P279,Q6671777
Q58778,P1552,Q7663702
Q58778,P1552,Q215772
Q58778,P1552,Q2920644
Q58778,P1552,Q598451
Q58778,P1552,Q3298282
Q58778,P1552,Q183635
Q58778,P1552,Q96116695
Q58778,P1552,Q723897
Q58778,P1552,Q1062741
Q58778,P1552,Q52948
Q58778,P2579,Q269699
