word,wikiID
board,Q268146
capital,Q3916071
company,Q783794
director,Q3708947
meeting,Q2761147
product,Q95124485
share,Q399476
shareholder,Q381136
stock,Q1196314
change,Q226455
computer,Q68
condition,Q417488
cost,Q240673
dlrs,-1
holding,Q5879690
impact,Q400416
market,Q1277907
operation,Q209577
part,Q414241
plan,Q1371819
price,Q160151
reuter,Q29947926
right,Q780687
sale,Q6495050
system,Q58778
technology,Q11016
terminal,Q210481
time,Q11471
warrant,Q452800
year,Q577
asset,Q46737
ct,Q225590
deposit,Q764844
gain,Q424707
loan,Q189539
shr,-1
tax,Q8161
cts,-1
dividend,Q181201
loss,Q1692143
mth,-1
profit,Q2112047
acquisition,Q420708
analyst,Q5669212
earning,Q5326939
food,Q2095
performance,Q35140
quarter,Q1437134
b,Q9705
cash,Q693464
charge,Q77076
class,Q3679160
holder,Q1624408
increase,Q1660986
month,Q5151
payout,-1
pct,Q350108
rate,Q346589
record,Q399857
split,Q233272
today,Q348420
revs,Q415967
business,Q4830453
life,Q3
note,Q2002118
result,Q2995644
pay,Q564046
economy,Q159810
equity,Q353342
growth,Q233646
interest,Q170924
president,Q63532478
standard,Q1640121
base,Q575724
bid,Q342078
bidder,Q3276328
distribution,Q225802
management,Q2920921
offer,Q1474278
official,Q599151
statement,Q1456029
trading,Q601401
waste,Q45701
bank,Q22687
country,Q6256
currency,Q8142
debt,Q3196867
export,Q182722
import,Q62955
service,Q232576
surplus,Q3505433
trade,Q601401
value,Q5189153
agency,Q232353
day,Q573
end,Q16220058
north,Q659
tomorrow,Q397392
income,Q1527264
mortgage,Q1210094
unit,Q1487317
balance,Q1911050
decline,Q5249503
development,Q340724
division,Q16278392
dollar,Q14083
engineering,Q11023
operating,Q209577
research,Q42240
revenue,Q850210
subsidiary,Q658255
demand,Q4402708
level,Q251898
percentage,Q11229
point,Q99751643
week,Q23387
yesterday,Q240734
transaction,Q279242
net,Q16877945
power,Q398902
energy,Q11379
gas,Q11432
group,Q654302
industry,-1
oil,Q42962
pressure,Q39552
march,Q110
merger,Q731112
name,Q82799
peso,Q244696
fund,Q16831479
period,Q672154
div,Q298971
firm,Q783794
investment,Q4290
ability,Q20655516
boost,Q446964
brokerage,Q160117
co,Q210804
officer,Q61022630
option,Q397164
place,Q1794067
position,Q299964
rumor,Q878352
security,Q2526135
spinoff,Q283308
term,Q3984436
total,Q352850
way,Q414987
show,Q2934264
steel,Q11427
grain,Q2995529
purpose,Q706622
stake,Q2082178
barrel,Q10289
contract,Q93288
reduction,Q225229
spokeswoman,Q17221
coleco,Q954124
organization,Q43229
return,Q264890
vice,Q1411242
closing,Q5135431
post,Q367026
budget,Q41263
certificate,Q19689241
decrease,Q5249659
effect,Q252022
expansion,Q253338
government,Q7188
office,Q12823105
program,Q768396
report,Q10870555
source,Q224772
study,Q340383
exchange,Q416020
buyer,Q1308239
control,Q417861
emergency,Q5070802
issue,Q1247982
output,Q2042052
pact,Q321839
policy,Q1156854
problem,Q730920
production,Q663143
world,Q16502
reserve,Q253054
approval,Q4781747
amount,Q309314
payable,Q250058
portion,Q7231827
purchase,Q1369832
rev,Q415967
faith,Q5410500
exclude,Q16903610
detail,Q1184933
equipment,Q779859
sell,Q1247670
versatile,Q7922640
canadian,Q1196645
feb,Q407056
bbl,Q178506
crude,Q5189833
circuit,Q474704
datum,Q42848
oper,Q7096561
estimate,Q791801
petroleum,Q22656
finance,Q43015
proceed,Q96389934
bureau,Q409814
cut,Q20659690
institution,Q178706
state,Q15622206
treasury,Q10756188
bpd,Q437587
facility,Q346146
member,Q7602551
nation,Q6266
producer,Q27887
quota,Q970793
review,Q265158
set,Q235028
talk,Q202069
trader,Q3536375
fall,Q1314
help,Q20033
measure,Q11052334
outlook,Q398496
sector,Q227911
support,Q340406
ceiling,Q221706
communication,Q11024
deficit,Q2682765
expenditure,Q13516686
health,Q12147
make,Q401277
protect,Q2251595
riyal,Q5483798
water,Q283
bill,Q257022
bond,Q683365
estate,Q400001
family,Q8436
instrument,Q225829
