doc1,doc2,relations,detail
1,87,2,P361+P279
1,15,2,P361+P527
1,46,2,P279+P527
1,55,2,P279+P527
1,90,2,P361+P527
1,111,2,P361+P527
5,46,2,P279+P527
6,46,2,P279+P527
6,6,2,P527+P361
6,15,2,P527+P361
6,19,2,P527+P361
6,46,3,P279+P527+P361
6,56,2,P527+P361
6,90,2,P527+P361
6,92,2,P527+P361
6,107,2,P279+P361
6,108,2,P527+P361
6,111,2,P527+P361
6,112,2,P527+P361
6,145,2,P527+P361
6,191,2,P279+P361
8,46,2,P527+P279
14,46,2,P279+P527
14,15,2,P527+P361
14,90,2,P527+P361
14,111,2,P527+P361
15,6,2,P527+P361
15,15,2,P527+P361
15,19,2,P527+P361
15,46,2,P527+P361
15,56,2,P527+P361
15,90,2,P527+P361
15,92,2,P527+P361
15,108,2,P527+P361
15,111,2,P527+P361
15,112,2,P527+P361
15,145,2,P527+P361
15,12,2,P361+P361
15,15,3,P527+P361+P361
15,87,2,P361+P361
15,90,3,P527+P361+P361
15,111,3,P527+P361+P361
15,117,2,P361+P361
15,174,2,P361+P361
15,180,2,P361+P361
15,107,2,P361+P279
19,6,2,P527+P361
19,15,2,P527+P361
19,19,2,P527+P361
19,46,2,P527+P361
19,56,2,P527+P361
19,90,2,P527+P361
19,92,2,P527+P361
19,108,2,P527+P361
19,111,2,P527+P361
19,112,2,P527+P361
19,145,2,P527+P361
19,15,3,P527+P361+P279
19,90,3,P527+P361+P279
19,95,2,P527+P279
19,196,2,P527+P279
19,56,3,P527+P361+P279
19,108,3,P527+P361+P279
19,203,2,P361+P279
19,233,2,P361+P279
19,280,2,P527+P279
19,281,2,P527+P279
19,295,2,P361+P279
26,46,2,P279+P527
26,177,2,P527+P527
27,89,2,P527+P361
27,91,2,P527+P361
27,98,2,P527+P361
27,108,2,P527+P361
27,111,2,P527+P361
27,177,2,P527+P361
27,15,2,P527+P279
27,90,2,P527+P279
27,95,2,P527+P279
27,196,2,P527+P279
27,15,3,P527+P279+P279
27,90,3,P527+P279+P279
27,95,3,P527+P279+P279
27,196,3,P527+P279+P279
27,250,2,P279+P279
37,46,2,P279+P527
37,46,3,P279+P527+P279
37,191,2,P279+P279
37,92,2,P527+P1552
39,46,2,P279+P527
39,15,2,P527+P279
39,90,2,P527+P279
39,95,2,P527+P279
39,196,2,P527+P279
39,56,2,P527+P279
39,108,2,P527+P279
39,280,2,P527+P279
39,281,2,P527+P279
40,6,2,P527+P361
40,13,2,P527+P361
40,15,2,P527+P361
40,19,2,P527+P361
40,41,2,P527+P361
40,46,2,P527+P361
40,55,2,P527+P361
40,56,2,P527+P361
40,89,2,P527+P361
40,90,2,P527+P361
40,91,2,P527+P361
40,92,2,P527+P361
40,95,2,P527+P361
40,98,2,P527+P361
40,108,2,P527+P361
40,111,2,P527+P361
40,112,2,P527+P361
40,139,2,P527+P361
40,145,2,P527+P361
40,172,2,P527+P361
40,177,2,P527+P361
40,196,2,P527+P361
40,214,2,P527+P361
40,219,2,P527+P361
40,222,2,P527+P361
40,280,2,P527+P361
40,281,2,P527+P361
40,296,2,P527+P361
41,46,2,P279+P361
41,191,2,P279+P361
41,103,2,P361+P3095
41,245,2,P361+P3095
41,262,2,P361+P3095
46,46,2,P279+P527
46,6,2,P527+P361
46,15,2,P527+P361
46,19,2,P527+P361
46,46,3,P279+P527+P361
46,56,2,P527+P361
46,90,2,P527+P361
46,92,2,P527+P361
46,108,2,P527+P361
46,111,2,P527+P361
46,112,2,P527+P361
46,145,2,P527+P361
46,191,2,P279+P361
46,8,2,P361+P31
46,37,2,P361+P31
46,99,2,P361+P31
46,103,2,P361+P31
46,106,2,P361+P31
46,108,3,P527+P361+P31
46,109,2,P361+P31
46,123,2,P361+P31
46,175,2,P361+P31
46,193,2,P361+P31
46,214,2,P527+P31
46,262,2,P361+P31
46,88,2,P361+P527
55,46,2,P279+P361
55,191,2,P279+P361
55,14,2,P361+P425
55,15,2,P361+P425
55,90,2,P361+P425
55,103,2,P361+P425
55,111,2,P361+P425
55,111,3,P361+P425+P425
55,116,2,P361+P425
55,116,3,P361+P425+P425
55,117,2,P361+P425
55,117,3,P361+P425+P425
55,241,2,P425+P425
55,1,2,P361+P31
55,15,3,P361+P425+P31
55,37,2,P361+P31
55,91,2,P425+P31
55,99,2,P361+P31
55,119,2,P361+P31
55,127,2,P361+P31
55,193,2,P361+P31
55,221,2,P361+P31
55,245,2,P361+P31
55,260,2,P361+P31
55,262,2,P361+P31
56,46,2,P279+P527
56,6,2,P527+P361
56,15,2,P527+P361
56,19,2,P527+P361
56,46,3,P279+P527+P361
56,56,2,P527+P361
56,90,2,P527+P361
56,92,2,P527+P361
56,108,2,P527+P361
56,111,2,P527+P361
56,112,2,P527+P361
56,145,2,P527+P361
56,191,2,P279+P361
56,56,3,P527+P361+P279
56,108,3,P527+P361+P279
56,203,2,P361+P279
56,233,2,P361+P279
56,280,2,P527+P279
56,281,2,P527+P279
56,295,2,P361+P279
56,39,2,P361+P527
56,89,2,P527+P527
56,94,2,P361+P527
56,111,3,P527+P361+P527
56,117,2,P361+P527
56,39,3,P361+P527+P186
56,90,3,P527+P361+P186
56,96,2,P361+P186
58,111,2,P279+P279
58,116,2,P279+P279
58,117,2,P279+P279
58,241,2,P279+P279
62,111,2,P279+P279
62,116,2,P279+P279
62,117,2,P279+P279
62,241,2,P279+P279
84,56,2,P527+P279
84,108,2,P527+P279
84,280,2,P527+P279
84,281,2,P527+P279
87,46,2,P527+P279
88,46,2,P527+P361
89,46,2,P279+P361
89,191,2,P279+P361
89,6,2,P361+P361
89,15,2,P361+P361
89,19,2,P361+P361
89,46,3,P279+P361+P361
89,56,2,P361+P361
89,90,2,P361+P361
89,92,2,P361+P361
89,108,2,P361+P361
89,111,2,P361+P361
89,112,2,P361+P361
89,145,2,P361+P361
89,39,2,P361+P186
89,90,3,P361+P361+P186
89,96,2,P361+P186
90,6,2,P527+P361
90,15,2,P527+P361
90,19,2,P527+P361
90,46,2,P527+P361
90,56,2,P527+P361
90,90,2,P527+P361
90,92,2,P527+P361
90,108,2,P527+P361
90,111,2,P527+P361
90,112,2,P527+P361
90,145,2,P527+P361
90,12,2,P361+P361
90,15,3,P527+P361+P361
90,87,2,P361+P361
90,90,3,P527+P361+P361
90,111,3,P527+P361+P361
90,117,2,P361+P361
90,174,2,P361+P361
90,180,2,P361+P361
90,107,2,P361+P279
90,56,3,P527+P361+P279
90,108,3,P527+P361+P279
90,203,2,P361+P279
90,233,2,P361+P279
90,280,2,P527+P279
90,281,2,P527+P279
90,295,2,P361+P279
90,93,2,P279+P3095
90,103,2,P361+P3095
90,177,2,P527+P3095
90,245,2,P361+P3095
90,262,2,P361+P3095
91,12,2,P361+P361
91,15,2,P361+P361
91,87,2,P361+P361
91,90,2,P361+P361
91,111,2,P361+P361
91,117,2,P361+P361
91,174,2,P361+P361
91,180,2,P361+P361
91,15,3,P361+P361+P279
91,90,3,P361+P361+P279
91,6,2,P361+P361
91,15,4,P361+P361+P279+P361
91,19,2,P361+P361
91,46,2,P361+P361
91,56,2,P361+P361
91,90,4,P361+P361+P279+P361
91,92,2,P361+P361
91,95,2,P279+P361
91,108,2,P361+P361
91,111,3,P361+P361+P361
91,112,2,P361+P361
91,145,2,P361+P361
91,196,2,P279+P361
92,6,2,P527+P361
92,15,2,P527+P361
92,19,2,P527+P361
92,46,2,P527+P361
92,56,2,P527+P361
92,90,2,P527+P361
92,92,2,P527+P361
92,108,2,P527+P361
92,111,2,P527+P361
92,112,2,P527+P361
92,145,2,P527+P361
92,40,2,P361+P361
92,89,2,P527+P361
92,91,2,P527+P361
92,98,2,P527+P361
92,108,3,P527+P361+P361
92,111,3,P527+P361+P361
92,119,2,P361+P361
92,177,2,P527+P361
92,245,2,P361+P361
92,56,3,P527+P361+P279
92,108,4,P527+P361+P361+P279
92,203,2,P361+P279
92,233,2,P361+P279
92,280,2,P527+P279
92,281,2,P527+P279
92,295,2,P361+P279
92,92,3,P527+P361+P1552
92,39,2,P361+P186
92,90,3,P527+P361+P186
92,96,2,P361+P186
92,46,3,P527+P361+P279
92,191,2,P361+P279
92,1,2,P361+P279
92,103,2,P361+P279
92,106,2,P361+P279
92,145,3,P527+P361+P279
92,177,3,P527+P361+P279
92,260,2,P361+P279
92,262,2,P361+P279
92,119,3,P361+P361+P31
92,37,2,P361+P361
92,92,4,P527+P361+P1552+P361
92,108,5,P527+P361+P361+P279+P361
92,119,4,P361+P361+P31+P361
92,123,2,P361+P361
92,157,2,P361+P361
92,177,4,P527+P361+P279+P361
92,296,2,P527+P361
92,5,2,P361+P361
92,233,3,P361+P279+P361
93,87,2,P361+P279
93,111,2,P361+P279
93,90,2,P361+P425
