word,wikiID
increase,Q1660986
capital,Q3916071
stock,Q1196314
director,Q3708947
company,Q783794
share,Q399476
meeting,Q2761147
board,Q268146
shareholder,Q381136
market,Q1277907
terminal,Q210481
year,Q577
time,Q11471
cost,Q240673
sale,Q6495050
computer,Q68
right,Q780687
dot,Q353294
holding,Q5879690
printer,Q10953985
reorganization,Q1728583
form,Q1235072
plan,Q1371819
product,Q95124485
system,Q58778
impact,Q400416
licensee,Q6543058
operation,Q209577
delivery,Q3705086
purchase,Q1369832
warrant,Q452800
dlrs,-1
ticket,Q454839
condition,Q417488
circumstance,Q5121762
technology,Q11016
price,Q160151
reuter,Q29947926
gain,Q424707
loan,Q189539
asset,Q46737
tax,Q8161
ct,Q225590
deposit,Q764844
shr,-1
dividend,Q181201
loss,Q1692143
payment,Q1148747
carryforward,-1
mth,-1
result,Q2995644
note,Q2002118
cts,-1
period,Q672154
profit,Q2112047
projection,Q6502279
food,Q2095
quarter,Q1437134
performance,Q35140
vegetable,Q11004
line,Q15878761
range,Q438399
dairy,Q637776
analyst,Q5669212
effect,Q252022
earning,Q5326939
acquisition,Q420708
project,Q170584
benefit,Q444986
improvement,Q21255975
b,Q9705
holder,Q1624408
reason,Q178354
flow,Q8961886
bit,Q8805
pct,Q350108
split,Q233272
cash,Q693464
class,Q3679160
outlook,Q398496
charge,Q77076
up,Q219266
rate,Q346589
month,Q5151
record,Q399857
today,Q348420
restructuring,Q1376796
stockholder,Q381136
revs,Q415967
adjustment,Q41441174
business,Q4830453
life,Q3
pay,Q564046
language,Q315
economy,Q159810
growth,Q233646
equity,Q353342
interest,Q170924
thousand,Q43016
knight,Q102083
care,Q969439
waste,Q45701
statement,Q1456029
contact,Q394963
announcement,Q16252522
attack,Q343634
application,Q294834
garden,Q1107656
tender,Q230266
official,Q599151
inc,Q341678
hand,Q33767
base,Q575724
distribution,Q225802
dollar,Q14083
bid,Q342078
management,Q2920921
surprise,Q180210
opening,Q411189
afternoon,Q283102
bidder,Q3276328
customer,Q852835
lawn,Q207766
resist,Q7315582
snyder,Q253980
value,Q5189153
cover,Q235962
service,Q232576
reversal,Q7318167
debt,Q3196867
inflation,Q35865
situation,Q342306
bank,Q22687
surplus,Q3505433
target,Q230479
crisis,Q381072
anniversary,Q1062856
shortage,Q1337691
import,Q62955
halt,Q1292638
currency,Q8142
economist,Q188094
account,Q231010
trade,Q601401
export,Q182722
country,Q6256
waiting,Q534423
end,Q16220058
canal,Q12284
north,Q659
day,Q573
transit,Q228647
tomorrow,Q397392
backlog,Q4839689
vessel,Q6661273
ship,Q11446
tanker,Q1050314
agency,Q232353
unit,Q1487317
income,Q1527264
fund,Q16831479
mortgage,Q1210094
payout,-1
order,Q2029226
introduction,Q1387137
pace,Q1115199
engineering,Q11023
expenditure,Q13516686
division,Q16278392
decline,Q5249503
subsidiary,Q658255
prospect,Q233964
research,Q42240
development,Q340724
operating,Q209577
revenue,Q850210
comparison,Q1720648
dealer,Q3053309
session,Q362310
freight,Q319224
