doc,wikiID
0,Q3916071
0,Q95124485
0,Q783794
0,Q2761147
0,Q1196314
0,Q268146
0,Q381136
0,Q399476
0,Q3708947
1,Q95124485
1,Q783794
1,Q1196314
1,Q399476
1,Q780687
1,Q400416
1,Q226455
1,Q240673
1,Q417488
1,Q209577
1,Q1277907
1,Q414241
1,Q210481
1,Q29947926
1,Q68
1,Q58778
1,Q1371819
1,Q6495050
1,Q11016
1,Q577
1,Q5879690
1,Q452800
1,Q11471
1,Q160151
2,Q29947926
2,Q577
2,Q8161
2,Q764844
2,Q189539
2,Q225590
2,Q46737
2,Q424707
3,Q29947926
3,Q225590
3,Q2112047
3,Q1692143
3,Q181201
4,Q29947926
5,Q783794
5,Q399476
5,Q6495050
5,Q577
5,Q1437134
5,Q420708
5,Q5669212
5,Q5326939
5,Q35140
5,Q2095
6,Q783794
6,Q1196314
6,Q399476
6,Q3708947
6,Q209577
6,Q29947926
6,Q6495050
6,Q577
6,Q8161
6,Q2112047
6,Q181201
6,Q1437134
6,Q5326939
6,Q233272
6,Q693464
6,Q346589
6,Q77076
6,Q9705
6,Q3679160
6,Q5151
6,Q1660986
6,Q399857
6,Q348420
6,Q350108
6,Q1624408
7,Q225590
7,Q2112047
7,Q1692143
7,Q181201
7,Q399857
7,Q415967
8,Q29947926
8,Q577
8,Q4830453
8,Q2995644
8,Q2002118
8,Q3
9,Q181201
9,Q564046
10,Q381136
10,Q68
10,Q577
10,Q225590
10,Q2112047
10,Q1692143
10,Q181201
11,Q6495050
11,Q577
12,Q2761147
12,Q381136
12,Q399476
12,Q417488
12,Q29947926
12,Q577
12,Q46737
12,Q5326939
12,Q346589
12,Q1660986
12,Q159810
12,Q170924
12,Q1640121
12,Q233646
12,Q353342
12,Q63532478
13,Q399476
13,Q8161
13,Q225590
13,Q2112047
13,Q1692143
13,Q77076
13,Q5151
14,Q783794
14,Q2761147
14,Q1196314
14,Q399476
14,Q29947926
14,Q58778
14,Q577
14,Q160151
14,Q1437134
14,Q5669212
14,Q693464
14,Q346589
14,Q348420
14,Q233646
14,Q1474278
14,Q3276328
14,Q601401
14,Q225802
14,Q599151
14,Q2920921
14,Q1456029
14,Q575724
14,Q342078
14,Q45701
15,Q1371819
15,Q577
15,Q160151
15,Q346589
15,Q5151
15,Q350108
15,Q159810
15,Q342078
15,Q62955
15,Q601401
15,Q22687
15,Q3196867
15,Q3505433
15,Q5189153
15,Q182722
15,Q6256
15,Q232576
15,Q8142
16,Q209577
16,Q29947926
16,Q11471
16,Q348420
16,Q16220058
16,Q573
16,Q397392
16,Q232353
16,Q659
17,Q29947926
17,Q225590
17,Q424707
17,Q225802
17,Q1210094
17,Q1527264
17,Q1487317
18,Q29947926
18,Q181201
19,Q3916071
19,Q95124485
19,Q399476
19,Q577
19,Q225590
19,Q2112047
19,Q1692143
19,Q1437134
19,Q5151
19,Q5189153
19,Q340724
19,Q1911050
19,Q5249503
19,Q42240
19,Q209577
19,Q16278392
19,Q850210
19,Q11023
19,Q658255
19,Q14083
20,Q29947926
20,Q348420
20,Q342078
20,Q23387
20,Q240734
