word,wikiID
capital,Q3916071
product,Q95124485
company,Q783794
meeting,Q2761147
stock,Q1196314
board,Q268146
shareholder,Q381136
share,Q399476
director,Q3708947
right,Q780687
impact,Q400416
change,Q226455
cost,Q240673
condition,Q417488
operation,Q209577
market,Q1277907
part,Q414241
terminal,Q210481
reuter,Q29947926
computer,Q68
system,Q58778
plan,Q1371819
sale,Q6495050
technology,Q11016
year,Q577
holding,Q5879690
warrant,Q452800
time,Q11471
price,Q160151
dlrs,-1
tax,Q8161
shr,-1
deposit,Q764844
loan,Q189539
ct,Q225590
asset,Q46737
gain,Q424707
cts,-1
profit,Q2112047
loss,Q1692143
mth,-1
dividend,Q181201
quarter,Q1437134
acquisition,Q420708
analyst,Q5669212
earning,Q5326939
performance,Q35140
food,Q2095
payout,-1
split,Q233272
cash,Q693464
rate,Q346589
charge,Q77076
b,Q9705
class,Q3679160
month,Q5151
increase,Q1660986
record,Q399857
today,Q348420
pct,Q350108
holder,Q1624408
revs,Q415967
business,Q4830453
result,Q2995644
note,Q2002118
life,Q3
pay,Q564046
economy,Q159810
interest,Q170924
standard,Q1640121
growth,Q233646
equity,Q353342
president,Q63532478
offer,Q1474278
bidder,Q3276328
trading,Q601401
distribution,Q225802
official,Q599151
management,Q2920921
statement,Q1456029
base,Q575724
bid,Q342078
waste,Q45701
import,Q62955
trade,Q601401
bank,Q22687
debt,Q3196867
surplus,Q3505433
value,Q5189153
export,Q182722
country,Q6256
service,Q232576
currency,Q8142
end,Q16220058
day,Q573
tomorrow,Q397392
agency,Q232353
north,Q659
mortgage,Q1210094
income,Q1527264
unit,Q1487317
development,Q340724
balance,Q1911050
decline,Q5249503
research,Q42240
operating,Q209577
division,Q16278392
revenue,Q850210
engineering,Q11023
subsidiary,Q658255
dollar,Q14083
week,Q23387
yesterday,Q240734
percentage,Q11229
level,Q251898
point,Q99751643
demand,Q4402708
transaction,Q279242
net,Q16877945
power,Q398902
energy,Q11379
oil,Q42962
gas,Q11432
group,Q654302
industry,-1
pressure,Q39552
march,Q110
merger,Q731112
name,Q82799
peso,Q244696
period,Q672154
fund,Q16831479
div,Q298971
firm,Q783794
investment,Q4290
brokerage,Q160117
term,Q3984436
ability,Q20655516
way,Q414987
officer,Q61022630
place,Q1794067
boost,Q446964
spinoff,Q283308
security,Q2526135
total,Q352850
position,Q299964
option,Q397164
co,Q210804
rumor,Q878352
show,Q2934264
steel,Q11427
grain,Q2995529
stake,Q2082178
purpose,Q706622
spokeswoman,Q17221
barrel,Q10289
contract,Q93288
reduction,Q225229
vice,Q1411242
return,Q264890
coleco,Q954124
organization,Q43229
post,Q367026
closing,Q5135431
certificate,Q19689241
report,Q10870555
budget,Q41263
decrease,Q5249659
source,Q224772
program,Q768396
study,Q340383
office,Q12823105
effect,Q252022
expansion,Q253338
government,Q7188
exchange,Q416020
emergency,Q5070802
production,Q663143
pact,Q321839
policy,Q1156854
world,Q16502
control,Q417861
buyer,Q1308239
output,Q2042052
problem,Q730920
issue,Q1247982
reserve,Q253054
approval,Q4781747
payable,Q250058
amount,Q309314
portion,Q7231827
purchase,Q1369832
rev,Q415967
faith,Q5410500
exclude,Q16903610
detail,Q1184933
sell,Q1247670
versatile,Q7922640
equipment,Q779859
feb,Q407056
canadian,Q1196645
bbl,Q178506
crude,Q5189833
circuit,Q474704
datum,Q42848
oper,Q7096561
estimate,Q791801
petroleum,Q22656
finance,Q43015
