doc1,doc2,relations,detail
0,46,1,['P279']
0,191,1,['P279']
0,8,1,['P460']
0,37,1,['P460']
0,99,1,['P460']
0,103,2,"['P460', 'P1382']"
0,106,1,['P460']
0,108,1,['P460']
0,109,1,['P460']
0,123,1,['P460']
0,169,1,['P460']
0,175,1,['P460']
0,181,1,['P460']
0,193,1,['P460']
0,207,1,['P460']
0,214,1,['P460']
0,244,1,['P460']
0,254,1,['P460']
0,262,2,"['P460', 'P1382']"
0,288,1,['P460']
0,93,1,['P1382']
0,177,1,['P1382']
0,245,1,['P1382']
0,286,1,['P1382']
1,46,3,"['P279', 'P527', 'P361']"
1,191,1,['P279']
1,8,1,['P460']
1,37,1,['P460']
1,99,1,['P460']
1,103,1,['P460']
1,106,1,['P460']
1,108,3,"['P460', 'P527', 'P361']"
1,109,1,['P460']
1,123,4,"['P460', 'P180', 'P279', 'P361']"
1,169,1,['P460']
1,175,1,['P460']
1,181,1,['P460']
1,193,1,['P460']
1,207,1,['P460']
1,214,3,"['P460', 'P527', 'P361']"
1,244,1,['P460']
1,254,1,['P460']
1,262,1,['P460']
1,288,1,['P460']
1,55,4,"['P279', 'P527', 'P361', 'P31']"
1,87,2,"['P279', 'P361']"
1,247,2,"['P279', 'P31']"
1,12,1,['P361']
1,15,3,"['P361', 'P527', 'P361']"
1,90,3,"['P361', 'P527', 'P361']"
1,111,4,"['P361', 'P527', 'P361', 'P31']"
1,117,1,['P361']
1,174,2,"['P361', 'P31']"
1,180,2,"['P361', 'P31']"
1,240,3,"['P180', 'P279', 'P361']"
1,277,3,"['P180', 'P279', 'P361']"
1,278,3,"['P180', 'P279', 'P361']"
1,6,2,"['P527', 'P361']"
1,13,2,"['P527', 'P361']"
1,19,2,"['P527', 'P361']"
1,41,2,"['P527', 'P361']"
1,56,2,"['P527', 'P361']"
1,89,2,"['P527', 'P361']"
1,91,2,"['P527', 'P361']"
1,92,3,"['P527', 'P361', 'P279']"
1,95,2,"['P527', 'P361']"
1,98,2,"['P527', 'P361']"
1,112,2,"['P527', 'P361']"
1,139,2,"['P527', 'P361']"
1,145,2,"['P527', 'P361']"
1,172,2,"['P527', 'P361']"
1,177,2,"['P527', 'P361']"
1,196,2,"['P527', 'P361']"
1,219,2,"['P527', 'P361']"
1,222,2,"['P527', 'P361']"
1,280,2,"['P527', 'P361']"
1,281,2,"['P527', 'P361']"
1,296,3,"['P527', 'P361', 'P31']"
1,110,1,['P31']
1,251,1,['P31']
2,6,2,"['P527', 'P361']"
2,13,2,"['P527', 'P361']"
2,15,2,"['P527', 'P361']"
2,19,2,"['P527', 'P361']"
2,41,2,"['P527', 'P361']"
2,46,2,"['P527', 'P361']"
2,55,2,"['P527', 'P361']"
2,56,2,"['P527', 'P361']"
2,89,2,"['P527', 'P361']"
2,90,2,"['P527', 'P361']"
2,91,2,"['P527', 'P361']"
2,92,2,"['P527', 'P361']"
2,95,2,"['P527', 'P361']"
