entity1,relation,entity2
Q783794,P279,Q43229
Q783794,P460,Q4830453
Q381136,P1382,Q557880
Q780687,P279,Q321839
Q240673,P361,Q159810
Q1371819,P180,Q344
Q577,P527,Q5151
Q189539,P1552,Q309314
Q46737,P279,Q1554231
Q693464,P279,Q1368
Q5151,P361,Q577
Q4830453,P460,Q783794
Q4830453,P279,Q43229
Q601401,P361,Q159810
Q599151,P460,Q61022630
Q2920921,P1269,Q43229
Q62955,P461,Q182722
Q182722,P461,Q62955
Q8142,P279,Q1368
Q8142,P1889,Q1368
Q573,P361,Q23387
Q1210094,P279,Q182076
Q850210,P279,Q1527264
Q14083,P1269,Q8142
Q14083,P279,Q8142
Q23387,P2670,Q573
Q23387,P361,Q5151
Q42962,P1889,Q22656
Q42962,P1382,Q22656
Q11432,P527,Q39552
Q731112,P527,Q1416898
Q244696,P279,Q8142
Q4290,P279,Q1369832
Q4290,P3095,Q557880
Q61022630,P460,Q599151
Q2526135,P1552,Q2251595
Q10289,P186,Q11427
Q93288,P279,Q321839
Q954124,P31,Q4830453
Q43229,P527,Q10756188
Q41263,P279,Q43015
Q12823105,P361,Q43229
Q1156854,P31,Q1371819
Q1308239,P425,Q601401
Q1369832,P279,Q601401
Q178706,P279,Q43229
Q10756188,P361,Q43229
Q10756188,P279,Q1400881
Q1314,P279,Q24384
Q1314,P2922,Q110
Q12147,P31,Q190258
Q2251595,P361,Q2526135
Q13516686,P279,Q240673
Q283,P361,Q2095
Q557880,P425,Q4290
Q8436,P279,Q178706
Q1368,P1889,Q8142
Q1368,P366,Q601401
Q1341387,P279,Q4830453
Q8146,P31,Q8142
Q398,P31,Q6256
Q182076,P279,Q189539
Q182076,P279,Q3196867
Q140686,P2389,Q865588
Q27686,P279,Q4830453
Q17110160,P31,Q4830453
Q1416898,P279,Q731112
Q344,P279,Q11471
Q344,P361,Q11471
Q1403377,P279,Q1368
Q1403377,P31,Q8142
Q16644043,P279,Q730920
