entity1,relation,entity2
Q95124485,P31,Q4167410
Q95124485,P460,Q1796457
Q95124485,P460,Q95124610
Q95124485,P1889,Q95124412
Q1196314,P910,Q6572301
Q1196314,P279,Q169489
Q1196314,P1552,Q756115
Q1196314,P1552,Q180107
Q1196314,P2959,Q22828634
Q233272,P31,Q4167410
Q233272,P2789,Q911135
Q341678,P31,Q4167410
Q341678,P1889,Q408753
Q40434513,P31,Q624240
Q40434513,P407,Q13955
Q40434513,P1889,Q2212247
Q40434513,P527,Q23806099
Q40434513,P282,Q1828555
Q268146,P31,Q4167410
Q268146,P1889,Q36985852
Q3708947,P31,Q4167410
Q3708947,P361,Q25580506
Q3708947,P1889,Q37293708
Q20996488,P31,Q4167410
Q200,P31,Q49008
Q200,P31,Q898675
Q200,P31,Q624025
Q200,P31,Q973861
Q200,P31,Q599093
Q200,P31,Q2915234
Q200,P31,Q816063
Q200,P31,Q21199
Q200,P31,Q13366104
Q200,P31,Q1486643
Q200,P31,Q1103699
Q200,P31,Q11606
Q200,P31,Q1136880
Q200,P31,Q47577
Q200,P31,Q1462591
Q200,P31,Q12786684
Q200,P910,Q8207878
Q200,P1535,Q111124
Q200,P1535,Q1136880
Q200,P1889,Q19647
Q200,P1889,Q28469712
Q200,P1889,Q40134
Q200,P1889,Q2752630
Q200,P5236,Q200
Q200,P2959,Q56446855
Q200,P2959,Q60455094
Q200,P2959,Q60455095
Q200,P2959,Q60455159
Q200,P2959,Q89812726
Q200,P461,Q3827340
Q200,P461,Q2114394
Q199,P31,Q21199
Q199,P31,Q2313686
Q199,P31,Q63116
Q199,P31,Q13366129
Q199,P31,Q245102
Q199,P31,Q190890
Q199,P31,Q50705
Q199,P31,Q861555
Q199,P31,Q190893
Q199,P31,Q1587812
Q199,P31,Q14390508
Q199,P31,Q940343
Q199,P31,Q190899
Q199,P31,Q14390666
Q199,P31,Q1587799
Q199,P31,Q1589528
Q199,P31,Q14390354
Q199,P31,Q16858648
Q199,P31,Q190891
Q199,P31,Q190900
Q199,P31,Q14390192
Q199,P31,Q13825533
Q199,P31,Q663029
Q199,P31,Q1081248
Q199,P31,Q967999
Q199,P31,Q606977
Q199,P31,Q1165838
Q199,P31,Q1990975
Q199,P31,Q13823786
Q199,P31,Q2702442
Q199,P31,Q2634498
Q199,P31,Q674928
Q199,P31,Q2708903
Q199,P31,Q1403502
Q199,P31,Q18949
Q199,P31,Q1885380
Q199,P31,Q2524197
